id,timestamp,shoe-type,color,state
50,2009-03-30 16:55:17,high-heels,4,NE
51,2009-03-12 23:46:05,oxfords,9,AZ
52,2009-03-11 16:02:55,high-heels,8,TN
53,2009-03-31 04:12:49,sandals,2,LA
54,2009-03-02 12:16:32,flats,6,AS
55,2009-03-21 08:13:01,slippers,7,GA
56,2009-03-14 06:20:35,boots,9,NJ
57,2009-03-01 21:11:31,oxfords,8,TX
58,2009-03-09 13:47:50,slippers,6,AL
59,2009-03-16 00:47:39,boots,3,WI
60,2009-03-31 12:23:57,slippers,6,ME
61,2009-03-20 04:29:16,loafers,4,AR
62,2009-03-10 04:35:15,slippers,9,SC
63,2009-03-27 00:49:01,slippers,1,ME
64,2009-03-03 11:08:37,slippers,3,VI
65,2009-03-18 21:45:02,high-heels,2,IL
66,2009-03-06 09:46:20,slippers,5,AR
67,2009-03-13 11:31:36,slippers,0,NJ
68,2009-03-03 11:12:35,slippers,2,IA
69,2009-03-30 00:57:03,boots,7,MA
70,2009-03-23 14:23:53,slippers,6,TX
71,2009-03-19 20:05:25,slippers,8,ID
72,2009-03-10 18:49:34,high-heels,4,ID
73,2009-03-30 21:55:11,oxfords,1,AL
74,2009-03-07 15:15:56,sandals,3,MS
75,2009-03-04 09:22:25,loafers,5,LA
76,2009-03-09 02:47:45,slippers,9,IL
77,2009-03-02 17:32:03,flats,4,UT
78,2009-03-08 12:51:02,boots,6,SD
79,2009-03-05 19:34:26,slippers,2,VT
80,2009-03-26 22:22:18,high-heels,6,OR
81,2009-03-21 08:07:26,boots,1,MD
82,2009-03-28 21:47:20,sandals,2,AR
83,2009-03-11 06:16:28,oxfords,3,OR
84,2009-03-05 12:59:29,slippers,5,VI
85,2009-03-12 00:24:18,flats,6,MO
86,2009-03-31 09:15:35,sandals,5,AS
87,2009-03-29 10:11:16,slippers,9,FL
88,2009-03-02 02:01:47,oxfords,2,WA
89,2009-03-26 21:29:55,high-heels,7,KS
90,2009-03-21 14:23:20,flats,0,KS
91,2009-03-30 10:31:13,loafers,0,AL
92,2009-03-30 19:32:20,high-heels,3,WA
93,2009-03-22 01:47:10,oxfords,2,GU
94,2009-03-14 14:43:56,flats,5,CO
95,2009-03-26 07:30:43,loafers,6,IN
96,2009-03-06 17:14:05,flats,5,UT
97,2009-03-08 15:27:21,sandals,5,IA
98,2009-03-17 22:58:53,loafers,2,ND
99,2009-03-14 21:14:59,flats,5,MP
100,2009-03-14 22:56:01,flats,4,WA
101,2009-03-30 14:44:00,sandals,8,HI
102,2009-03-31 16:44:01,oxfords,9,ID
103,2009-03-28 03:34:00,loafers,0,GA
104,2009-03-21 10:10:31,boots,3,CO
105,2009-03-28 22:04:00,high-heels,1,VA
106,2009-03-09 02:06:58,flats,9,UT
107,2009-03-15 11:39:48,boots,3,PR
108,2009-03-07 20:04:50,loafers,5,WV
109,2009-03-04 18:55:37,boots,4,WV
110,2009-03-31 03:37:48,flats,1,IN
111,2009-03-21 10:49:11,boots,3,OK
112,2009-03-07 10:18:11,flats,5,WY
113,2009-03-01 01:02:19,loafers,6,VT
114,2009-03-08 00:03:58,flats,6,VA
115,2009-03-05 08:59:09,slippers,7,UT
116,2009-03-29 11:41:23,loafers,1,VI
117,2009-03-18 05:57:41,slippers,3,MN
118,2009-03-31 16:50:46,sandals,2,LA
119,2009-03-09 14:34:14,boots,0,AS
120,2009-03-11 16:10:25,boots,9,HI
121,2009-03-30 13:13:23,loafers,2,WV
122,2009-03-06 16:16:13,slippers,7,MP
123,2009-03-16 15:13:09,high-heels,0,NJ
124,2009-03-10 19:04:16,flats,6,WI
125,2009-03-30 11:13:44,high-heels,4,WV
126,2009-03-05 13:05:44,flats,2,MP
127,2009-03-16 20:45:33,boots,8,GA
128,2009-03-21 05:23:48,sandals,1,AS
129,2009-03-23 00:12:35,oxfords,9,NV
130,2009-03-15 10:31:51,oxfords,4,TN
131,2009-03-26 13:26:48,boots,4,HI
132,2009-03-29 04:59:48,slippers,4,VA
133,2009-03-02 04:45:04,sandals,8,NH
134,2009-03-18 10:04:07,loafers,5,VT
135,2009-03-12 07:09:08,oxfords,0,MT
136,2009-03-19 18:26:35,high-heels,4,NY
137,2009-03-24 23:04:06,sandals,4,MA
138,2009-03-31 14:36:56,high-heels,1,NJ
139,2009-03-19 01:14:20,flats,5,DE
140,2009-03-10 03:04:10,sandals,3,VI
141,2009-03-26 08:20:18,sandals,6,AS
142,2009-03-29 19:23:48,slippers,8,MA
143,2009-03-02 11:03:48,oxfords,2,DC
144,2009-03-09 09:46:00,loafers,5,RI
145,2009-03-20 17:35:48,loafers,2,NE
146,2009-03-12 04:03:19,high-heels,7,IL
147,2009-03-31 10:42:13,flats,0,AK
148,2009-03-24 09:24:33,loafers,6,NC
149,2009-03-02 05:17:01,oxfords,5,AR
150,2009-03-30 03:27:53,sandals,0,FL
151,2009-03-02 17:32:47,high-heels,1,KY
152,2009-03-02 23:33:26,loafers,9,MN
153,2009-03-11 04:50:05,sandals,3,OH
154,2009-03-21 05:09:44,flats,1,NE
155,2009-03-25 12:30:14,flats,8,MD
156,2009-03-21 09:21:59,oxfords,7,MI
157,2009-03-20 05:43:19,oxfords,5,NM
158,2009-03-15 14:22:15,boots,2,IA
159,2009-03-10 06:09:49,loafers,0,TX
160,2009-03-21 04:02:07,loafers,0,NA
161,2009-03-14 05:44:30,flats,8,KY
162,2009-03-30 10:43:04,slippers,6,ME
163,2009-03-27 13:30:50,loafers,2,WV
164,2009-03-03 23:19:04,high-heels,2,GA
165,2009-03-30 10:04:34,flats,0,TX
166,2009-03-13 06:07:31,sandals,2,VT
167,2009-03-02 21:44:44,boots,2,VI
168,2009-03-27 01:47:21,sandals,9,ME
169,2009-03-18 20:17:39,flats,5,GU
170,2009-03-30 22:41:17,slippers,2,OH
171,2009-03-16 16:20:37,high-heels,5,KY
172,2009-03-29 16:38:16,sandals,5,ME
173,2009-03-20 21:54:50,high-heels,0,WI
174,2009-03-06 13:02:06,flats,1,GA
175,2009-03-13 12:02:59,flats,2,MP
176,2009-03-04 13:33:12,slippers,5,OH
177,2009-03-10 15:16:22,oxfords,4,NJ
178,2009-03-27 13:31:59,sandals,2,IN
179,2009-03-14 06:15:23,sandals,4,PR
180,2009-03-02 01:50:53,high-heels,8,NH
181,2009-03-20 19:48:56,boots,2,SC
182,2009-03-12 09:43:28,flats,2,ME
183,2009-03-13 05:31:58,loafers,5,CT
184,2009-03-31 22:07:47,high-heels,9,RI
185,2009-03-27 04:45:40,slippers,6,IA
186,2009-03-23 22:05:49,boots,8,SD
187,2009-03-11 07:54:35,flats,7,NM
188,2009-03-03 00:05:39,high-heels,0,SC
189,2009-03-20 10:55:20,flats,3,MS
190,2009-03-07 11:18:59,boots,4,CO
191,2009-03-12 15:31:29,high-heels,0,ND
192,2009-03-22 19:19:55,oxfords,7,OR
193,2009-03-04 09:29:41,slippers,7,NA
194,2009-03-10 00:42:26,oxfords,2,OH
195,2009-03-16 13:47:53,flats,0,PA
196,2009-03-15 23:31:32,boots,7,MT
197,2009-03-29 00:31:16,flats,9,ND
198,2009-03-27 18:14:38,high-heels,6,DE
199,2009-03-30 10:55:11,flats,7,WI
200,2009-03-11 15:36:22,flats,4,NH
201,2009-03-10 23:02:46,high-heels,0,MT
202,2009-03-20 19:31:06,slippers,3,AK
203,2009-03-03 17:28:52,oxfords,0,IA
204,2009-03-23 14:02:16,boots,9,NE
205,2009-03-10 05:39:15,slippers,5,WY
206,2009-03-10 00:02:01,slippers,2,MA
207,2009-03-29 23:45:10,flats,3,VT
208,2009-03-30 06:43:38,slippers,7,AK
209,2009-03-06 04:42:19,oxfords,1,IN
210,2009-03-17 04:59:01,loafers,1,KY
211,2009-03-02 08:17:21,oxfords,6,UT
212,2009-03-12 21:24:46,high-heels,2,FL
213,2009-03-23 17:19:27,sandals,2,HI
214,2009-03-17 13:24:19,sandals,1,KY
215,2009-03-29 23:18:50,loafers,9,WI
216,2009-03-02 05:37:33,slippers,1,DE
217,2009-03-31 09:53:51,slippers,5,PR
218,2009-03-19 14:00:43,high-heels,4,OH
219,2009-03-12 07:38:51,high-heels,3,OR
220,2009-03-15 00:54:14,boots,0,IN
221,2009-03-15 14:17:48,high-heels,8,LA
222,2009-03-05 16:53:28,flats,5,LA
223,2009-03-01 08:37:22,flats,3,VT
224,2009-03-19 17:48:43,slippers,8,NM
225,2009-03-18 17:40:52,loafers,1,NV
226,2009-03-07 03:49:29,slippers,9,KS
227,2009-03-13 20:56:20,boots,7,CT
228,2009-03-14 03:14:47,oxfords,9,DE
229,2009-03-26 13:09:44,flats,7,WI
230,2009-03-26 13:01:34,slippers,7,MN
231,2009-03-12 17:14:47,high-heels,7,MD
232,2009-03-21 10:43:29,loafers,4,LA
233,2009-03-07 15:55:04,oxfords,5,AS
234,2009-03-01 13:35:29,high-heels,9,GA
235,2009-03-17 23:35:43,oxfords,9,MA
236,2009-03-18 02:13:03,slippers,0,ND
237,2009-03-18 12:13:57,high-heels,1,PR
238,2009-03-14 19:13:05,flats,1,HI
239,2009-03-16 06:58:02,boots,4,CT
240,2009-03-08 20:22:38,slippers,0,MO
241,2009-03-21 05:05:25,boots,8,SC
242,2009-03-10 17:10:08,boots,3,CA
243,2009-03-07 10:58:45,flats,5,AS
244,2009-03-28 13:17:21,loafers,7,MP
245,2009-03-25 15:43:37,boots,2,OK
246,2009-03-29 19:47:47,slippers,6,WV
247,2009-03-10 20:04:41,loafers,2,AS
248,2009-03-31 19:26:57,oxfords,7,MI
249,2009-03-05 20:21:48,sandals,6,CA
250,2009-03-19 19:36:59,slippers,6,HI
251,2009-03-22 15:57:42,sandals,7,CT
252,2009-03-19 15:53:14,loafers,7,NM
253,2009-03-06 04:12:28,sandals,0,NC
254,2009-03-19 16:11:29,flats,0,WI
255,2009-03-22 23:03:08,oxfords,0,AR
256,2009-03-02 13:10:20,flats,2,NJ
257,2009-03-11 06:07:30,boots,6,ND
258,2009-03-20 08:34:00,loafers,3,WV
259,2009-03-17 08:06:56,slippers,2,MD
260,2009-03-25 18:59:59,oxfords,9,WI
261,2009-03-09 19:49:29,flats,7,WI
262,2009-03-24 17:08:30,loafers,1,WA
263,2009-03-11 21:30:50,slippers,6,CT
264,2009-03-18 04:29:25,high-heels,3,AZ
265,2009-03-25 10:11:33,flats,7,NH
266,2009-03-23 16:21:18,sandals,9,MP
267,2009-03-23 17:41:17,flats,2,MN
268,2009-03-06 17:40:04,loafers,1,KS
269,2009-03-11 17:51:50,oxfords,7,NC
270,2009-03-26 21:53:29,slippers,5,WV
271,2009-03-19 13:53:43,flats,1,ND
272,2009-03-19 14:05:50,high-heels,2,WV
273,2009-03-08 08:08:39,oxfords,1,FL
274,2009-03-21 19:43:14,slippers,3,DC
275,2009-03-11 18:14:26,flats,9,HI
276,2009-03-18 06:21:29,loafers,9,MI
277,2009-03-18 00:06:22,slippers,6,ID
278,2009-03-22 21:11:09,high-heels,2,UT
279,2009-03-10 23:15:49,high-heels,6,PR
280,2009-03-17 08:49:28,flats,3,NY
281,2009-03-10 06:00:07,flats,5,TN
282,2009-03-14 15:57:05,oxfords,7,UT
283,2009-03-15 18:09:49,oxfords,3,VT
284,2009-03-10 09:50:58,boots,1,UT
285,2009-03-08 03:16:09,slippers,8,NV
286,2009-03-08 01:28:20,loafers,3,ND
287,2009-03-31 18:10:45,sandals,3,CO
288,2009-03-03 03:48:34,high-heels,3,MO
289,2009-03-25 06:56:32,boots,4,MP
290,2009-03-18 12:12:16,slippers,1,OH
291,2009-03-11 20:23:44,boots,4,MP
292,2009-03-13 22:33:02,flats,4,AK
293,2009-03-13 19:29:50,slippers,9,MA
294,2009-03-18 00:20:31,sandals,3,NV
295,2009-03-24 04:34:41,sandals,0,ND
296,2009-03-20 16:25:34,sandals,4,OK
297,2009-03-30 18:56:54,sandals,2,NE
298,2009-03-26 16:53:59,high-heels,1,NJ
299,2009-03-24 06:58:01,loafers,5,MA
300,2009-03-28 18:24:01,sandals,3,MO
301,2009-03-13 04:36:35,high-heels,6,CT
302,2009-03-18 14:58:16,sandals,4,NJ
303,2009-03-13 05:46:43,sandals,0,NC
304,2009-03-20 01:35:06,boots,7,NJ
305,2009-03-12 12:34:03,sandals,6,UT
306,2009-03-04 06:52:48,flats,9,MN
307,2009-03-03 16:48:21,loafers,6,CA
308,2009-03-29 23:24:55,oxfords,1,CA
309,2009-03-01 21:43:09,high-heels,4,GU
310,2009-03-04 18:33:36,high-heels,0,DC
311,2009-03-26 01:01:17,loafers,6,CO
312,2009-03-19 01:41:36,flats,2,ND
313,2009-03-25 09:45:18,flats,5,AZ
314,2009-03-23 16:30:46,flats,2,OK
315,2009-03-01 06:42:32,oxfords,1,UT
316,2009-03-16 18:09:14,boots,8,KY
317,2009-03-12 16:01:52,loafers,0,GU
318,2009-03-23 19:31:45,sandals,2,AL
319,2009-03-24 12:48:37,oxfords,4,OK
320,2009-03-30 22:28:33,loafers,9,CO
321,2009-03-22 17:07:43,loafers,2,UT
322,2009-03-27 02:30:35,sandals,4,NH
323,2009-03-04 07:18:04,sandals,1,AS
324,2009-03-08 06:17:45,oxfords,7,MA
325,2009-03-23 18:52:54,oxfords,4,MN
326,2009-03-03 22:24:59,high-heels,5,VA
327,2009-03-21 15:35:23,oxfords,6,OR
328,2009-03-20 22:17:40,boots,6,AR
329,2009-03-08 10:30:32,boots,7,NJ
330,2009-03-02 16:41:37,boots,6,HI
331,2009-03-22 21:18:52,oxfords,2,AL
332,2009-03-01 01:18:39,flats,7,MN
333,2009-03-28 05:14:31,loafers,2,NA
334,2009-03-07 21:02:32,oxfords,7,DE
335,2009-03-28 16:01:44,loafers,2,WY
336,2009-03-07 08:00:10,flats,7,NC
337,2009-03-23 19:02:22,loafers,2,LA
338,2009-03-28 09:35:39,sandals,2,HI
339,2009-03-24 08:08:35,slippers,7,NE
340,2009-03-10 02:27:28,loafers,1,ME
341,2009-03-31 06:31:06,high-heels,6,MI
342,2009-03-28 05:52:59,oxfords,6,MD
343,2009-03-29 12:22:47,oxfords,8,VA
344,2009-03-19 14:15:32,flats,6,ND
345,2009-03-31 22:52:29,oxfords,3,PR
346,2009-03-11 02:42:55,sandals,2,OH
347,2009-03-05 15:56:05,loafers,1,ND
348,2009-03-26 21:39:21,slippers,5,NY
349,2009-03-29 14:14:09,high-heels,5,AS
350,2009-03-16 15:17:24,loafers,7,ID
351,2009-03-09 02:10:17,slippers,8,AS
352,2009-03-14 16:20:42,loafers,7,NV
353,2009-03-26 20:30:38,slippers,7,IA
354,2009-03-01 15:58:05,flats,9,CO
355,2009-03-17 23:25:16,oxfords,2,NH
356,2009-03-31 18:51:36,sandals,9,PR
357,2009-03-26 05:17:52,high-heels,4,GA
358,2009-03-25 06:54:30,oxfords,5,CA
359,2009-03-03 23:24:21,loafers,4,OR
360,2009-03-29 06:07:00,sandals,0,WI
361,2009-03-28 13:05:43,boots,9,IL
362,2009-03-18 17:01:58,high-heels,4,FL
363,2009-03-30 18:34:15,sandals,1,VA
364,2009-03-21 18:49:59,slippers,5,VI
365,2009-03-17 19:52:51,boots,9,MT
366,2009-03-27 04:27:22,high-heels,2,FL
367,2009-03-31 03:00:19,boots,5,CA
368,2009-03-09 10:52:04,boots,3,GA
369,2009-03-05 23:57:39,sandals,4,OR
370,2009-03-26 15:21:13,oxfords,3,ND
371,2009-03-23 07:24:04,loafers,0,CO
372,2009-03-31 11:45:05,loafers,9,RI
373,2009-03-19 05:48:06,loafers,7,UT
374,2009-03-10 15:33:12,boots,2,AR
375,2009-03-15 09:51:27,flats,2,PR
376,2009-03-16 01:04:19,boots,2,DC
377,2009-03-14 07:53:03,sandals,1,GA
378,2009-03-20 23:14:54,sandals,2,WV
379,2009-03-14 08:07:44,slippers,2,NE
380,2009-03-03 13:26:01,high-heels,6,DC
381,2009-03-07 15:10:49,slippers,7,KY
382,2009-03-03 13:26:23,slippers,5,IA
383,2009-03-02 14:15:36,sandals,7,MT
384,2009-03-28 11:38:56,slippers,6,DC
385,2009-03-05 15:11:21,sandals,0,UT
386,2009-03-07 21:54:38,high-heels,9,IL
387,2009-03-24 00:25:03,flats,8,ME
388,2009-03-20 11:06:51,boots,1,NV
389,2009-03-21 21:52:22,oxfords,6,KY
390,2009-03-29 12:42:41,flats,5,FL
391,2009-03-04 17:00:08,high-heels,4,NJ
392,2009-03-14 01:59:24,boots,8,TN
393,2009-03-26 06:46:32,slippers,8,NC
394,2009-03-18 01:24:34,high-heels,7,VI
395,2009-03-20 14:43:50,flats,8,KS
396,2009-03-10 00:24:40,high-heels,5,MN
397,2009-03-30 16:32:13,loafers,2,CO
398,2009-03-17 04:23:48,slippers,3,IN
399,2009-03-20 07:21:57,flats,4,LA
400,2009-03-04 23:20:24,sandals,2,MT
401,2009-03-18 00:43:54,loafers,8,TX
402,2009-03-08 15:00:33,boots,3,PA
403,2009-03-24 09:20:50,boots,1,CO
404,2009-03-26 14:27:56,oxfords,5,NH
405,2009-03-23 12:58:20,slippers,4,AR
406,2009-03-17 10:26:08,flats,4,OR
407,2009-03-30 12:29:42,slippers,5,KS
408,2009-03-21 05:12:38,loafers,0,AR
409,2009-03-20 12:14:49,slippers,6,MT
410,2009-03-31 21:31:48,oxfords,2,WV
411,2009-03-10 14:43:28,slippers,9,NY
412,2009-03-02 18:03:27,slippers,5,OK
413,2009-03-23 16:27:22,high-heels,8,NC
414,2009-03-18 04:29:58,loafers,3,RI
415,2009-03-28 18:48:13,sandals,9,IN
416,2009-03-17 01:11:51,slippers,2,WI
417,2009-03-06 03:16:37,high-heels,0,AR
418,2009-03-25 02:18:58,flats,5,DE
419,2009-03-21 14:45:09,oxfords,6,KY
420,2009-03-31 01:34:30,high-heels,7,MI
421,2009-03-12 04:28:17,sandals,4,TX
422,2009-03-05 01:56:55,sandals,4,MN
423,2009-03-27 17:42:24,flats,0,WA
424,2009-03-16 05:35:58,sandals,2,KS
425,2009-03-25 22:44:33,flats,7,MA
426,2009-03-21 09:36:41,loafers,0,SC
427,2009-03-23 06:18:26,boots,8,NE
428,2009-03-15 05:27:20,loafers,5,WY
429,2009-03-21 11:16:42,loafers,4,KS
430,2009-03-21 01:36:03,boots,1,CT
431,2009-03-17 00:20:21,oxfords,0,ME
432,2009-03-24 21:07:41,loafers,3,VT
433,2009-03-05 12:27:16,boots,1,LA
434,2009-03-18 01:03:42,flats,1,OK
435,2009-03-03 15:42:57,oxfords,1,NH
436,2009-03-30 07:31:25,loafers,3,AL
437,2009-03-20 12:55:54,boots,9,RI
438,2009-03-21 02:18:19,high-heels,1,RI
439,2009-03-19 10:30:51,flats,5,VT
440,2009-03-13 00:10:51,boots,6,CT
441,2009-03-23 10:41:35,flats,9,SC
442,2009-03-26 02:56:46,oxfords,8,ME
443,2009-03-31 19:02:56,boots,1,AZ
444,2009-03-04 08:11:42,loafers,2,CO
445,2009-03-18 08:48:47,slippers,7,NY
446,2009-03-22 19:14:09,flats,1,NE
447,2009-03-27 03:02:10,slippers,0,OH
448,2009-03-20 01:36:52,oxfords,7,IN
449,2009-03-27 10:45:05,oxfords,1,PR
450,2009-03-31 03:42:31,boots,2,ID
451,2009-03-30 14:05:51,oxfords,7,IL
452,2009-03-25 03:11:49,oxfords,3,VT
453,2009-03-19 01:11:15,oxfords,5,MI
454,2009-03-05 13:59:00,high-heels,2,CT
455,2009-03-22 14:00:32,high-heels,1,PR
456,2009-03-28 20:04:03,high-heels,2,AL
457,2009-03-04 06:33:01,loafers,0,CA
458,2009-03-13 10:04:45,boots,9,IN
459,2009-03-10 04:53:01,high-heels,1,OK
460,2009-03-21 05:51:23,sandals,0,LA
461,2009-03-06 07:55:24,sandals,2,PR
462,2009-03-22 17:48:20,boots,1,MO
463,2009-03-30 11:46:21,flats,9,VA
464,2009-03-01 16:49:10,slippers,9,TX
465,2009-03-25 09:36:41,high-heels,9,OH
466,2009-03-24 09:49:45,boots,8,AL
467,2009-03-03 18:03:08,oxfords,4,CT
468,2009-03-28 03:33:39,boots,4,DC
469,2009-03-03 06:45:44,flats,0,KS
470,2009-03-11 09:15:00,high-heels,2,HI
471,2009-03-27 03:52:48,oxfords,5,UT
472,2009-03-06 07:12:45,oxfords,3,FL
473,2009-03-12 08:32:21,oxfords,9,WV
474,2009-03-14 02:50:38,flats,6,MA
475,2009-03-28 21:04:38,boots,4,GA
476,2009-03-25 16:44:52,loafers,2,NM
477,2009-03-14 15:45:26,loafers,7,TX
478,2009-03-10 12:17:31,oxfords,7,HI
479,2009-03-17 05:07:35,boots,5,OR
480,2009-03-17 20:14:40,high-heels,8,AR
481,2009-03-28 09:53:37,sandals,0,WV
482,2009-03-14 01:37:29,boots,3,LA
483,2009-03-10 02:41:48,oxfords,1,RI
484,2009-03-08 07:49:28,loafers,0,SD
485,2009-03-29 10:12:14,flats,8,AR
486,2009-03-28 13:35:52,flats,9,IA
487,2009-03-29 16:46:40,flats,0,CO
488,2009-03-01 04:38:47,slippers,0,MT
489,2009-03-21 00:07:40,oxfords,4,MO
490,2009-03-24 14:41:04,flats,4,VI
491,2009-03-16 17:58:51,boots,5,NV
492,2009-03-04 17:09:19,boots,6,MD
493,2009-03-31 16:19:27,oxfords,9,KS
494,2009-03-12 08:32:21,oxfords,1,DC
495,2009-03-17 16:23:59,boots,1,CO
496,2009-03-02 01:10:41,slippers,0,AK
497,2009-03-16 13:27:06,flats,0,DE
498,2009-03-18 09:35:58,flats,5,IA
499,2009-03-18 05:24:09,sandals,9,HI
500,2009-03-20 20:38:20,flats,9,FL
501,2009-03-05 08:09:41,high-heels,4,DE
502,2009-03-19 08:44:05,slippers,4,MA
503,2009-03-29 18:11:03,oxfords,6,AR
504,2009-03-02 05:32:04,slippers,1,SC
505,2009-03-22 11:58:54,loafers,0,VA
506,2009-03-26 22:36:53,boots,7,VT
507,2009-03-10 17:51:31,boots,7,SC
508,2009-03-18 18:27:39,oxfords,2,AS
509,2009-03-07 20:11:20,slippers,0,ME
510,2009-03-07 04:54:49,oxfords,2,AK
511,2009-03-02 08:44:27,sandals,4,IA
512,2009-03-06 00:40:47,oxfords,0,NY
513,2009-03-04 11:09:36,loafers,1,MS
514,2009-03-24 22:16:18,loafers,7,AR
515,2009-03-19 10:48:00,boots,9,WV
516,2009-03-24 13:12:59,loafers,1,AZ
517,2009-03-19 15:45:17,loafers,4,GA
518,2009-03-01 05:20:13,flats,9,GA
519,2009-03-05 12:17:01,high-heels,0,NM
520,2009-03-04 13:18:39,slippers,2,DE
521,2009-03-29 13:23:34,flats,0,NA
522,2009-03-03 09:40:16,high-heels,3,WY
523,2009-03-10 03:45:11,flats,8,CT
524,2009-03-10 06:52:31,slippers,4,SD
525,2009-03-20 19:40:45,flats,8,ID
526,2009-03-11 21:59:25,oxfords,8,ME
527,2009-03-29 17:39:00,sandals,2,MA
528,2009-03-17 15:21:36,flats,6,DC
529,2009-03-29 17:06:34,slippers,7,PR
530,2009-03-26 22:23:38,flats,6,PA
531,2009-03-16 06:05:01,high-heels,5,MA
532,2009-03-07 19:53:04,flats,3,GU
533,2009-03-22 16:21:17,boots,5,CT
534,2009-03-25 12:48:31,slippers,3,NE
535,2009-03-04 14:50:04,flats,5,WA
536,2009-03-11 03:38:16,loafers,4,GU
537,2009-03-08 11:44:40,sandals,7,NJ
538,2009-03-06 16:45:34,flats,9,MN
539,2009-03-05 18:15:06,loafers,6,CO
540,2009-03-30 09:11:01,oxfords,2,PA
541,2009-03-25 05:43:28,high-heels,9,NA
542,2009-03-18 18:15:42,high-heels,1,CA
543,2009-03-02 20:51:10,sandals,1,NC
544,2009-03-31 11:04:37,boots,4,IN
545,2009-03-16 13:50:11,loafers,1,AZ
546,2009-03-02 02:57:13,sandals,0,MS
547,2009-03-11 02:28:16,sandals,6,WI
548,2009-03-26 07:07:52,oxfords,1,AK
549,2009-03-15 04:47:46,slippers,6,VT
550,2009-03-07 04:08:30,high-heels,9,ID
551,2009-03-14 17:44:30,high-heels,3,IN
552,2009-03-04 16:29:37,boots,9,AZ
553,2009-03-27 03:20:23,flats,5,WI
554,2009-03-06 13:17:22,slippers,9,IL
555,2009-03-14 08:04:32,sandals,3,OR
556,2009-03-07 01:58:47,high-heels,6,TN
557,2009-03-13 04:20:10,high-heels,3,IN
558,2009-03-09 16:58:44,loafers,1,WI
559,2009-03-19 06:17:25,boots,9,VT
560,2009-03-03 21:17:54,flats,5,CO
561,2009-03-20 00:21:21,flats,2,AS
562,2009-03-29 08:04:00,flats,4,AR
563,2009-03-16 19:49:15,high-heels,0,AR
564,2009-03-18 00:16:09,slippers,0,GA
565,2009-03-15 07:07:41,oxfords,3,IN
566,2009-03-31 10:21:30,flats,7,OK
567,2009-03-28 00:28:18,boots,6,NJ
568,2009-03-20 12:12:14,boots,9,AS
569,2009-03-16 15:23:16,boots,8,ME
570,2009-03-21 00:39:45,oxfords,1,TX
571,2009-03-09 09:18:01,slippers,7,NA
572,2009-03-07 17:14:35,high-heels,3,WV
573,2009-03-31 07:11:50,slippers,5,MP
574,2009-03-31 08:07:37,flats,9,IA
575,2009-03-02 08:44:03,slippers,4,NM
576,2009-03-27 08:50:32,slippers,1,MO
577,2009-03-20 17:09:09,boots,3,NE
578,2009-03-22 19:39:11,loafers,7,SC
579,2009-03-24 06:07:38,high-heels,7,AK
580,2009-03-11 02:28:25,high-heels,2,HI
