sku,sales,red,blue,white,black,green,orange,digital news platform,blog,youtube,magazine,gps,step-tracker,extra-light-material
60,1658.8633846763967,1,1,1,1,1,1,0,0,1,0,0,0,0
61,1896.2213679996564,1,0,1,1,0,0,1,1,1,1,1,1,0
62,2589.0790613608606,1,0,0,0,0,0,1,1,1,1,0,0,0
63,7011.471063616227,0,1,1,0,1,0,1,0,1,1,1,1,0
64,5103.690082619206,1,1,1,1,1,1,1,1,1,0,1,1,0
65,4797.508792709986,0,1,1,1,1,1,1,0,0,1,1,1,1
66,2139.9933611486545,0,1,1,1,1,1,0,0,0,0,1,1,0
67,5955.943383809592,0,0,1,1,1,1,0,0,0,1,1,0,1
68,3673.6013106034425,0,0,0,0,0,0,1,0,1,0,1,1,0
69,6391.956584405043,1,0,1,0,0,0,1,1,1,1,1,1,0
70,8925.036610205343,1,0,0,1,1,0,1,1,1,1,1,0,1
71,8894.377672714452,1,0,1,1,0,0,0,0,0,0,0,1,0
72,8666.01829957986,0,0,0,0,0,0,1,1,1,1,1,1,1
73,4396.4650485324055,1,1,0,1,0,1,0,0,1,1,0,1,0
74,9572.55643635978,1,0,0,0,0,0,1,1,1,0,1,1,1
75,6623.574175675423,0,0,0,0,0,1,1,1,0,1,1,1,1
76,6441.359720911889,1,0,0,1,1,1,1,1,1,1,0,1,1
77,3632.363910395986,1,0,0,0,1,1,1,1,1,1,0,1,0
78,677.7766460022206,1,1,1,1,0,1,0,0,1,1,0,1,1
79,7363.653732482159,1,1,0,1,1,1,0,0,0,0,0,0,0
80,6553.8764426018515,1,1,1,0,0,1,1,1,0,0,1,0,0
81,6324.4247329617465,1,0,1,0,0,0,1,0,0,1,1,0,0
82,1085.4339506477318,1,1,0,0,0,0,1,1,1,1,1,1,1
83,5764.939321844165,1,1,1,0,1,0,0,1,1,0,0,0,0
84,3661.73849702786,0,1,0,0,0,0,1,1,1,1,0,0,0
85,434.2145505958517,0,1,0,1,1,1,1,1,1,1,0,0,0
86,7935.446482649474,0,1,0,1,1,1,0,0,1,0,1,0,0
87,3664.2638395465387,1,1,1,0,1,0,1,1,1,1,1,0,1
88,4429.583664712259,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1464.092112962615,1,0,1,0,1,1,1,0,0,0,0,0,0
90,314.9036880355438,1,1,0,0,0,0,1,1,1,1,0,0,0
91,5978.801870667832,0,0,1,0,0,1,0,0,0,0,1,1,0
92,6257.323768313157,1,0,1,1,1,1,1,0,1,0,1,1,1
93,3039.8947902358696,0,1,0,0,0,1,1,1,1,1,1,0,1
94,180.25013282094272,1,1,1,1,0,1,1,0,0,1,0,0,1
95,1908.148549357499,0,0,1,1,1,1,0,0,0,1,0,0,0
96,3392.6907101097127,0,0,1,0,0,0,1,1,1,1,1,1,1
97,965.1106139677279,0,0,0,0,0,0,0,0,0,0,1,0,0
98,50.85595156271272,0,0,1,0,0,0,1,0,0,0,0,0,0
99,6931.372781449251,0,1,1,1,1,1,1,0,1,1,1,1,1
100,1395.909018349316,1,1,0,1,1,1,1,1,1,1,0,1,0
101,472.7453763122102,0,0,0,0,1,1,1,1,1,0,1,1,1
102,5821.652301786709,0,1,1,1,1,0,0,0,0,0,0,0,1
103,4015.166250781581,0,0,0,0,0,0,1,0,0,0,0,0,0
104,5237.991947558964,0,1,1,1,1,1,0,0,0,1,0,1,0
105,805.7308153658505,1,1,1,0,1,1,0,0,0,0,1,0,0
106,59.08652065289011,1,1,1,1,1,1,1,1,1,1,1,1,1
107,9875.63746800231,1,0,1,1,0,1,0,0,0,0,0,1,1
108,7170.809887522439,0,0,1,1,1,1,0,0,1,0,1,0,1
109,1142.7985351474213,1,1,0,0,0,1,1,1,1,1,1,0,1
110,9066.549408736428,1,1,1,1,1,0,1,1,1,1,1,1,1
111,1444.976465219392,1,1,1,1,1,1,1,0,0,1,0,0,0
112,4862.125745241812,1,0,1,0,1,1,0,0,0,0,0,0,0
113,5587.759261159511,0,1,0,1,1,0,1,1,1,0,1,0,1
114,5909.3254915095695,1,1,1,1,1,1,0,0,0,0,0,0,0
115,3630.725047520769,1,1,1,0,1,1,1,1,1,0,1,1,1
116,5503.540021614442,1,1,1,0,1,1,0,1,0,0,1,1,1
117,5699.767876570148,1,0,1,0,0,1,0,1,0,0,0,1,1
118,3742.757266841924,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2466.7360772903958,1,1,1,1,1,1,0,1,1,0,0,0,0
120,7562.175038395477,0,1,0,1,1,0,1,0,0,0,1,1,0
121,6042.990283923245,1,0,1,1,1,1,1,1,1,1,1,0,1
122,4529.46646967866,1,0,1,1,1,1,0,0,0,0,1,1,1
123,2192.9838820429736,0,0,1,1,0,1,1,1,1,1,0,1,0
124,2115.8613584510754,1,1,1,1,1,0,0,0,0,0,1,1,1
125,3121.9093443184397,1,0,0,0,0,1,0,1,0,0,0,0,0
126,4327.8010415288545,0,1,1,1,1,1,1,0,1,0,0,0,0
127,4694.530293632036,1,0,0,0,0,0,1,1,1,1,1,0,0
128,7286.216448157798,1,1,1,1,1,0,1,0,1,0,1,0,1
129,1184.6929969628418,1,1,1,1,0,1,0,1,0,0,0,1,0
130,4293.1151095169425,0,0,1,1,1,1,0,0,1,0,1,1,1
131,2478.847505567514,0,0,1,1,1,1,1,1,1,1,0,1,1
132,1855.3487246502177,1,1,0,1,1,1,0,0,0,0,0,0,1
133,1483.7031135078682,0,1,1,0,1,1,1,1,1,1,0,0,1
134,9492.961303176886,1,1,1,1,0,1,0,0,0,0,1,1,1
135,6273.138143106159,0,1,1,1,0,1,1,1,1,1,1,0,1
136,7160.544571378593,0,1,0,1,1,0,0,1,0,0,0,0,0
137,9959.340182086413,0,0,0,1,0,0,0,0,0,0,0,0,1
138,2375.052272260757,1,1,0,1,1,1,1,1,1,1,0,0,0
139,4691.506601766842,1,1,1,1,1,0,0,0,0,0,1,1,1
140,4352.797329025873,1,1,0,0,1,1,1,1,0,0,0,1,0
141,9901.50775579332,0,0,0,0,0,0,1,1,0,1,0,0,0
142,2285.1963573278676,1,1,1,1,1,0,1,1,0,1,1,1,1
143,1856.7118469852694,0,0,1,0,0,0,0,1,1,1,1,1,1
144,953.243599655823,1,0,1,1,0,1,1,1,1,1,0,1,0
145,4945.465039612792,0,0,0,0,0,0,0,1,0,1,1,0,0
146,1018.2525945442866,0,0,0,0,0,0,0,0,0,1,0,0,1
147,4077.4731277161136,0,0,0,0,0,0,1,1,1,1,1,1,1
148,7330.886108956112,0,0,0,0,0,0,0,1,1,1,0,1,1
149,9047.860809117003,1,1,1,1,0,1,1,0,0,0,1,0,1
150,3219.6352397586356,0,0,0,0,0,0,1,1,1,1,0,1,1
151,9028.524299233472,0,1,0,1,0,0,1,1,0,1,1,1,1
152,999.8666434794079,0,1,1,1,1,0,1,0,1,0,1,0,1
153,1190.534273571756,0,0,0,0,0,0,1,1,1,1,1,1,0
154,3094.6392318505054,1,0,0,0,0,0,0,1,0,0,1,0,0
155,247.84043981378235,1,0,0,0,0,0,0,0,1,0,0,0,0
156,3071.9087916121657,0,0,0,0,0,0,1,1,1,1,1,0,1
157,1009.6153700502697,1,0,0,0,1,1,1,1,1,1,1,1,1
158,1063.0528870982625,1,1,1,1,0,1,1,1,0,1,0,1,0
159,9710.651857054623,1,0,1,0,0,0,1,0,1,1,1,0,0
160,7894.669155339086,1,1,1,1,1,1,1,0,0,1,0,0,0
161,9593.550691169008,1,1,1,1,0,1,0,1,0,0,1,1,1
162,858.745229643062,1,0,1,1,1,1,0,1,0,0,1,1,1
163,5808.792492616732,0,0,0,0,0,1,0,0,0,0,0,0,0
164,5052.7442623935385,0,0,1,1,0,0,1,0,0,0,0,0,1
165,5043.006131070895,0,0,0,0,1,0,1,1,1,1,0,1,0
166,9052.42056126391,1,1,1,1,0,1,0,1,1,1,0,1,1
167,5607.155696184905,1,1,0,1,1,1,1,1,1,0,0,0,0
168,8469.248819841074,1,1,0,1,1,1,0,1,1,1,1,1,0
169,5250.814468513817,0,1,1,0,1,1,1,1,0,0,1,0,1
170,6913.005303409551,1,1,1,1,1,1,1,1,1,1,1,1,1
171,7039.503714451264,1,0,0,0,1,1,1,1,1,1,0,0,0
172,3861.4675109954333,1,1,1,1,1,1,1,1,1,0,1,1,1
173,2192.2541130661057,1,1,1,1,1,1,1,0,1,1,0,1,1
174,976.7787930341898,0,0,0,0,0,1,1,1,1,0,1,1,1
175,4649.05253515817,0,0,0,1,1,1,1,1,1,0,0,0,0
176,3177.0854644754477,1,1,1,1,1,1,1,1,1,1,1,1,1
177,9819.291211548045,1,0,0,0,0,0,1,1,1,1,1,1,1
178,6004.245323822463,1,1,1,1,1,1,1,1,1,1,1,0,0
179,4515.287526645544,0,0,0,0,1,0,1,1,1,1,0,0,1
180,3759.6688129356717,1,1,1,0,1,0,1,1,1,1,0,1,1
181,4322.354153991531,1,1,1,1,0,0,1,1,1,1,1,1,1
182,6306.040805847184,0,0,0,0,0,0,1,1,1,1,0,0,0
183,5414.327163187171,1,1,0,1,1,1,1,1,1,1,0,0,0
184,1979.2727811699817,0,0,1,1,0,1,1,0,0,0,0,0,0
185,2339.18073427996,0,1,0,1,1,1,0,1,1,1,1,1,1
186,6731.258791054055,1,1,1,0,1,1,1,1,1,1,0,1,0
187,8252.981791679906,1,1,1,1,1,1,1,1,0,0,1,0,1
188,6368.226138970632,0,0,0,0,0,0,0,0,0,1,0,0,0
189,3754.230693877707,1,1,1,1,1,1,0,0,1,0,0,0,1
190,35.992296672701094,0,0,0,1,0,0,1,1,1,1,1,1,1
191,3036.589806496238,0,1,0,0,1,0,0,0,0,0,0,0,0
192,7348.911950650524,1,1,1,1,1,1,0,1,1,1,1,1,1
193,7430.740586355866,0,1,1,0,1,0,0,0,0,0,1,1,1
194,8756.702372543381,0,0,0,0,1,1,1,0,0,0,0,0,0
195,4256.284489508174,1,1,0,0,1,1,0,1,0,0,1,0,1
196,810.7911208921015,1,1,0,1,1,1,0,0,0,0,0,1,1
197,7021.464867652896,1,1,1,1,1,1,1,0,0,0,1,1,1
198,6654.998820230387,0,0,1,1,1,1,0,0,0,0,1,1,1
199,6222.6102940726105,1,1,0,1,0,1,1,1,1,0,1,0,1
200,4368.102161950439,0,0,0,0,0,0,1,1,1,1,0,0,0
201,5928.585111611184,1,1,1,1,1,1,0,1,1,0,0,0,1
202,9264.191335976548,0,0,0,0,0,1,1,0,0,1,0,1,0
203,5223.208559339825,1,1,1,1,1,1,0,1,0,1,1,1,0
204,2739.2876879814567,0,0,0,0,0,0,0,0,1,1,0,0,0
205,7052.027875209364,1,1,1,1,1,1,0,1,0,0,1,1,1
206,8934.059828514932,1,0,0,0,0,0,1,1,1,1,0,0,0
207,1718.8654983254792,0,0,0,0,0,0,0,0,0,0,0,0,0
208,4901.2043106506635,1,1,1,1,1,1,0,1,0,0,1,0,1
209,497.0616141078033,1,1,1,1,1,1,0,0,1,0,0,0,0
210,9961.292024039607,1,1,1,1,1,1,1,0,0,1,0,0,0
211,6409.842893360272,0,0,0,0,0,0,0,0,0,1,1,0,1
212,8640.665560115423,0,0,0,0,0,0,1,1,0,0,0,1,0
213,8061.749701255317,0,1,1,1,0,1,0,0,0,0,1,0,1
214,5876.526943018591,1,1,1,1,1,1,0,1,1,1,1,0,1
215,6526.209666931125,1,1,1,1,0,1,0,0,0,0,0,0,0
216,5725.1756338423365,0,0,0,0,0,0,1,1,1,1,0,0,1
217,9579.99744154303,0,1,0,1,1,1,1,1,1,1,1,1,1
218,8065.900459829659,1,0,0,1,1,1,0,0,1,1,1,1,1
219,5529.0308869189785,0,0,1,1,1,0,0,0,0,0,0,0,0
220,4407.299331526988,1,1,0,0,1,1,1,1,0,1,1,1,1
221,5722.349489039493,1,0,0,1,1,1,1,0,0,1,0,0,0
222,973.9514723200815,1,1,1,0,0,1,0,0,0,0,0,1,0
223,2236.8515850230706,0,1,1,1,1,1,1,0,1,1,1,0,0
224,2217.65364494116,1,1,1,1,1,0,0,1,0,1,1,0,1
225,179.53661431270086,1,1,1,1,0,1,0,0,0,0,1,1,1
226,9940.346018602379,1,1,1,1,1,1,0,0,1,1,1,0,0
227,8076.3000166314005,1,0,0,1,1,1,0,1,0,1,1,1,1
228,1223.7496873401553,1,1,1,0,1,1,1,1,0,1,1,1,1
229,4366.113048920528,1,1,1,1,1,1,0,0,1,0,1,1,1
230,9384.827639892697,0,1,1,1,1,1,0,0,0,0,0,1,1
231,1623.2283371480216,1,1,0,1,1,1,1,1,1,1,0,0,0
232,9643.628719014807,0,0,0,0,0,0,0,1,0,0,0,1,1
233,453.78475284462814,0,0,0,0,0,0,0,0,1,0,1,1,1
234,5456.161530332417,1,1,1,1,1,1,0,1,1,0,1,1,1
235,7415.076651749145,0,0,0,0,0,0,1,1,1,1,1,0,0
236,6427.493733334695,0,0,0,0,0,0,1,1,1,0,0,1,0
237,4040.3303099598575,0,1,1,0,1,0,1,1,1,1,1,0,0
238,3006.247646461151,0,0,0,0,0,0,1,0,1,1,1,0,0
239,4322.708800857174,1,1,1,1,0,0,0,0,0,0,0,0,0
240,7061.555623079405,0,1,1,1,0,1,0,1,0,1,1,1,1
241,8041.50254004752,1,0,0,1,1,1,0,0,0,0,0,1,0
242,4317.212454642709,1,1,0,1,1,1,1,1,1,1,1,1,1
243,9215.996167154273,1,1,1,1,1,0,0,0,0,0,0,0,1
244,7197.801670059843,0,1,0,0,1,0,0,0,1,0,0,0,1
245,2101.0765523206755,1,0,1,1,1,1,0,0,0,0,1,0,1
246,2311.7691777615755,0,0,1,1,0,1,0,0,0,0,1,1,1
247,4171.04333956749,1,0,1,1,1,0,1,0,0,0,1,1,0
248,9436.318623403284,0,0,0,0,0,0,1,1,1,1,1,1,1
249,49.14942203211092,1,1,1,0,1,1,1,0,1,0,1,1,0
250,9528.517664580228,1,1,1,1,1,1,0,0,0,1,0,0,0
251,5678.501619476447,0,1,0,1,0,1,0,0,0,0,0,0,1
252,7669.890393242964,0,0,0,1,1,0,0,0,0,0,0,0,1
253,5083.8971774368565,1,1,0,1,1,1,0,1,1,1,0,0,0
254,8396.107054827755,1,1,1,1,1,1,0,0,0,0,0,0,0
255,306.8401018232947,0,0,1,0,0,0,1,1,1,0,0,0,1
256,9132.357749413655,1,1,1,1,1,1,1,1,0,1,1,1,1
257,2774.286896940128,1,1,1,0,1,1,0,0,1,1,1,1,1
258,5169.2423806825145,0,0,0,0,0,0,0,1,0,0,1,1,1
259,9399.906778105016,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6105.336221897613,0,0,0,0,0,0,1,0,1,1,0,0,0
261,7286.904616364357,1,1,1,1,1,1,0,0,1,1,1,0,1
262,282.160853207043,0,0,0,0,1,1,0,0,0,0,1,1,1
263,6360.305481139442,0,0,0,1,1,1,0,1,1,0,0,0,1
264,4559.45005515059,0,1,1,1,1,0,0,0,1,0,0,0,0
265,3220.5688975044222,1,0,0,0,1,0,1,1,1,1,1,1,1
266,6412.849134914759,1,1,1,1,1,1,0,0,0,0,1,0,0
267,6889.440227827179,0,0,0,0,0,0,1,0,0,0,1,1,1
268,6163.317797661842,1,1,1,0,1,0,0,0,1,1,1,0,0
269,6956.024275387531,0,1,0,1,0,0,1,1,1,1,0,1,1
270,1336.7037094944012,1,1,0,0,0,1,1,0,0,0,1,1,1
271,7318.471325188261,1,1,1,1,0,1,1,0,0,0,1,1,1
272,1063.9824400817422,1,1,1,0,1,1,0,0,0,0,1,1,0
273,700.6989080858583,1,1,0,0,0,1,1,0,1,1,1,1,1
274,8619.713490940256,0,0,0,1,0,0,0,1,0,1,0,0,0
275,9599.003847417009,0,1,0,0,0,0,0,0,0,1,0,0,0
276,427.9195615186748,0,0,0,1,0,1,1,1,1,1,1,1,1
277,8523.312073861569,0,0,0,1,0,0,1,1,0,0,1,1,1
278,9824.02013811069,1,1,1,1,1,1,1,0,0,0,1,1,1
279,2057.260504786259,1,1,1,1,1,1,0,1,0,0,0,1,0
280,4320.843290173229,1,1,1,1,1,1,0,0,0,0,1,0,0
281,6417.474588036381,1,1,1,0,1,1,0,1,1,1,0,0,0
282,5583.585633295128,1,1,1,1,0,1,1,0,0,1,0,1,0
283,1984.4985882932608,0,0,0,0,0,0,0,0,1,1,0,1,1
284,9139.0112584135,1,0,1,1,1,1,0,0,1,0,0,0,1
285,6671.088136690677,0,0,0,0,0,1,1,1,1,1,0,0,0
286,1902.3424728505868,0,0,0,1,1,0,1,1,0,1,1,1,1
287,5302.817844468457,0,0,0,1,1,1,0,0,0,0,0,0,0
288,2363.410935360871,1,1,1,0,0,1,0,0,1,1,1,1,0
289,3233.0519116813616,1,1,1,1,0,1,1,1,0,0,1,1,1
290,6420.583399907346,1,1,1,1,1,1,1,1,1,1,0,0,0
291,2858.265792886101,1,0,1,1,1,0,1,1,0,1,0,0,0
292,334.61705977408496,1,1,1,0,1,1,1,1,1,1,0,0,1
293,6580.011246771931,1,1,1,1,1,1,1,0,0,0,0,0,1
294,5545.828621527423,1,0,1,0,1,0,0,1,0,0,0,1,1
295,3363.2522980170534,0,0,1,0,1,0,0,1,0,0,0,1,0
296,6065.366564991452,1,1,0,1,1,0,1,1,0,0,1,0,1
297,4095.342638222612,1,0,1,1,0,0,0,1,1,1,0,0,0
298,8768.692657400006,0,0,1,0,1,1,1,1,0,1,0,0,0
299,6505.4178042906615,1,1,1,1,1,1,0,1,0,0,0,1,0
300,7413.928735262365,0,0,0,0,0,0,1,1,0,1,0,0,0
301,4100.629054063368,0,0,0,1,1,1,0,1,0,0,1,1,1
302,6538.159128035184,1,1,0,1,0,1,0,0,0,0,0,0,0
303,5986.534423549096,0,1,0,1,1,1,0,0,1,0,1,0,0
304,2411.764366933138,1,1,1,1,0,1,1,1,1,0,0,0,0
305,9735.333784928756,1,1,0,1,1,0,1,1,1,1,0,0,1
306,8102.874656518767,0,0,0,0,1,0,0,0,0,0,1,1,0
307,4007.6053188615624,1,1,1,0,1,0,0,0,0,1,1,0,1
308,9097.936151311935,0,0,0,0,0,1,1,1,1,1,1,0,1
309,6533.092228150893,1,1,1,1,1,1,1,0,1,0,0,0,0
310,5254.658525095367,0,0,0,0,0,0,0,0,0,0,0,0,1
311,4838.473119826019,1,0,0,0,0,0,0,0,1,1,1,0,0
312,4301.155433700017,1,0,1,1,1,1,1,1,1,1,0,0,1
313,6887.138124412198,1,0,1,0,1,1,0,0,0,0,1,0,0
314,4580.007554281984,0,0,1,1,1,1,1,0,0,0,0,1,0
315,974.0626876299274,1,1,0,0,1,1,1,0,1,1,1,1,1
316,9487.786081998996,1,0,0,1,0,0,1,0,1,1,0,1,0
317,5221.432790043272,0,0,0,0,0,0,0,0,1,0,1,0,1
318,5308.031737410728,1,1,1,1,1,1,1,0,1,1,0,0,0
319,1579.5902971068099,1,1,1,1,1,1,1,0,0,0,0,0,0
320,8238.158256658207,1,1,0,0,1,0,1,1,0,1,0,1,0
321,4388.674571410784,0,1,1,1,1,0,0,0,0,1,1,0,1
322,7804.501999590719,0,0,0,0,0,0,0,0,0,0,1,0,0
323,6224.295423258591,0,1,1,1,1,1,1,1,1,1,1,1,1
324,3268.996146480805,0,0,0,0,0,0,0,0,0,0,1,0,1
325,1839.8807048097688,1,1,1,1,0,1,0,1,1,1,1,1,1
326,9649.42055224459,0,1,0,0,1,0,1,1,0,0,0,0,0
327,5434.42439094246,1,0,0,1,0,1,1,1,1,1,1,1,1
328,1267.9063288768234,1,1,1,1,1,1,0,0,0,0,0,0,1
329,9731.702865467867,1,1,0,1,0,1,1,0,0,1,0,0,0
330,2019.978937840987,1,1,1,1,0,1,0,0,0,0,1,1,1
331,7884.658711760882,0,0,0,0,0,0,1,1,0,0,1,0,0
332,4394.5787935425815,1,1,0,1,1,1,1,0,1,1,0,0,0
333,8753.276307389544,1,1,0,1,0,1,1,0,0,0,1,1,1
334,5632.248469688236,1,1,1,1,1,1,1,1,1,0,1,1,1
335,6344.967360681003,1,1,1,0,0,0,0,1,0,0,1,1,1
336,8521.083545755147,0,1,0,1,1,0,1,0,1,1,0,0,0
337,4379.828950364091,0,1,1,0,0,0,1,1,0,1,0,0,0
338,1385.5238658411972,1,1,1,1,1,1,0,1,1,0,0,1,0
339,5574.5685318769965,1,1,1,1,1,1,1,1,1,1,0,0,1
340,3363.734973295285,1,1,1,1,1,1,0,0,0,0,1,0,0
341,8061.484940231898,0,0,1,1,1,0,1,0,0,0,1,1,1
342,6745.147430684005,0,0,0,0,0,0,1,0,1,0,0,1,1
343,9743.619827184773,0,0,1,0,0,0,1,1,0,1,0,0,0
344,209.04745359424436,0,1,1,0,1,1,0,1,1,1,0,1,0
345,36.447556290728485,0,0,0,1,0,1,1,0,0,0,0,0,1
346,9197.989746643307,1,1,1,1,1,1,1,1,0,1,0,0,0
347,2003.4075187839208,1,1,1,1,0,1,1,1,0,1,1,1,1
348,3032.545745084104,0,0,0,1,0,0,1,0,0,0,1,1,1
349,292.3213587183571,0,1,1,1,1,1,0,0,0,1,0,1,1
350,3022.706656908942,0,1,1,1,0,0,0,0,0,0,1,1,1
351,141.7458088407364,1,1,1,1,1,1,1,1,1,1,1,1,1
352,4840.397580812591,0,0,0,1,0,0,1,0,1,0,0,0,0
353,9025.368699534614,1,1,1,1,0,1,1,1,1,1,0,0,0
354,2966.326028002727,0,1,0,1,0,1,1,1,0,1,0,0,0
355,9792.507024048837,0,0,0,0,0,0,0,0,0,0,0,0,0
356,6538.582319254582,0,0,0,0,0,1,1,1,1,1,0,0,0
357,5638.745377969429,0,0,0,0,0,0,0,0,0,0,1,0,0
358,5656.197549991319,0,1,1,1,1,1,1,0,1,1,1,1,0
359,664.8720358712524,0,1,0,0,1,1,1,0,1,1,0,0,1
360,1984.3954684885778,1,0,0,1,1,1,0,0,0,0,1,1,1
361,2000.257801938987,1,0,1,1,1,1,0,1,0,0,0,0,0
362,8127.816921027498,0,0,1,0,0,0,1,0,1,1,1,0,0
363,1854.6959212847257,0,0,0,1,0,0,0,0,1,0,1,1,1
364,2414.9837004010024,1,0,1,1,0,1,1,1,1,1,0,0,0
365,8289.692922122973,0,0,0,0,0,0,0,0,0,0,1,1,1
366,1645.0598544700078,0,1,0,1,0,0,1,1,0,0,1,1,1
367,1693.5520690326,1,1,0,1,0,0,0,0,0,1,0,0,0
368,3852.4220922827135,1,1,0,1,1,1,1,1,1,1,1,1,1
369,6212.737555460569,0,1,0,0,1,1,0,0,0,0,1,1,0
370,6095.035784268542,0,1,0,0,0,1,1,1,1,1,0,0,0
371,4857.929057603492,1,1,0,1,1,0,1,1,1,1,0,1,0
372,894.7041631882524,0,1,0,1,1,1,0,0,0,0,0,0,0
373,699.947600289621,1,1,1,1,0,1,1,1,1,1,1,1,1
374,2845.482791198186,1,0,1,1,0,1,1,1,0,0,0,0,1
375,9393.913589023146,1,1,1,1,1,1,0,0,0,0,1,1,1
376,8548.152377033271,1,1,1,1,1,1,1,0,0,0,1,1,1
377,4291.207903317401,1,1,1,1,1,1,0,0,0,0,1,1,0
378,8259.65086862962,0,0,0,0,0,0,0,0,0,0,1,0,0
379,9025.714422950492,0,1,1,1,0,1,1,0,1,1,0,0,0
380,6369.57199303456,1,1,1,1,1,1,0,0,0,0,1,0,1
381,9088.165746463597,0,0,1,0,1,1,1,0,1,0,1,1,0
382,1142.1839613698637,1,0,0,1,1,0,0,0,1,1,1,1,1
