id,timestamp,referral-site,referral-type
161,2009-03-03 17:34:18,pinterest,paid
162,2009-03-17 18:29:22,instagram,paid
163,2009-03-15 12:16:37,fitness magazine,organic
164,2009-03-16 13:24:18,ebates,paid
165,2009-03-02 23:04:33,instagram,organic
166,2009-03-27 03:59:35,slickdeals,paid
167,2009-03-21 03:09:06,ebates,organic
168,2009-03-06 23:08:34,instagram,paid
169,2009-03-04 12:12:36,youtube,paid
170,2009-03-14 03:16:17,twitter,paid
171,2009-03-06 09:21:26,instagram,organic
172,2009-03-05 14:44:40,amazon,paid
173,2009-03-04 09:34:42,slickdeals,organic
174,2009-03-27 10:46:27,ebates,organic
175,2009-03-09 21:20:14,instagram,organic
176,2009-03-18 05:05:41,facebook,paid
177,2009-03-11 18:59:21,amazon,organic
178,2009-03-02 09:07:37,instagram,organic
179,2009-03-10 19:04:05,discovery,paid
180,2009-03-11 13:46:29,amazon,organic
181,2009-03-22 10:49:03,discovery,organic
182,2009-03-30 02:53:06,pinterest,paid
183,2009-03-12 03:11:24,pinterest,paid
184,2009-03-02 21:00:25,instagram,paid
185,2009-03-07 21:03:34,fitness magazine,organic
186,2009-03-01 13:35:43,messenger,paid
187,2009-03-11 01:45:49,pinterest,paid
188,2009-03-29 14:20:23,twitter,organic
189,2009-03-04 13:58:24,facebook,paid
190,2009-03-09 05:18:33,fitness magazine,paid
191,2009-03-28 09:56:56,discovery,organic
192,2009-03-07 05:23:00,youtube,organic
193,2009-03-14 23:45:47,facebook,paid
194,2009-03-07 03:13:01,google,organic
195,2009-03-29 12:01:43,messenger,paid
196,2009-03-18 17:59:22,messenger,organic
197,2009-03-25 00:15:08,pinterest,organic
198,2009-03-18 10:36:44,twitter,paid
199,2009-03-14 08:23:17,fitness magazine,organic
200,2009-03-23 15:18:01,facebook,organic
201,2009-03-12 14:12:51,twitter,organic
202,2009-03-31 23:29:57,youtube,paid
203,2009-03-20 13:00:53,instagram,paid
204,2009-03-31 10:56:06,instagram,organic
205,2009-03-10 13:26:39,fitness magazine,paid
206,2009-03-23 14:52:21,google,paid
207,2009-03-01 13:22:05,ebates,paid
208,2009-03-16 18:00:37,amazon,paid
209,2009-03-18 05:31:30,facebook,paid
210,2009-03-18 12:28:14,twitter,organic
211,2009-03-21 21:18:04,fitness magazine,organic
212,2009-03-31 18:04:59,instagram,organic
213,2009-03-04 17:18:34,slickdeals,organic
214,2009-03-19 14:39:26,messenger,paid
215,2009-03-22 21:23:13,amazon,organic
216,2009-03-13 03:25:21,youtube,paid
217,2009-03-12 12:34:17,messenger,organic
218,2009-03-03 05:42:15,twitter,paid
219,2009-03-20 02:29:17,messenger,organic
220,2009-03-03 11:56:15,fitness magazine,paid
221,2009-03-21 04:43:56,facebook,organic
222,2009-03-11 13:04:00,discovery,paid
223,2009-03-23 17:30:19,google,paid
224,2009-03-31 08:27:28,fitness magazine,paid
225,2009-03-09 03:13:22,amazon,paid
226,2009-03-13 06:42:40,youtube,paid
227,2009-03-25 12:28:56,google,organic
228,2009-03-17 05:54:55,google,paid
229,2009-03-13 07:04:22,facebook,paid
230,2009-03-02 19:34:51,discovery,paid
231,2009-03-30 18:16:55,twitter,paid
232,2009-03-16 22:47:35,messenger,paid
233,2009-03-30 04:31:37,discovery,organic
234,2009-03-26 07:59:58,ebates,organic
235,2009-03-01 14:27:00,discovery,organic
236,2009-03-23 12:08:47,twitter,paid
237,2009-03-13 18:42:15,pinterest,organic
238,2009-03-26 05:21:20,pinterest,paid
239,2009-03-20 09:20:19,facebook,paid
240,2009-03-29 16:03:27,instagram,paid
241,2009-03-15 19:34:41,pinterest,organic
242,2009-03-25 11:29:50,messenger,organic
243,2009-03-11 17:58:34,instagram,organic
244,2009-03-19 08:31:04,slickdeals,organic
245,2009-03-20 07:14:40,amazon,paid
246,2009-03-08 14:48:22,fitness magazine,paid
247,2009-03-22 21:03:33,instagram,organic
248,2009-03-16 17:04:23,amazon,paid
249,2009-03-10 13:17:14,youtube,organic
250,2009-03-10 11:53:08,slickdeals,paid
251,2009-03-31 09:38:13,instagram,paid
252,2009-03-09 16:20:09,pinterest,paid
253,2009-03-23 22:28:08,amazon,organic
254,2009-03-31 22:27:39,ebates,organic
255,2009-03-07 01:45:51,discovery,organic
256,2009-03-26 19:48:00,google,organic
257,2009-03-03 06:55:26,ebates,paid
258,2009-03-02 15:14:49,amazon,organic
259,2009-03-05 21:01:44,ebates,organic
260,2009-03-13 06:11:58,twitter,paid
261,2009-03-22 11:01:34,instagram,paid
262,2009-03-07 00:11:10,youtube,organic
263,2009-03-19 21:36:46,facebook,organic
264,2009-03-19 22:00:06,amazon,organic
265,2009-03-28 09:51:33,facebook,paid
266,2009-03-16 19:24:23,instagram,paid
267,2009-03-23 03:51:53,fitness magazine,paid
268,2009-03-04 14:09:02,facebook,paid
269,2009-03-28 06:44:47,pinterest,paid
270,2009-03-12 17:23:23,fitness magazine,paid
271,2009-03-16 15:30:30,ebates,paid
272,2009-03-17 00:20:48,slickdeals,paid
273,2009-03-10 11:27:19,slickdeals,organic
274,2009-03-26 03:04:07,ebates,paid
275,2009-03-13 00:30:32,google,paid
276,2009-03-20 01:24:29,instagram,paid
277,2009-03-09 17:25:16,instagram,organic
278,2009-03-11 10:30:38,fitness magazine,organic
279,2009-03-07 07:35:30,messenger,paid
280,2009-03-15 23:22:58,messenger,organic
281,2009-03-26 12:17:51,ebates,organic
282,2009-03-25 11:50:20,google,organic
283,2009-03-29 09:58:26,ebates,paid
284,2009-03-10 07:38:18,twitter,paid
285,2009-03-05 02:02:29,instagram,paid
286,2009-03-04 23:26:02,facebook,paid
287,2009-03-05 11:06:55,slickdeals,paid
288,2009-03-18 01:06:09,instagram,organic
289,2009-03-20 05:36:34,slickdeals,paid
290,2009-03-22 11:12:02,youtube,paid
291,2009-03-06 05:06:13,pinterest,paid
292,2009-03-15 13:07:56,instagram,paid
293,2009-03-31 05:47:06,fitness magazine,organic
294,2009-03-07 21:12:18,facebook,paid
295,2009-03-06 09:12:06,messenger,paid
296,2009-03-09 16:59:02,youtube,paid
297,2009-03-12 22:16:07,instagram,paid
298,2009-03-10 00:57:52,facebook,paid
299,2009-03-23 22:17:30,messenger,paid
300,2009-03-25 20:04:18,facebook,organic
301,2009-03-09 18:10:19,twitter,organic
302,2009-03-28 18:52:59,instagram,paid
303,2009-03-29 03:09:04,twitter,organic
304,2009-03-09 11:49:26,instagram,paid
305,2009-03-16 18:57:29,twitter,organic
306,2009-03-17 02:56:21,instagram,paid
307,2009-03-19 17:37:31,facebook,paid
308,2009-03-07 12:35:56,amazon,organic
309,2009-03-09 15:55:29,facebook,paid
310,2009-03-18 20:55:06,google,paid
311,2009-03-11 16:24:50,facebook,paid
312,2009-03-17 13:09:19,discovery,organic
313,2009-03-29 00:43:05,discovery,paid
314,2009-03-11 19:34:41,twitter,organic
315,2009-03-24 12:16:19,youtube,organic
316,2009-03-30 00:28:52,facebook,organic
317,2009-03-11 08:10:24,instagram,organic
318,2009-03-19 12:10:24,fitness magazine,paid
319,2009-03-28 09:48:49,fitness magazine,paid
320,2009-03-29 08:25:08,messenger,organic
321,2009-03-11 06:22:15,slickdeals,organic
322,2009-03-12 03:20:54,discovery,paid
323,2009-03-29 07:48:55,youtube,paid
324,2009-03-31 06:46:31,fitness magazine,organic
325,2009-03-21 17:31:00,google,paid
326,2009-03-25 00:23:05,instagram,paid
327,2009-03-20 21:18:37,messenger,organic
328,2009-03-17 17:53:23,google,paid
329,2009-03-08 18:06:26,discovery,organic
330,2009-03-30 21:22:18,facebook,organic
331,2009-03-07 10:54:19,facebook,organic
332,2009-03-22 17:11:09,fitness magazine,organic
333,2009-03-13 06:07:43,google,paid
334,2009-03-14 12:38:47,google,organic
335,2009-03-06 22:26:00,facebook,paid
336,2009-03-13 17:06:27,amazon,paid
337,2009-03-15 00:20:34,fitness magazine,organic
338,2009-03-06 08:44:20,facebook,paid
339,2009-03-11 12:18:28,facebook,organic
340,2009-03-12 09:17:50,discovery,organic
341,2009-03-07 06:57:19,ebates,paid
342,2009-03-18 22:03:57,facebook,organic
343,2009-03-17 21:53:19,ebates,organic
344,2009-03-03 12:59:46,amazon,organic
345,2009-03-30 05:48:18,instagram,paid
346,2009-03-22 21:05:04,google,organic
347,2009-03-29 06:13:47,instagram,paid
348,2009-03-04 02:39:45,facebook,paid
349,2009-03-29 06:40:14,slickdeals,organic
350,2009-03-11 15:06:06,twitter,organic
351,2009-03-20 23:56:34,twitter,paid
352,2009-03-03 20:19:43,ebates,paid
353,2009-03-22 06:25:57,facebook,organic
354,2009-03-11 00:56:31,instagram,paid
355,2009-03-28 07:26:02,instagram,paid
356,2009-03-06 08:26:41,facebook,organic
357,2009-03-19 01:23:22,youtube,paid
358,2009-03-03 00:19:15,youtube,paid
359,2009-03-04 17:13:58,youtube,paid
360,2009-03-11 15:24:26,fitness magazine,organic
361,2009-03-01 04:34:45,messenger,paid
362,2009-03-25 02:26:18,youtube,paid
363,2009-03-13 13:32:18,fitness magazine,organic
364,2009-03-06 18:13:50,instagram,paid
365,2009-03-05 13:40:12,fitness magazine,organic
366,2009-03-19 23:12:23,instagram,organic
367,2009-03-03 09:47:52,fitness magazine,paid
368,2009-03-20 21:16:35,pinterest,paid
369,2009-03-17 03:50:40,youtube,paid
370,2009-03-24 05:06:39,pinterest,paid
371,2009-03-19 04:58:05,youtube,paid
372,2009-03-31 00:48:22,slickdeals,organic
373,2009-03-13 05:12:21,facebook,paid
374,2009-03-22 23:32:49,amazon,paid
375,2009-03-02 04:33:12,fitness magazine,paid
376,2009-03-09 09:12:20,pinterest,paid
377,2009-03-21 05:37:04,ebates,organic
378,2009-03-10 20:22:21,pinterest,paid
379,2009-03-30 15:34:20,youtube,paid
380,2009-03-26 04:06:13,twitter,paid
381,2009-03-21 19:05:02,messenger,paid
382,2009-03-23 04:40:13,pinterest,organic
383,2009-03-02 20:33:27,twitter,paid
384,2009-03-18 15:53:34,facebook,paid
385,2009-03-17 19:06:06,google,paid
386,2009-03-24 14:44:24,amazon,paid
387,2009-03-04 17:43:46,discovery,organic
388,2009-03-17 10:15:07,fitness magazine,organic
389,2009-03-06 06:44:12,facebook,organic
390,2009-03-15 02:20:50,instagram,paid
391,2009-03-24 12:12:40,pinterest,organic
392,2009-03-31 12:29:01,ebates,paid
393,2009-03-19 22:26:23,facebook,paid
394,2009-03-14 00:15:08,twitter,organic
395,2009-03-17 15:31:57,discovery,paid
396,2009-03-30 09:05:37,amazon,paid
397,2009-03-30 14:45:51,google,paid
398,2009-03-16 12:57:08,google,paid
399,2009-03-17 10:10:24,slickdeals,organic
400,2009-03-15 19:22:36,ebates,paid
401,2009-03-15 20:44:52,amazon,paid
402,2009-03-24 14:12:34,twitter,paid
403,2009-03-27 17:30:51,instagram,organic
404,2009-03-23 17:12:17,ebates,paid
405,2009-03-20 02:35:54,ebates,paid
406,2009-03-14 09:58:28,facebook,organic
407,2009-03-20 09:05:10,pinterest,organic
408,2009-03-15 04:15:19,google,organic
409,2009-03-31 21:21:32,google,paid
410,2009-03-28 02:48:37,slickdeals,paid
411,2009-03-27 07:31:17,google,paid
412,2009-03-21 01:54:28,facebook,organic
413,2009-03-13 11:48:55,fitness magazine,paid
414,2009-03-30 13:24:15,slickdeals,paid
415,2009-03-18 01:13:51,facebook,paid
416,2009-03-11 13:13:49,youtube,organic
417,2009-03-21 00:11:53,ebates,organic
418,2009-03-14 20:33:50,twitter,paid
419,2009-03-16 21:42:52,ebates,organic
420,2009-03-27 23:38:01,pinterest,organic
421,2009-03-08 22:48:59,fitness magazine,organic
422,2009-03-14 23:10:57,discovery,paid
423,2009-03-20 02:15:59,amazon,paid
424,2009-03-01 04:21:28,slickdeals,paid
425,2009-03-06 18:06:58,google,paid
426,2009-03-17 15:00:47,fitness magazine,organic
427,2009-03-18 17:35:57,slickdeals,organic
428,2009-03-21 18:21:38,discovery,paid
429,2009-03-29 18:11:26,instagram,organic
430,2009-03-14 04:25:06,slickdeals,organic
431,2009-03-09 13:45:26,facebook,paid
432,2009-03-27 22:44:51,messenger,organic
433,2009-03-20 02:13:54,ebates,organic
434,2009-03-29 19:17:05,instagram,organic
435,2009-03-29 21:22:53,fitness magazine,paid
436,2009-03-19 14:04:34,discovery,organic
437,2009-03-19 20:45:38,amazon,organic
438,2009-03-23 14:30:40,youtube,paid
439,2009-03-11 13:17:49,google,paid
440,2009-03-10 06:26:35,fitness magazine,paid
441,2009-03-16 02:07:27,ebates,paid
442,2009-03-09 10:40:35,fitness magazine,organic
443,2009-03-11 01:46:56,messenger,paid
444,2009-03-10 10:16:23,google,paid
445,2009-03-25 18:44:34,messenger,organic
446,2009-03-02 07:02:27,twitter,paid
447,2009-03-13 21:22:21,slickdeals,paid
448,2009-03-15 15:17:15,amazon,organic
449,2009-03-27 23:34:57,ebates,organic
450,2009-03-27 18:07:32,instagram,paid
451,2009-03-23 09:33:07,youtube,paid
452,2009-03-05 14:38:47,ebates,organic
453,2009-03-09 01:05:40,fitness magazine,organic
454,2009-03-03 17:30:36,discovery,organic
455,2009-03-01 02:50:59,fitness magazine,paid
456,2009-03-31 21:57:40,twitter,paid
457,2009-03-25 22:32:10,discovery,organic
458,2009-03-30 13:28:44,facebook,paid
459,2009-03-22 05:14:53,facebook,organic
460,2009-03-03 02:05:28,instagram,organic
461,2009-03-09 10:19:06,messenger,organic
462,2009-03-19 14:55:29,facebook,organic
463,2009-03-13 17:31:50,fitness magazine,paid
464,2009-03-24 07:46:39,fitness magazine,paid
465,2009-03-08 18:05:11,amazon,organic
466,2009-03-13 08:44:51,youtube,organic
467,2009-03-19 07:27:31,pinterest,paid
468,2009-03-08 02:42:24,youtube,organic
469,2009-03-03 10:44:04,messenger,organic
470,2009-03-11 14:59:30,discovery,organic
471,2009-03-25 10:13:47,fitness magazine,paid
472,2009-03-05 20:25:17,messenger,organic
473,2009-03-22 11:37:32,messenger,organic
474,2009-03-21 12:06:32,fitness magazine,organic
475,2009-03-10 15:23:58,fitness magazine,organic
476,2009-03-01 05:31:27,discovery,organic
477,2009-03-10 02:33:30,ebates,organic
478,2009-03-09 00:27:41,discovery,paid
479,2009-03-31 22:33:05,pinterest,organic
480,2009-03-23 13:49:42,fitness magazine,organic
481,2009-03-13 17:52:19,pinterest,paid
482,2009-03-27 04:12:44,pinterest,paid
483,2009-03-06 10:00:34,ebates,organic
484,2009-03-30 07:12:13,pinterest,organic
485,2009-03-20 17:55:00,instagram,organic
486,2009-03-03 18:37:22,instagram,organic
487,2009-03-12 04:08:42,instagram,organic
488,2009-03-19 00:03:34,facebook,organic
489,2009-03-06 15:36:51,youtube,paid
490,2009-03-14 11:37:59,twitter,paid
491,2009-03-10 14:15:04,ebates,organic
492,2009-03-29 20:26:09,slickdeals,organic
493,2009-03-17 07:06:13,instagram,paid
494,2009-03-15 00:15:13,instagram,paid
495,2009-03-25 01:11:46,slickdeals,paid
496,2009-03-19 17:53:58,youtube,organic
497,2009-03-29 11:11:26,instagram,organic
498,2009-03-31 00:57:42,youtube,paid
499,2009-03-29 13:08:49,pinterest,paid
500,2009-03-09 08:11:39,slickdeals,organic
501,2009-03-04 19:08:08,facebook,organic
502,2009-03-03 14:21:10,instagram,paid
503,2009-03-28 03:01:15,messenger,organic
504,2009-03-01 16:22:54,instagram,paid
505,2009-03-06 15:02:18,pinterest,paid
506,2009-03-11 18:56:06,twitter,paid
507,2009-03-21 16:26:15,youtube,paid
508,2009-03-06 22:30:55,pinterest,paid
509,2009-03-05 11:01:25,discovery,organic
510,2009-03-19 13:48:35,slickdeals,paid
511,2009-03-01 06:06:23,twitter,paid
512,2009-03-06 13:41:13,pinterest,organic
513,2009-03-11 14:59:39,pinterest,organic
514,2009-03-22 06:22:58,amazon,paid
515,2009-03-09 04:16:32,instagram,organic
516,2009-03-25 01:51:32,facebook,organic
517,2009-03-24 16:11:08,slickdeals,paid
518,2009-03-28 04:03:08,amazon,organic
519,2009-03-30 01:36:22,twitter,organic
520,2009-03-12 04:53:56,google,paid
521,2009-03-30 08:10:17,messenger,paid
522,2009-03-24 18:05:42,ebates,organic
523,2009-03-25 08:49:51,ebates,paid
524,2009-03-04 07:42:25,ebates,organic
525,2009-03-07 04:36:20,google,organic
526,2009-03-03 14:21:30,twitter,organic
527,2009-03-28 04:03:16,slickdeals,paid
528,2009-03-14 12:30:24,discovery,organic
529,2009-03-04 17:54:37,twitter,organic
530,2009-03-08 22:19:22,ebates,organic
531,2009-03-29 17:19:55,fitness magazine,organic
532,2009-03-31 22:18:44,twitter,paid
533,2009-03-09 02:15:56,ebates,organic
534,2009-03-20 00:41:29,facebook,paid
535,2009-03-10 10:18:43,discovery,paid
536,2009-03-28 02:46:53,pinterest,paid
537,2009-03-31 20:16:15,google,paid
538,2009-03-31 12:10:33,slickdeals,paid
539,2009-03-03 18:33:16,amazon,paid
540,2009-03-26 00:33:19,discovery,paid
541,2009-03-31 09:15:22,instagram,organic
542,2009-03-31 01:20:54,slickdeals,paid
543,2009-03-07 06:50:17,pinterest,paid
544,2009-03-08 20:42:12,discovery,paid
545,2009-03-07 02:03:17,discovery,organic
546,2009-03-02 10:29:28,pinterest,paid
547,2009-03-01 00:36:15,ebates,paid
548,2009-03-01 12:16:53,instagram,paid
549,2009-03-05 17:16:49,facebook,organic
550,2009-03-13 04:05:58,amazon,paid
551,2009-03-12 13:43:32,facebook,organic
552,2009-03-23 11:26:38,fitness magazine,organic
553,2009-03-02 14:41:07,amazon,organic
554,2009-03-17 09:11:49,slickdeals,paid
555,2009-03-31 14:43:37,discovery,paid
556,2009-03-13 19:57:40,pinterest,paid
557,2009-03-31 18:52:35,facebook,paid
558,2009-03-04 04:53:12,fitness magazine,paid
559,2009-03-25 16:28:33,twitter,paid
560,2009-03-11 11:46:25,facebook,paid
561,2009-03-02 18:06:17,messenger,organic
562,2009-03-23 05:15:32,twitter,organic
563,2009-03-14 03:13:27,discovery,organic
564,2009-03-25 14:39:41,youtube,organic
565,2009-03-10 21:22:43,google,paid
566,2009-03-05 20:23:07,twitter,organic
567,2009-03-30 08:21:36,instagram,paid
568,2009-03-23 09:45:14,google,organic
569,2009-03-26 00:00:49,pinterest,paid
570,2009-03-24 08:30:38,ebates,paid
571,2009-03-20 12:18:28,fitness magazine,paid
572,2009-03-13 17:58:18,facebook,organic
573,2009-03-14 10:39:14,youtube,paid
574,2009-03-18 13:12:00,discovery,organic
575,2009-03-31 05:20:50,pinterest,paid
576,2009-03-19 17:52:36,ebates,organic
577,2009-03-20 13:41:27,fitness magazine,paid
578,2009-03-27 23:07:11,facebook,paid
579,2009-03-01 23:13:47,messenger,paid
580,2009-03-25 04:49:00,fitness magazine,paid
581,2009-03-28 11:47:34,twitter,paid
582,2009-03-19 03:30:39,twitter,paid
583,2009-03-07 10:09:26,messenger,paid
584,2009-03-29 23:23:30,slickdeals,paid
585,2009-03-21 21:25:16,instagram,organic
586,2009-03-17 23:37:48,messenger,paid
587,2009-03-11 08:34:51,google,paid
588,2009-03-13 04:40:22,google,organic
589,2009-03-02 17:54:25,amazon,organic
590,2009-03-27 18:01:54,fitness magazine,paid
591,2009-03-24 10:59:57,youtube,paid
592,2009-03-05 22:57:13,discovery,paid
593,2009-03-08 21:57:42,slickdeals,organic
594,2009-03-20 07:32:43,instagram,organic
595,2009-03-25 01:10:48,facebook,organic
596,2009-03-13 11:38:56,instagram,organic
597,2009-03-09 11:46:49,google,paid
598,2009-03-13 05:29:02,discovery,paid
599,2009-03-16 01:59:49,slickdeals,paid
600,2009-03-12 23:24:53,pinterest,paid
601,2009-03-03 10:50:39,twitter,organic
602,2009-03-18 15:18:13,instagram,organic
603,2009-03-12 00:48:32,messenger,paid
604,2009-03-07 05:36:43,pinterest,paid
605,2009-03-28 15:36:48,messenger,organic
606,2009-03-05 07:19:31,google,organic
607,2009-03-30 03:55:03,youtube,organic
608,2009-03-30 22:07:09,slickdeals,paid
609,2009-03-11 11:05:56,youtube,paid
610,2009-03-18 23:00:48,instagram,paid
611,2009-03-17 05:58:40,instagram,organic
612,2009-03-12 16:37:32,facebook,paid
613,2009-03-27 11:22:16,messenger,organic
614,2009-03-25 08:18:15,twitter,paid
615,2009-03-17 12:42:28,discovery,paid
616,2009-03-27 04:07:55,ebates,organic
617,2009-03-11 02:59:11,google,organic
618,2009-03-12 03:21:08,google,organic
619,2009-03-21 17:14:46,instagram,paid
620,2009-03-03 04:14:07,discovery,organic
621,2009-03-31 22:43:49,instagram,organic
622,2009-03-25 05:54:48,pinterest,paid
623,2009-03-16 08:59:17,messenger,paid
