transaction-id,timestamp,Brand,Model,Color
137,2009-03-02 00:25:58,Honda,Civic,red
138,2009-03-05 10:17:01,Nissan,Pathfinder,silver
139,2009-03-12 09:23:37,Toyota,RAV4,black
140,2009-03-23 21:18:38,Ford,Escape,blue
141,2009-03-03 15:19:02,Honda,CR-V,red
142,2009-03-05 21:37:59,Honda,Civic,dark-blue
143,2009-03-18 19:52:16,Ford,Mustang,black
144,2009-03-08 18:20:00,Honda,Accord,white
145,2009-03-06 14:42:52,Honda,Civic,silver
146,2009-03-16 12:44:10,Ford,Fiesta,dark-blue
147,2009-03-14 07:20:30,Nissan,Altima,red
148,2009-03-27 06:02:12,Honda,CR-V,black
149,2009-03-10 11:34:22,Toyota,4Runner,white
150,2009-03-06 18:31:03,Toyota,RAV4,white
151,2009-03-22 00:22:15,Nissan,Maxima,blue
152,2009-03-27 10:44:44,Honda,Fit,red
153,2009-03-09 08:54:52,Honda,Civic,black
154,2009-03-04 18:49:06,Ford,Escape,red
155,2009-03-17 23:04:25,Honda,Fit,black
156,2009-03-19 14:03:33,Nissan,Juke,black
157,2009-03-30 18:43:18,Honda,Fit,silver
158,2009-03-27 00:05:48,Nissan,Juke,red
159,2009-03-07 17:00:42,Nissan,Versa,dark-blue
160,2009-03-30 10:10:13,Chevy,Camaro,silver
161,2009-03-17 05:25:18,Ford,Mustang,dark-blue
162,2009-03-30 03:11:52,Ford,Explorer,red
163,2009-03-30 05:57:19,Honda,Odyssey,dark-blue
164,2009-03-10 02:58:04,Nissan,Sentra,blue
165,2009-03-11 20:52:35,Chevy,Cruze,white
166,2009-03-31 06:27:15,Toyota,4Runner,dark-blue
167,2009-03-20 13:05:24,Ford,Mustang,red
168,2009-03-12 19:57:39,Chevy,Impala,black
169,2009-03-26 14:36:03,Ford,Escape,white
170,2009-03-05 06:05:24,Nissan,Pathfinder,dark-blue
171,2009-03-21 06:58:12,Honda,Civic,red
172,2009-03-01 03:32:45,Toyota,RAV4,silver
173,2009-03-18 13:28:56,Toyota,4Runner,black
174,2009-03-29 01:13:09,Ford,Fiesta,silver
175,2009-03-07 07:02:11,Honda,Fit,black
176,2009-03-03 01:23:03,Honda,CR-V,black
177,2009-03-24 05:47:49,Honda,Accord,blue
178,2009-03-10 01:21:04,Toyota,RAV4,silver
179,2009-03-30 08:05:35,Chevy,Camaro,red
180,2009-03-03 10:44:44,Nissan,Pathfinder,red
181,2009-03-03 16:38:51,Honda,Odyssey,red
182,2009-03-25 06:55:40,Chevy,Cruze,black
183,2009-03-30 18:56:25,Toyota,RAV4,dark-blue
184,2009-03-20 12:23:05,Ford,Focus,silver
185,2009-03-24 16:11:43,Honda,Odyssey,silver
186,2009-03-08 13:44:18,Ford,Escape,blue
187,2009-03-23 02:11:22,Honda,Odyssey,black
188,2009-03-31 10:44:02,Honda,Civic,black
189,2009-03-07 13:37:52,Honda,Odyssey,red
190,2009-03-08 12:50:25,Honda,Odyssey,red
191,2009-03-17 20:27:11,Toyota,Corolla,dark-blue
192,2009-03-11 18:28:25,Ford,Escape,silver
193,2009-03-29 00:00:00,Chevy,Sonic,dark-blue
194,2009-03-05 18:10:46,Honda,CR-V,black
195,2009-03-11 07:34:54,Honda,Accord,red
196,2009-03-12 04:31:14,Honda,Odyssey,dark-blue
197,2009-03-08 17:36:33,Ford,Escape,dark-blue
198,2009-03-12 22:49:42,Chevy,Cruze,red
199,2009-03-16 14:30:59,Chevy,Cruze,red
200,2009-03-04 14:32:47,Toyota,Prius,dark-blue
201,2009-03-05 22:05:34,Chevy,Impala,silver
202,2009-03-29 02:26:43,Honda,Odyssey,blue
203,2009-03-01 00:37:44,Honda,Civic,red
204,2009-03-13 02:06:54,Honda,CR-V,silver
205,2009-03-19 14:37:09,Nissan,Versa,blue
206,2009-03-01 07:05:02,Nissan,Sentra,dark-blue
207,2009-03-01 07:25:23,Chevy,Malibu,white
208,2009-03-22 01:31:41,Ford,Focus,silver
209,2009-03-10 20:10:49,Ford,Fiesta,white
210,2009-03-16 10:02:37,Chevy,Cruze,black
211,2009-03-08 11:31:48,Toyota,Prius,red
212,2009-03-10 10:29:24,Nissan,Versa,white
213,2009-03-08 09:53:32,Toyota,Camry,black
214,2009-03-08 16:18:45,Ford,Fiesta,dark-blue
215,2009-03-31 17:10:21,Toyota,Camry,white
216,2009-03-11 01:02:29,Honda,Civic,dark-blue
217,2009-03-21 01:07:01,Toyota,Yaris,silver
218,2009-03-29 13:21:56,Ford,Fiesta,blue
219,2009-03-25 04:31:42,Honda,CR-V,white
220,2009-03-21 17:19:35,Ford,Mustang,black
221,2009-03-07 13:38:18,Chevy,Sonic,red
222,2009-03-02 14:03:10,Toyota,Corolla,white
223,2009-03-24 05:30:19,Honda,Fit,red
224,2009-03-06 22:49:41,Toyota,RAV4,silver
225,2009-03-31 13:12:13,Chevy,Impala,black
226,2009-03-09 14:50:59,Nissan,Pathfinder,silver
227,2009-03-13 13:31:57,Ford,Escape,red
228,2009-03-08 15:03:27,Honda,CR-V,red
229,2009-03-06 22:30:35,Toyota,Camry,dark-blue
230,2009-03-24 05:26:18,Ford,Focus,red
231,2009-03-10 01:22:30,Nissan,Altima,white
232,2009-03-25 15:25:05,Ford,Explorer,dark-blue
233,2009-03-21 17:43:00,Ford,Explorer,blue
234,2009-03-24 05:49:23,Honda,Civic,white
235,2009-03-12 15:35:17,Nissan,Maxima,white
236,2009-03-28 06:19:57,Honda,Civic,white
237,2009-03-30 01:02:22,Nissan,Sentra,silver
238,2009-03-24 13:21:14,Ford,Fiesta,black
239,2009-03-27 19:15:15,Nissan,Altima,black
240,2009-03-30 17:03:59,Chevy,Camaro,blue
241,2009-03-23 04:53:58,Ford,Fiesta,blue
242,2009-03-18 19:52:15,Toyota,Corolla,white
243,2009-03-20 03:18:39,Chevy,Impala,red
244,2009-03-12 00:19:56,Toyota,Yaris,red
245,2009-03-21 07:17:21,Chevy,Cruze,blue
246,2009-03-24 02:36:40,Chevy,Sonic,dark-blue
247,2009-03-13 18:58:23,Honda,Civic,blue
248,2009-03-29 15:22:48,Honda,Fit,silver
249,2009-03-22 03:03:20,Nissan,Versa,silver
250,2009-03-15 06:59:15,Honda,Fit,blue
251,2009-03-13 19:44:54,Toyota,Camry,dark-blue
252,2009-03-21 23:49:37,Ford,Focus,dark-blue
253,2009-03-14 14:52:33,Honda,Civic,black
254,2009-03-18 01:55:45,Chevy,Camaro,black
255,2009-03-20 18:43:37,Chevy,Malibu,silver
256,2009-03-01 23:09:51,Toyota,4Runner,blue
257,2009-03-13 21:05:11,Honda,Civic,red
258,2009-03-03 00:27:55,Toyota,Camry,white
259,2009-03-09 14:13:38,Honda,Fit,red
260,2009-03-27 15:32:14,Ford,Mustang,blue
261,2009-03-30 14:36:22,Honda,Fit,red
262,2009-03-28 01:04:18,Toyota,4Runner,red
263,2009-03-09 12:30:49,Ford,Escape,red
264,2009-03-08 01:26:24,Nissan,Sentra,black
265,2009-03-22 07:03:54,Honda,Fit,red
266,2009-03-06 18:29:49,Toyota,Yaris,silver
267,2009-03-28 04:00:51,Honda,CR-V,silver
268,2009-03-11 23:55:20,Chevy,Impala,white
269,2009-03-11 06:15:29,Chevy,Cruze,silver
270,2009-03-31 09:26:20,Toyota,RAV4,dark-blue
271,2009-03-03 16:42:01,Toyota,Yaris,silver
272,2009-03-09 02:19:29,Chevy,Camaro,red
273,2009-03-08 07:00:16,Chevy,Impala,dark-blue
274,2009-03-19 06:20:09,Chevy,Sonic,silver
275,2009-03-23 20:48:26,Toyota,RAV4,black
276,2009-03-17 04:11:50,Honda,CR-V,red
277,2009-03-02 07:56:28,Honda,Fit,red
278,2009-03-09 11:50:02,Chevy,Impala,dark-blue
279,2009-03-10 04:30:12,Honda,CR-V,white
280,2009-03-26 13:06:17,Chevy,Cruze,black
281,2009-03-21 01:09:56,Honda,Fit,blue
282,2009-03-12 03:28:06,Ford,Focus,black
283,2009-03-26 21:01:53,Honda,Odyssey,red
284,2009-03-19 12:41:57,Nissan,Altima,blue
285,2009-03-01 13:58:59,Ford,Mustang,white
286,2009-03-10 16:52:20,Chevy,Impala,dark-blue
287,2009-03-24 14:43:47,Toyota,Yaris,white
288,2009-03-25 19:32:31,Honda,CR-V,white
289,2009-03-20 02:25:20,Nissan,Pathfinder,red
290,2009-03-15 17:16:48,Toyota,Corolla,silver
291,2009-03-02 18:28:55,Chevy,Cruze,silver
292,2009-03-22 21:47:21,Chevy,Camaro,red
293,2009-03-09 12:18:29,Honda,Fit,red
294,2009-03-12 08:56:14,Toyota,Camry,silver
295,2009-03-15 14:05:21,Honda,Fit,dark-blue
296,2009-03-31 04:34:16,Toyota,Camry,black
297,2009-03-21 22:53:27,Ford,Focus,red
298,2009-03-19 14:37:58,Chevy,Cruze,blue
299,2009-03-20 17:42:04,Chevy,Camaro,white
300,2009-03-31 19:16:03,Honda,Fit,dark-blue
301,2009-03-03 18:20:45,Toyota,Camry,blue
302,2009-03-15 13:39:17,Nissan,Altima,blue
303,2009-03-22 15:31:20,Honda,Accord,red
304,2009-03-29 14:53:58,Ford,Focus,black
305,2009-03-06 17:36:13,Toyota,Yaris,white
306,2009-03-07 09:24:40,Ford,Escape,blue
307,2009-03-24 15:10:42,Toyota,Yaris,white
308,2009-03-20 09:02:00,Nissan,Altima,black
309,2009-03-12 00:30:00,Nissan,Maxima,blue
310,2009-03-04 06:05:35,Chevy,Malibu,blue
311,2009-03-15 18:57:27,Ford,Mustang,blue
312,2009-03-04 01:01:55,Ford,Fiesta,red
313,2009-03-09 11:23:47,Toyota,Camry,dark-blue
314,2009-03-30 10:42:22,Honda,Fit,red
315,2009-03-09 01:16:30,Toyota,Prius,black
316,2009-03-23 07:42:52,Chevy,Malibu,black
317,2009-03-11 00:26:07,Honda,Fit,blue
318,2009-03-18 02:08:41,Chevy,Camaro,silver
319,2009-03-10 16:56:54,Nissan,Altima,blue
320,2009-03-30 17:18:35,Ford,Mustang,red
321,2009-03-28 10:26:26,Ford,Explorer,red
322,2009-03-30 06:32:11,Honda,CR-V,black
323,2009-03-05 00:53:33,Toyota,Prius,dark-blue
324,2009-03-30 03:33:14,Toyota,RAV4,black
325,2009-03-02 12:03:35,Nissan,Pathfinder,black
326,2009-03-18 06:41:41,Nissan,Sentra,blue
327,2009-03-02 15:29:00,Chevy,Impala,silver
328,2009-03-01 11:41:10,Toyota,4Runner,dark-blue
329,2009-03-06 17:55:39,Honda,CR-V,black
330,2009-03-02 10:37:41,Ford,Fiesta,black
331,2009-03-02 06:30:21,Toyota,RAV4,black
332,2009-03-07 04:28:50,Toyota,Yaris,black
333,2009-03-21 17:10:37,Chevy,Cruze,black
334,2009-03-16 02:23:19,Nissan,Altima,dark-blue
335,2009-03-22 00:33:16,Toyota,RAV4,dark-blue
336,2009-03-04 13:43:27,Honda,Fit,blue
337,2009-03-25 18:44:51,Nissan,Sentra,dark-blue
338,2009-03-13 02:31:39,Nissan,Pathfinder,dark-blue
339,2009-03-02 06:19:03,Chevy,Impala,black
340,2009-03-02 09:14:33,Chevy,Camaro,black
341,2009-03-07 00:07:37,Toyota,Prius,blue
342,2009-03-04 09:48:54,Chevy,Camaro,white
343,2009-03-02 02:05:53,Honda,Fit,dark-blue
344,2009-03-26 12:03:21,Chevy,Sonic,dark-blue
345,2009-03-27 18:24:57,Nissan,Sentra,dark-blue
346,2009-03-05 02:38:09,Honda,CR-V,white
347,2009-03-29 18:53:23,Ford,Explorer,dark-blue
348,2009-03-12 02:04:37,Honda,Odyssey,red
349,2009-03-24 02:17:44,Nissan,Versa,blue
350,2009-03-07 16:14:57,Nissan,Altima,dark-blue
351,2009-03-01 11:59:11,Honda,Fit,red
352,2009-03-25 18:16:54,Chevy,Sonic,silver
353,2009-03-10 22:44:19,Ford,Explorer,white
354,2009-03-02 20:02:55,Chevy,Impala,dark-blue
355,2009-03-23 00:17:46,Honda,Accord,dark-blue
356,2009-03-13 00:57:14,Nissan,Sentra,white
357,2009-03-23 05:06:12,Ford,Mustang,blue
358,2009-03-28 04:34:13,Ford,Focus,red
359,2009-03-02 22:17:31,Honda,Civic,red
360,2009-03-06 13:59:35,Honda,Accord,red
361,2009-03-26 08:19:57,Chevy,Cruze,black
362,2009-03-19 12:28:53,Honda,Fit,black
363,2009-03-31 16:48:22,Nissan,Altima,silver
364,2009-03-23 04:35:04,Chevy,Camaro,silver
365,2009-03-27 20:26:00,Chevy,Sonic,red
366,2009-03-22 00:29:02,Toyota,Prius,blue
367,2009-03-10 20:56:51,Nissan,Altima,black
368,2009-03-08 19:24:16,Toyota,Prius,blue
369,2009-03-25 21:47:32,Ford,Fiesta,red
370,2009-03-28 18:25:02,Toyota,Yaris,red
371,2009-03-08 15:46:50,Nissan,Pathfinder,white
372,2009-03-13 13:43:23,Nissan,Altima,dark-blue
373,2009-03-12 08:03:46,Ford,Mustang,white
374,2009-03-15 00:17:01,Ford,Focus,blue
375,2009-03-22 05:31:12,Nissan,Versa,white
376,2009-03-16 17:09:12,Nissan,Pathfinder,black
377,2009-03-26 20:07:12,Honda,Civic,red
378,2009-03-07 09:56:18,Nissan,Altima,silver
379,2009-03-31 18:34:26,Honda,Civic,blue
380,2009-03-30 19:15:23,Toyota,Prius,white
381,2009-03-07 14:11:05,Chevy,Camaro,dark-blue
382,2009-03-28 06:11:16,Honda,CR-V,red
383,2009-03-23 10:38:20,Chevy,Impala,dark-blue
384,2009-03-07 04:55:04,Chevy,Sonic,red
385,2009-03-27 06:27:13,Honda,Fit,red
386,2009-03-13 13:04:24,Honda,Accord,white
387,2009-03-17 03:58:51,Toyota,Prius,black
388,2009-03-04 23:49:03,Toyota,Camry,red
389,2009-03-16 19:08:55,Toyota,Camry,silver
390,2009-03-25 12:34:58,Chevy,Sonic,white
391,2009-03-19 06:43:08,Honda,Accord,silver
392,2009-03-14 18:10:46,Honda,Civic,black
393,2009-03-08 11:09:49,Toyota,Corolla,blue
394,2009-03-07 02:44:06,Toyota,Prius,dark-blue
395,2009-03-21 21:28:35,Ford,Mustang,white
396,2009-03-01 05:04:41,Nissan,Juke,blue
397,2009-03-20 22:44:00,Ford,Explorer,red
398,2009-03-05 05:19:08,Toyota,Camry,dark-blue
399,2009-03-29 12:37:09,Ford,Mustang,dark-blue
400,2009-03-17 08:22:20,Honda,Odyssey,blue
401,2009-03-30 18:23:11,Chevy,Malibu,silver
402,2009-03-14 22:17:06,Ford,Explorer,silver
403,2009-03-20 15:39:32,Toyota,Yaris,dark-blue
404,2009-03-06 09:56:13,Toyota,RAV4,red
405,2009-03-02 11:16:06,Ford,Fiesta,blue
406,2009-03-15 09:42:43,Toyota,Prius,blue
407,2009-03-12 16:59:15,Ford,Fiesta,black
408,2009-03-01 02:32:29,Honda,Fit,dark-blue
409,2009-03-09 07:33:18,Chevy,Malibu,white
410,2009-03-22 22:43:12,Ford,Focus,black
411,2009-03-06 09:22:39,Ford,Explorer,silver
412,2009-03-17 05:49:30,Toyota,Prius,black
413,2009-03-12 06:02:20,Chevy,Impala,dark-blue
414,2009-03-15 16:58:35,Chevy,Sonic,black
415,2009-03-27 23:36:02,Chevy,Impala,blue
416,2009-03-09 15:02:06,Ford,Fiesta,white
417,2009-03-02 03:18:03,Toyota,Yaris,white
418,2009-03-23 08:17:33,Toyota,RAV4,silver
419,2009-03-24 17:34:18,Honda,Fit,dark-blue
420,2009-03-07 22:33:23,Ford,Fiesta,silver
421,2009-03-17 21:18:10,Honda,Civic,red
422,2009-03-17 01:20:49,Toyota,Yaris,red
423,2009-03-18 11:24:26,Chevy,Cruze,black
424,2009-03-24 18:04:46,Ford,Explorer,silver
425,2009-03-23 20:16:57,Ford,Focus,red
426,2009-03-16 19:47:19,Honda,CR-V,red
427,2009-03-20 05:52:41,Ford,Fiesta,white
428,2009-03-26 14:56:02,Nissan,Sentra,black
429,2009-03-26 03:06:18,Honda,Fit,black
430,2009-03-03 05:45:32,Ford,Escape,black
431,2009-03-06 17:07:49,Honda,CR-V,blue
432,2009-03-04 08:41:56,Toyota,RAV4,silver
433,2009-03-21 07:51:33,Chevy,Cruze,silver
434,2009-03-11 22:10:26,Honda,Accord,blue
435,2009-03-02 10:10:30,Ford,Explorer,white
436,2009-03-06 14:06:42,Chevy,Camaro,white
437,2009-03-04 19:34:35,Nissan,Sentra,red
438,2009-03-29 23:40:25,Honda,Odyssey,red
439,2009-03-01 10:42:10,Honda,Fit,white
440,2009-03-24 13:06:07,Chevy,Sonic,blue
441,2009-03-02 16:50:58,Chevy,Cruze,white
442,2009-03-06 02:20:28,Chevy,Impala,silver
443,2009-03-02 09:09:14,Nissan,Pathfinder,white
444,2009-03-20 13:30:09,Nissan,Altima,white
445,2009-03-04 11:31:42,Honda,Civic,black
446,2009-03-13 18:54:08,Honda,Fit,silver
447,2009-03-11 03:41:46,Honda,Accord,red
448,2009-03-20 06:55:06,Honda,Civic,red
449,2009-03-27 21:04:10,Chevy,Cruze,dark-blue
450,2009-03-28 14:32:35,Ford,Mustang,silver
451,2009-03-19 04:14:18,Toyota,Camry,silver
452,2009-03-16 07:26:42,Honda,Odyssey,red
453,2009-03-09 13:59:24,Nissan,Versa,red
454,2009-03-23 13:58:25,Honda,Accord,white
455,2009-03-11 02:40:09,Toyota,Corolla,silver
456,2009-03-16 02:19:42,Chevy,Sonic,silver
457,2009-03-08 20:11:25,Toyota,Camry,white
458,2009-03-13 03:12:55,Honda,Accord,dark-blue
459,2009-03-26 04:34:06,Nissan,Juke,black
460,2009-03-18 12:53:28,Chevy,Impala,red
461,2009-03-18 06:46:00,Nissan,Sentra,red
462,2009-03-05 17:17:18,Honda,CR-V,silver
463,2009-03-09 23:44:10,Nissan,Sentra,silver
464,2009-03-24 10:06:25,Nissan,Pathfinder,silver
465,2009-03-08 23:08:33,Ford,Focus,red
466,2009-03-13 16:34:26,Ford,Escape,dark-blue
467,2009-03-17 22:25:08,Toyota,RAV4,blue
468,2009-03-22 20:42:00,Honda,Fit,red
469,2009-03-24 15:09:34,Toyota,Yaris,blue
470,2009-03-05 08:18:30,Ford,Escape,white
471,2009-03-05 01:32:44,Nissan,Altima,black
472,2009-03-30 08:39:13,Ford,Fiesta,silver
473,2009-03-21 13:23:40,Ford,Explorer,dark-blue
474,2009-03-09 23:51:07,Honda,Fit,blue
475,2009-03-17 09:07:51,Chevy,Sonic,silver
476,2009-03-03 14:02:46,Honda,Fit,white
477,2009-03-01 08:31:01,Chevy,Camaro,red
478,2009-03-07 05:21:14,Nissan,Juke,black
479,2009-03-16 23:19:21,Chevy,Cruze,red
480,2009-03-22 10:43:36,Ford,Explorer,red
481,2009-03-04 11:47:17,Chevy,Cruze,white
482,2009-03-29 08:15:15,Honda,Civic,red
483,2009-03-04 20:43:56,Nissan,Versa,black
484,2009-03-03 00:43:49,Chevy,Camaro,black
485,2009-03-09 19:36:44,Ford,Focus,blue
486,2009-03-19 22:00:22,Chevy,Camaro,red
487,2009-03-31 19:02:53,Honda,Fit,red
488,2009-03-24 19:49:37,Honda,Odyssey,silver
489,2009-03-25 21:52:04,Chevy,Camaro,red
490,2009-03-12 19:27:03,Ford,Escape,white
491,2009-03-14 06:05:40,Honda,Civic,silver
492,2009-03-22 12:45:19,Honda,Civic,red
493,2009-03-04 21:45:31,Chevy,Malibu,red
494,2009-03-26 03:06:52,Toyota,Corolla,silver
495,2009-03-01 21:05:32,Ford,Explorer,red
496,2009-03-31 09:25:55,Nissan,Pathfinder,white
497,2009-03-03 17:09:02,Toyota,4Runner,white
498,2009-03-27 15:54:13,Honda,Civic,dark-blue
499,2009-03-20 21:33:01,Toyota,RAV4,white
500,2009-03-03 05:41:51,Toyota,4Runner,black
501,2009-03-10 13:44:40,Nissan,Versa,blue
502,2009-03-13 14:29:54,Chevy,Cruze,red
503,2009-03-27 13:19:48,Ford,Escape,silver
504,2009-03-14 18:43:30,Nissan,Sentra,silver
505,2009-03-27 17:34:25,Ford,Mustang,white
506,2009-03-18 01:23:29,Honda,Odyssey,silver
507,2009-03-02 21:06:56,Ford,Fiesta,red
508,2009-03-06 16:01:29,Toyota,Corolla,dark-blue
509,2009-03-21 17:03:40,Honda,Odyssey,red
510,2009-03-25 05:40:16,Chevy,Impala,blue
511,2009-03-15 13:31:07,Toyota,RAV4,red
