id,item,dollars,wkday,time
246,microwave,24.98,Sun,0
247,cookware set,84.55,Sat,1
248,carpet,100.93,Mon,3
249,fan,10.91,Wed,3
250,decorations,15.09,5,0
251,cookware set,99.77,Sat,1
252,toaster,19.0,Mon,1
253,decorations,10.04,Tue,3
254,carpet,25.49,Tue,2
255,microwave,17.99,Mon,3
256,paint,15.54,Sun,0
257,fan,105.96,Sun,3
258,fan,105.02,Sat,0
259,microwave,28.84,Mon,1
260,decorations,11.49,5,3
261,fan,62.91,Tue,2
262,paint,12.28,Mon,0
263,cookware set,51.24,Tue,0
264,decorations,12.74,Mon,0
265,cookware set,53.95,Mon,3
266,cookware set,22.46,Mon,3
267,toaster,15.4,Fri,0
268,microwave,38.95,Fri,2
269,paint,12.08,Tue,0
270,fan,96.78,Tue,0
271,fan,95.84,Tue,0
272,fan,94.25,Mon,1
273,fan,70.42,Mon,2
274,microwave,24.97,Sat,3
275,toaster,12.9,Mon,1
276,toaster,23.34,Sun,1
277,microwave,26.68,Sun,2
278,paint,18.35,Mon,0
279,microwave,25.7,Sat,0
280,carpet,103.69,Sat,3
281,cookware set,108.67,Fri,3
282,fan,14.38,Thur,3
283,decorations,14.78,5,3
284,fan,66.47,Tue,1
285,decorations,13.67,Wed,2
286,cookware set,62.84,Tue,2
287,toaster,19.2,Thur,2
288,carpet,75.56,Mon,2
289,microwave,14.95,Sat,3
290,decorations,17.42,5,2
291,toaster,20.3,Fri,0
292,toaster,17.88,Wed,2
293,microwave,30.09,Mon,2
294,microwave,29.16,Mon,3
295,fan,64.93,Thur,0
296,paint,14.03,Wed,0
297,fan,43.57,Wed,0
298,decorations,14.4,Tue,3
299,decorations,17.46,5,2
300,toaster,24.38,Sun,3
301,cookware set,59.16,Wed,0
302,cookware set,45.39,Wed,1
303,carpet,109.31,Sat,2
304,decorations,19.42,Thur,1
305,decorations,10.19,Thur,2
306,decorations,13.29,5,2
307,paint,19.29,Wed,0
308,carpet,82.51,Fri,3
309,decorations,14.61,Thur,2
310,toaster,18.55,Thur,0
311,decorations,16.0,5,3
312,microwave,19.8,Mon,2
313,paint,14.9,Thur,0
314,paint,17.74,Tue,0
315,toaster,14.34,Tue,2
316,toaster,11.53,Sat,1
317,carpet,59.72,Wed,1
318,decorations,13.66,Mon,3
319,decorations,13.14,5,2
320,carpet,106.16,Thur,3
321,microwave,13.69,Sat,3
322,fan,93.94,Wed,1
323,fan,16.15,Sat,0
324,microwave,19.74,Wed,1
325,carpet,27.27,Fri,1
326,microwave,16.17,Fri,1
327,fan,41.95,Tue,0
328,decorations,12.87,Tue,1
329,microwave,37.27,Mon,0
330,paint,14.65,Wed,2
331,fan,28.3,Fri,3
332,microwave,28.53,Thur,1
333,toaster,26.92,Tue,0
334,paint,15.19,Sat,1
335,decorations,19.79,Wed,3
336,cookware set,60.41,Tue,3
337,paint,18.95,Wed,0
338,carpet,97.63,Tue,0
339,fan,51.6,Mon,2
340,carpet,78.38,Fri,3
341,carpet,29.23,Sat,2
342,carpet,52.72,Fri,2
343,decorations,12.79,Wed,2
344,toaster,13.05,Thur,0
345,fan,34.3,Sun,3
346,fan,100.85,Sun,0
347,toaster,12.96,Mon,0
348,toaster,19.5,Tue,0
349,toaster,19.01,Sat,3
350,decorations,15.09,Tue,2
351,cookware set,42.57,Tue,2
352,decorations,10.92,5,0
353,paint,17.6,Sat,0
354,toaster,13.95,Sun,2
355,fan,34.0,Tue,0
356,microwave,19.93,Mon,0
357,fan,23.51,Thur,3
358,carpet,53.64,Sun,0
359,toaster,10.44,Fri,1
360,cookware set,61.92,Sun,2
361,cookware set,108.25,Sat,0
362,toaster,16.26,Fri,3
363,cookware set,47.61,Wed,0
364,decorations,16.38,Sat,3
365,cookware set,61.43,Wed,0
366,paint,16.78,Fri,0
367,cookware set,46.39,Tue,0
368,cookware set,68.46,Sat,2
369,carpet,93.62,Fri,2
370,decorations,17.01,Fri,0
371,fan,80.34,Wed,2
372,carpet,50.93,Sat,3
373,toaster,13.98,Tue,0
374,paint,12.34,Tue,1
375,carpet,81.34,Sat,3
376,decorations,14.33,Wed,1
377,decorations,10.97,Sat,2
378,decorations,13.6,Thur,1
379,toaster,14.94,Mon,3
380,paint,11.24,Sun,0
381,toaster,13.36,Fri,0
382,carpet,83.88,Sat,2
383,fan,20.24,Sat,3
384,carpet,101.69,Tue,2
385,paint,11.29,Wed,1
386,carpet,77.93,Fri,2
387,fan,68.09,Fri,3
388,toaster,17.66,Sun,2
389,cookware set,34.83,Sun,3
390,toaster,15.71,Thur,3
391,carpet,44.88,Fri,2
392,paint,11.19,Thur,0
393,cookware set,89.38,Sat,0
394,cookware set,58.2,Mon,0
395,carpet,52.11,Fri,2
396,toaster,20.39,Tue,2
397,microwave,39.05,Tue,3
398,carpet,80.46,Fri,3
399,paint,10.64,Mon,0
400,carpet,32.56,Wed,2
401,cookware set,38.37,Thur,2
402,toaster,20.23,Fri,0
403,carpet,88.57,Sun,1
404,microwave,21.44,Fri,0
405,toaster,16.15,Wed,0
406,fan,74.5,Mon,0
407,paint,14.1,Sat,0
408,carpet,23.93,Wed,0
409,decorations,11.07,5,3
410,decorations,19.49,5,2
411,decorations,12.9,Fri,2
412,carpet,32.59,Sat,1
413,toaster,16.87,Sun,2
414,fan,82.47,Mon,0
415,carpet,85.87,Fri,1
416,cookware set,98.96,Sat,1
417,fan,48.72,Sun,0
418,carpet,48.81,Thur,0
419,carpet,76.75,Mon,3
420,microwave,22.08,Sun,1
421,fan,36.06,Tue,0
422,microwave,34.43,Fri,3
423,toaster,12.87,Sat,3
424,fan,93.39,Thur,1
425,fan,30.0,Wed,3
426,toaster,27.68,Mon,3
427,paint,13.14,Fri,0
428,carpet,46.53,Fri,0
429,paint,10.78,Sat,0
430,paint,19.13,Sat,3
431,carpet,31.42,Sat,3
432,decorations,13.57,Mon,0
433,microwave,31.07,Sat,3
434,microwave,29.7,Sun,3
435,fan,24.8,Tue,3
436,carpet,42.07,Sun,0
437,microwave,18.95,Thur,3
438,toaster,10.41,Thur,1
439,toaster,13.66,Sat,2
440,microwave,16.63,Tue,2
441,toaster,19.58,Fri,1
442,fan,57.69,Wed,3
443,carpet,107.27,Fri,1
444,decorations,13.29,Sun,1
445,microwave,20.47,Sat,3
446,carpet,104.16,Tue,0
447,toaster,20.19,Sun,3
448,microwave,33.67,Sun,2
449,fan,73.15,Wed,0
450,carpet,102.66,Sun,1
451,paint,14.14,Sat,0
452,carpet,93.58,Sun,0
453,paint,16.47,Thur,3
454,paint,15.75,Mon,1
455,decorations,16.57,5,1
456,carpet,89.97,Tue,1
457,decorations,10.77,Sat,2
458,paint,17.56,Wed,0
459,toaster,29.93,Wed,3
460,fan,87.45,Wed,1
461,cookware set,11.29,Mon,1
462,paint,14.52,Sun,0
463,toaster,12.77,Wed,3
464,paint,13.38,Tue,0
465,carpet,44.99,Thur,3
466,microwave,11.83,Fri,0
467,decorations,13.06,5,2
468,toaster,18.36,Sat,2
469,paint,10.64,Sun,0
470,toaster,29.15,Thur,1
471,cookware set,50.22,Fri,3
472,paint,15.42,Sun,0
473,toaster,16.68,Sun,0
474,fan,65.68,Fri,1
475,carpet,84.89,Wed,3
476,paint,14.05,Wed,1
477,microwave,39.74,Mon,2
478,cookware set,41.94,Wed,2
479,paint,13.45,Mon,0
480,carpet,37.1,Fri,2
481,paint,14.22,Sat,0
482,fan,73.41,Sat,0
483,toaster,20.2,Sat,0
484,paint,10.3,Sun,1
485,microwave,28.69,Fri,0
486,fan,17.08,Fri,1
487,carpet,25.3,Sat,3
488,cookware set,93.39,Sat,3
489,microwave,20.29,Fri,1
490,fan,29.52,Wed,3
491,microwave,13.91,Sun,2
492,carpet,63.46,Mon,2
493,fan,69.64,Tue,0
494,fan,87.91,Sun,3
495,paint,16.67,Thur,3
496,microwave,16.6,Wed,1
497,carpet,35.8,Wed,2
498,microwave,25.83,Sat,1
499,carpet,72.68,Wed,2
500,fan,14.85,Thur,3
501,decorations,13.63,Wed,3
502,fan,10.1,Thur,2
503,carpet,19.13,Wed,2
504,toaster,18.5,Thur,0
505,microwave,12.48,Thur,2
506,carpet,31.27,Thur,0
507,carpet,51.5,Mon,3
508,fan,59.94,Sat,0
509,fan,90.42,Fri,1
510,decorations,12.68,Thur,3
511,fan,87.79,Sat,2
512,cookware set,59.13,Sat,2
513,paint,18.32,Wed,0
514,paint,10.65,Fri,0
515,toaster,21.93,Fri,1
516,toaster,11.23,Sat,0
517,paint,19.61,Mon,0
518,carpet,45.96,Mon,0
519,carpet,13.92,Thur,0
520,toaster,28.18,Tue,3
521,cookware set,14.65,Tue,1
522,cookware set,24.58,Fri,2
523,toaster,23.38,Sat,3
524,carpet,81.79,Mon,2
525,toaster,27.49,Wed,1
526,cookware set,69.38,Tue,0
527,toaster,18.54,Sun,3
528,carpet,71.21,Fri,3
529,paint,13.1,Sun,0
530,fan,100.93,Sat,2
531,decorations,12.12,Wed,1
532,carpet,58.57,Fri,1
533,paint,12.46,Mon,0
534,paint,14.98,Mon,1
535,carpet,14.61,Wed,2
536,toaster,17.63,Sun,2
537,decorations,14.23,5,1
538,paint,18.24,Thur,0
539,decorations,13.1,Sat,1
540,decorations,10.82,5,2
541,decorations,11.14,Mon,0
542,fan,96.66,Sat,0
543,toaster,27.87,Mon,2
544,toaster,19.21,Sun,0
545,microwave,13.97,Tue,1
546,microwave,26.78,Mon,0
547,microwave,37.45,Thur,2
548,decorations,12.03,Mon,2
549,toaster,29.58,Wed,0
550,fan,81.68,Sun,3
551,paint,19.27,Mon,2
552,fan,109.26,Fri,3
553,carpet,68.43,Thur,0
554,paint,18.84,Sun,0
555,fan,56.67,Tue,2
556,paint,10.94,Mon,0
557,fan,64.0,Wed,0
558,paint,19.57,Sat,0
559,toaster,13.67,Sat,1
560,toaster,24.34,Fri,3
561,microwave,23.7,Mon,1
562,toaster,27.46,Sat,0
563,toaster,10.22,Thur,3
564,microwave,21.53,Wed,3
565,toaster,13.3,Thur,0
566,microwave,19.18,Sat,3
567,carpet,92.64,Fri,2
568,fan,80.75,Sat,0
569,toaster,18.44,Fri,0
570,toaster,17.45,Wed,1
571,microwave,22.44,Fri,0
572,toaster,28.18,Mon,1
573,microwave,25.99,Sun,3
574,paint,15.41,Sun,0
575,cookware set,33.15,Sun,0
576,fan,43.65,Mon,0
577,fan,81.94,Sat,3
578,fan,27.64,Sun,1
579,microwave,11.34,Fri,1
580,fan,46.46,Sun,1
581,fan,44.64,Tue,2
582,cookware set,80.05,Fri,0
583,paint,16.52,Tue,0
584,toaster,27.89,Wed,2
585,carpet,35.56,Wed,2
586,cookware set,59.88,Fri,1
587,microwave,27.04,Mon,1
588,cookware set,43.76,Sat,2
589,carpet,107.47,Thur,0
590,fan,36.91,Mon,3
591,paint,17.79,Mon,0
592,cookware set,105.45,Sun,0
593,fan,48.03,Thur,1
594,microwave,28.03,Tue,1
595,toaster,11.59,Sun,2
596,decorations,11.36,Sun,1
597,carpet,92.03,Sat,2
598,cookware set,67.43,Fri,1
599,carpet,90.68,Tue,3
600,cookware set,96.25,Thur,0
601,microwave,26.18,Tue,3
602,toaster,27.78,Fri,1
603,decorations,19.18,Sat,0
604,carpet,92.91,Wed,2
605,fan,20.71,Sat,2
606,decorations,11.64,Fri,0
607,toaster,20.73,Tue,1
608,cookware set,102.41,Mon,1
609,carpet,49.69,Tue,1
610,microwave,12.37,Wed,3
611,fan,29.81,Wed,1
612,toaster,21.42,Mon,0
613,fan,45.69,Fri,2
614,toaster,26.16,Sat,1
615,carpet,81.38,Mon,2
616,toaster,24.23,Wed,0
617,microwave,11.02,Mon,2
618,decorations,11.1,5,0
619,fan,18.26,Tue,1
620,fan,51.82,Sat,0
621,toaster,16.57,Sun,1
622,toaster,25.34,Mon,0
623,decorations,14.43,Fri,1
624,fan,22.33,Wed,3
625,toaster,24.82,Thur,0
626,carpet,21.29,Fri,1
627,toaster,24.79,Sun,2
628,carpet,83.48,Sat,3
629,paint,18.73,Mon,1
630,toaster,26.51,Fri,0
631,cookware set,38.43,Mon,1
632,cookware set,43.02,Tue,3
633,microwave,32.28,Sun,1
634,cookware set,14.88,Sun,2
635,cookware set,72.41,Tue,1
636,fan,29.76,Wed,0
637,microwave,22.84,Sat,2
638,decorations,11.74,5,0
639,paint,19.11,Wed,0
640,toaster,29.6,Tue,0
641,fan,21.72,Wed,1
642,carpet,102.29,Sun,3
643,toaster,23.32,Sun,1
644,carpet,101.03,Tue,0
645,decorations,12.31,5,2
646,cookware set,23.68,Sun,1
647,paint,10.2,Mon,0
648,cookware set,75.76,Sun,1
649,decorations,18.83,Thur,1
650,cookware set,42.75,Sat,0
651,decorations,17.72,5,0
652,toaster,15.33,Sat,0
653,paint,14.02,Tue,0
654,carpet,60.63,Fri,3
655,paint,14.77,Wed,3
656,decorations,18.03,Mon,3
657,cookware set,19.66,Wed,3
658,decorations,11.71,Thur,2
659,microwave,27.4,Wed,3
660,decorations,13.58,Mon,0
661,cookware set,68.09,Fri,1
662,cookware set,61.84,Wed,1
663,toaster,10.92,Mon,2
664,toaster,26.31,Sun,2
665,toaster,16.7,Sun,2
666,toaster,14.78,Mon,3
667,cookware set,49.58,Sat,0
668,microwave,21.7,Sat,1
669,paint,16.18,Thur,0
670,toaster,29.51,Mon,3
671,fan,42.1,Tue,0
672,carpet,84.08,Thur,1
673,carpet,33.62,Thur,2
674,cookware set,101.94,Mon,0
675,cookware set,31.22,Wed,3
676,decorations,12.25,5,3
677,fan,56.26,Wed,3
678,microwave,25.56,Wed,2
679,toaster,18.11,Sun,0
680,carpet,103.09,Tue,1
681,paint,10.9,Fri,0
682,carpet,25.16,Thur,0
683,microwave,10.34,Tue,0
684,decorations,16.78,5,2
685,carpet,49.04,Wed,2
686,toaster,22.99,Tue,0
687,decorations,14.6,Fri,2
688,paint,12.6,Wed,0
689,decorations,11.32,Wed,0
690,fan,89.56,Tue,1
691,paint,17.24,Wed,0
692,cookware set,59.11,Mon,0
693,paint,17.06,Sat,2
694,toaster,16.66,Thur,3
695,paint,12.66,Fri,0
696,toaster,27.64,Sat,1
697,carpet,78.9,Mon,0
698,toaster,11.48,Thur,3
699,cookware set,21.83,Thur,3
700,fan,106.38,Fri,1
701,microwave,13.82,Sat,2
702,toaster,22.78,Tue,2
703,paint,15.53,Thur,3
704,paint,13.34,Thur,3
705,paint,14.33,Mon,0
706,cookware set,69.16,Tue,3
707,paint,17.59,Tue,1
708,fan,108.4,Wed,0
709,paint,10.59,Sun,0
710,paint,11.94,Sat,0
711,fan,55.68,Mon,2
712,toaster,11.93,Sun,3
713,cookware set,27.95,Mon,0
714,decorations,14.38,Sat,3
715,decorations,11.86,Mon,1
716,fan,71.21,Sat,2
717,cookware set,107.53,Sat,0
718,microwave,22.26,Sun,1
719,fan,58.72,Sun,1
720,decorations,10.99,Fri,3
721,fan,86.67,Thur,0
722,toaster,28.28,Fri,0
723,decorations,19.88,5,3
724,carpet,12.06,Wed,3
725,paint,19.27,Mon,1
726,paint,12.74,Mon,3
727,toaster,26.82,Thur,1
728,fan,54.93,Sun,3
729,microwave,30.74,Thur,3
730,toaster,12.96,Sun,2
731,fan,76.36,Sat,3
732,cookware set,66.49,Fri,2
733,microwave,28.6,Tue,1
734,cookware set,11.31,Tue,1
735,carpet,109.19,Thur,1
736,paint,14.79,Sun,0
737,microwave,22.02,Mon,1
738,microwave,19.81,Sun,0
739,carpet,87.15,Mon,2
740,carpet,56.81,Wed,3
741,carpet,95.55,Thur,3
742,microwave,10.65,Sat,3
743,carpet,11.46,Fri,2
744,decorations,14.28,Mon,1
745,toaster,14.26,Sun,1
746,toaster,14.44,Fri,0
747,fan,95.39,Mon,3
748,fan,100.12,Mon,0
749,cookware set,28.4,Mon,0
750,decorations,11.0,5,0
751,decorations,12.18,5,0
752,microwave,24.87,Sun,3
753,microwave,25.32,Thur,1
754,decorations,13.48,5,1
755,microwave,32.74,Fri,2
756,decorations,14.89,Fri,1
757,decorations,10.78,Mon,1
758,paint,18.23,Tue,2
759,carpet,58.53,Fri,3
760,decorations,19.1,Sat,2
761,cookware set,69.26,Mon,2
762,toaster,14.3,Wed,3
763,cookware set,74.78,Mon,0
764,cookware set,70.49,Sat,2
765,fan,39.45,Fri,3
766,fan,21.09,Sun,0
767,cookware set,78.63,Fri,3
768,paint,13.65,Thur,3
769,carpet,107.14,Sat,3
770,cookware set,73.58,Wed,1
771,fan,48.66,Wed,1
772,fan,63.37,Mon,1
773,carpet,32.29,Wed,2
774,fan,15.95,Thur,3
775,paint,11.0,Tue,0
776,microwave,16.29,Thur,1
777,fan,35.11,Sun,2
778,paint,19.09,Sat,2
779,paint,17.87,Wed,2
780,cookware set,21.49,Mon,2
781,microwave,30.98,Wed,0
782,fan,56.63,Sat,1
783,toaster,24.6,Mon,2
784,microwave,28.92,Sat,1
785,cookware set,69.87,Sat,0
786,decorations,16.32,Sat,0
787,paint,13.91,Thur,0
788,toaster,27.14,Sun,3
789,carpet,53.09,Sat,2
790,cookware set,86.2,Wed,2
791,cookware set,29.56,Fri,1
792,microwave,29.69,Mon,1
793,carpet,47.4,Sat,2
794,microwave,20.23,Mon,1
795,microwave,37.66,Sat,1
796,fan,36.15,Thur,3
797,carpet,78.64,Wed,3
798,cookware set,89.11,Wed,1
799,paint,10.39,Sun,3
800,paint,17.97,Fri,0
801,cookware set,93.72,Mon,0
802,fan,30.92,Mon,1
803,microwave,18.31,Sat,2
804,microwave,33.82,Thur,2
805,paint,16.95,Thur,0
806,cookware set,90.42,Tue,1
807,microwave,13.41,Thur,2
808,cookware set,107.3,Fri,3
809,carpet,53.97,Wed,0
810,fan,108.36,Tue,0
811,paint,17.32,Tue,0
812,toaster,27.38,Sun,2
813,microwave,27.48,Fri,1
814,paint,10.28,Fri,1
815,paint,18.02,Wed,0
816,fan,10.62,Wed,0
817,microwave,28.67,Tue,1
818,toaster,15.27,Thur,1
819,microwave,27.87,Thur,1
820,paint,18.84,Mon,1
821,cookware set,96.38,Mon,0
822,fan,45.15,Mon,1
823,fan,93.11,Tue,1
824,cookware set,93.74,Thur,2
825,cookware set,28.55,Sun,2
826,carpet,65.62,Wed,1
827,decorations,12.01,5,0
828,paint,19.09,Wed,0
829,paint,16.79,Wed,1
830,paint,11.97,Wed,2
831,fan,69.99,Thur,2
832,paint,16.34,Tue,0
833,paint,14.08,Thur,0
834,paint,12.04,Tue,0
835,paint,19.12,Tue,3
836,paint,10.05,Wed,3
837,carpet,17.73,Thur,3
838,paint,10.34,Tue,0
839,fan,24.61,Tue,2
840,decorations,16.59,5,2
841,decorations,17.16,5,0
842,microwave,23.44,Sun,3
843,decorations,16.31,Mon,3
844,toaster,11.2,Wed,2
845,paint,18.68,Wed,0
846,fan,29.0,Sun,0
847,microwave,31.66,Wed,1
848,microwave,25.09,Wed,2
849,decorations,16.9,Mon,1
850,paint,10.53,Mon,0
851,toaster,27.45,Thur,1
852,decorations,13.42,5,0
853,decorations,10.34,Tue,0
854,fan,15.9,Tue,0
855,fan,30.79,Mon,3
856,carpet,37.57,Mon,3
857,cookware set,47.97,Sun,3
858,toaster,18.5,Wed,3
859,microwave,26.08,Tue,2
860,fan,75.31,Sat,1
861,carpet,103.6,Wed,1
862,decorations,14.27,Wed,3
863,fan,13.21,Thur,2
864,fan,60.47,Fri,3
865,toaster,14.34,Wed,0
866,fan,107.56,Mon,1
867,carpet,94.33,Fri,3
868,toaster,14.87,Fri,1
869,decorations,19.96,Fri,1
870,carpet,58.4,Sat,3
871,cookware set,19.75,Fri,1
872,fan,37.57,Fri,1
873,carpet,42.9,Sun,3
874,cookware set,65.1,Mon,3
875,fan,109.69,Fri,2
876,microwave,28.38,Thur,0
877,microwave,10.52,Tue,0
878,fan,74.96,Sun,3
879,decorations,15.03,5,1
880,carpet,93.47,Mon,3
881,fan,28.35,Sun,3
882,toaster,15.6,Tue,2
883,microwave,32.84,Mon,1
884,cookware set,56.73,Wed,1
885,cookware set,95.77,Fri,3
886,microwave,17.27,Sat,2
887,toaster,19.18,Thur,3
888,toaster,10.53,Tue,0
