id,channel,type,value
168,mobile,individual,100.37294586262846
169,fax,individual,57.086210878518415
170,mobile,organization,5183.21577053239
171,fax,organization,3763.9856547587497
172,call,individual,37.29664165352032
173,fax,contractor,447.6074019514628
174,call,individual,18.87502022506686
175,fax,contractor,367.19809725959647
176,mobile,organization,5059.035552787358
177,fax,contractor,304.0313185504231
178,fax,organization,3986.718632167782
179,mobile,organization,5278.928499857975
180,fax,individual,58.52133155851881
181,call,individual,44.31371820335475
182,fax,organization,3733.50995706966
183,fax,organization,3456.531969535936
184,mobile,organization,5129.783014296493
185,fax,organization,3394.2150208329035
186,mobile,organization,5542.38185760622
187,fax,contractor,551.4529996249287
188,fax,organization,3101.62182288582
189,fax,organization,3261.869408344157
190,fax,organization,3126.7179308367454
191,mobile,individual,140.42305862634453
192,mobile,organization,5498.833697509293
193,mobile,organization,5283.178370306877
194,mobile,organization,5113.0590959102765
195,call,individual,34.23303900399122
196,mobile,organization,5802.273253877769
197,fax,contractor,508.8604618640096
198,call,individual,41.22099284445965
199,fax,organization,3835.8619168748173
200,mobile,organization,5225.700259266329
201,mobile,contractor,279.2389982804522
202,mobile,individual,111.07712901384684
203,mobile,organization,5433.454864026853
204,call,individual,23.455554649297802
205,mobile,contractor,218.97183368672066
206,mobile,individual,137.27825129237556
207,mobile,organization,5740.300811234663
208,fax,organization,3261.039524802886
209,mobile,organization,5737.753425599864
210,mobile,organization,5669.698329866261
211,mobile,organization,5313.26550206186
212,mobile,organization,5136.295707786562
213,fax,organization,3144.382760197644
214,mobile,organization,5026.492449528594
215,fax,organization,3430.022419638468
216,mobile,organization,5377.3439143938995
217,mobile,organization,5072.588260649908
218,mobile,organization,5978.1847825611785
219,call,individual,22.47751343709269
220,call,individual,19.156300243922225
221,fax,individual,59.35156604913007
222,fax,organization,3461.023483840381
223,fax,organization,3683.99966989331
224,call,individual,46.055437570654256
225,mobile,organization,5687.747300179811
226,mobile,individual,144.18549837533516
227,mobile,organization,5051.060279158951
228,mobile,organization,5335.201315882989
229,mobile,organization,5106.907549186305
230,mobile,organization,5192.946715093304
231,fax,organization,3290.7643399968774
232,mobile,organization,5162.067082863041
233,mobile,individual,101.68245884256213
234,fax,contractor,467.4436772294027
235,mobile,contractor,267.93538255348085
236,fax,organization,3247.38814592235
237,call,individual,35.566133528646574
238,fax,contractor,501.04055629482843
239,mobile,contractor,210.0243339321496
240,fax,organization,3765.151385237518
241,mobile,organization,5926.3097266115
242,mobile,individual,101.90725508095349
243,fax,individual,57.39890165114976
244,mobile,organization,5986.250605561856
245,mobile,organization,5230.532310567354
246,mobile,organization,5996.0583989422385
247,mobile,organization,5927.577800863668
248,mobile,organization,5675.356804542177
249,fax,individual,59.81131179754257
250,mobile,organization,5657.254269733254
251,call,individual,38.070602289087795
252,fax,organization,3276.221083844558
253,mobile,organization,5322.237396342374
254,mobile,organization,5364.418316954452
255,mobile,individual,130.4234155476895
256,mobile,organization,5299.615341227738
257,call,individual,35.47879587956121
258,mobile,organization,5420.697807197904
259,mobile,organization,5847.781631595868
260,mobile,organization,5353.3393150642205
261,call,individual,47.82587402294384
262,fax,organization,3640.3389134701533
263,mobile,organization,5296.899264139987
264,fax,individual,54.47651817697075
265,mobile,organization,5363.3534994866595
266,call,individual,10.763196826409434
267,mobile,contractor,231.64684231947172
268,fax,organization,3952.090061494965
269,fax,contractor,316.3101037349893
270,fax,organization,3613.457631641688
271,fax,organization,3590.685803336161
272,mobile,individual,127.82446447933265
273,mobile,organization,5404.709155659206
274,mobile,organization,5794.03162931554
275,fax,individual,52.28439074153279
276,mobile,organization,5985.613926292557
277,fax,organization,3575.0448209443816
278,mobile,organization,5711.84691293684
279,call,individual,15.627749608290909
280,fax,organization,3961.3986904308063
281,mobile,organization,5298.048397749375
282,mobile,organization,5401.98928801144
283,mobile,organization,5309.0438851485815
284,mobile,organization,5044.086508243736
285,mobile,contractor,227.3695401826538
286,mobile,individual,113.49167350563373
287,fax,organization,3760.3041830431976
288,mobile,organization,5032.446590076858
289,mobile,individual,109.72891881417343
290,mobile,individual,139.21368084929915
291,mobile,organization,5405.251761634945
292,fax,organization,3928.5233478422942
293,mobile,organization,5381.066913197997
294,mobile,organization,5623.429642360718
295,call,individual,44.95519378188226
296,mobile,organization,5111.7143735252685
297,mobile,organization,5060.01973507991
298,mobile,individual,143.3051160448045
299,call,individual,19.213297965180672
300,fax,contractor,454.0575782159325
301,fax,individual,51.38263031428648
302,mobile,contractor,285.15659990802914
303,mobile,individual,122.05167560872049
304,mobile,organization,5929.713676220168
305,mobile,organization,5340.580371379743
306,mobile,organization,5664.704578308297
307,fax,individual,56.150208440869726
308,mobile,organization,5792.234511961317
309,mobile,individual,129.2493122912828
310,call,individual,17.108123071508942
311,mobile,organization,5907.875033863261
312,call,individual,29.09003690507442
313,fax,organization,3423.224256003378
314,fax,organization,3619.156624649168
315,mobile,organization,5974.90081394047
316,call,individual,26.579362318876004
317,fax,individual,50.71759833560898
318,mobile,individual,106.97646319698738
319,fax,organization,3557.5470803776166
320,fax,contractor,386.34146876877907
321,call,individual,10.53731275041307
322,fax,individual,59.436909476015245
323,fax,organization,3722.293468922419
324,mobile,individual,142.5697184241589
325,fax,organization,3626.5444998672456
326,mobile,individual,104.37158996162695
327,mobile,organization,5881.215899882764
328,mobile,organization,5806.102854137348
329,mobile,organization,5795.6638916613065
330,fax,contractor,541.3944843860885
331,mobile,organization,5937.416759657348
332,call,individual,11.806796264624781
333,mobile,organization,5901.913970855281
334,mobile,organization,5463.0468936006355
335,fax,organization,3488.059949666385
336,mobile,organization,5236.833346193845
337,mobile,organization,5640.344603226794
338,fax,organization,3851.294651548691
339,fax,contractor,495.41099577393504
340,fax,organization,3280.847140582222
341,fax,organization,3117.52097784874
342,fax,organization,3892.6500539582976
343,mobile,organization,5924.6434185718335
344,fax,contractor,510.425519726224
345,fax,organization,3252.0681956806043
346,mobile,organization,5556.53161150732
347,fax,individual,59.53225079994159
348,call,individual,6.03543366702295
349,mobile,organization,5597.462264676527
350,mobile,organization,5024.542269873587
351,call,contractor,203.56264779236224
352,call,individual,41.25325251568575
353,fax,organization,3868.042184804374
354,fax,organization,3571.15376821222
355,mobile,organization,5319.6191659076985
356,fax,individual,53.129566842571556
357,call,individual,37.09209706279141
358,mobile,organization,5864.92699205134
359,mobile,individual,117.95118429735699
360,call,individual,35.84863009348017
361,fax,organization,3659.134707935287
362,mobile,individual,140.52388735148608
363,mobile,organization,5518.774869741172
364,fax,individual,56.9722081486958
365,mobile,organization,5291.801820369424
366,call,individual,11.318779947869253
367,mobile,organization,5913.086975334824
368,mobile,organization,5218.123345957036
369,fax,organization,3989.3844764929304
370,mobile,organization,5891.997982443883
371,mobile,organization,5582.787888690939
372,fax,organization,3434.7564097828454
373,fax,organization,3533.6147371287243
374,call,individual,48.86453194884016
375,mobile,organization,5791.443179317237
376,fax,organization,3384.4702974839
377,mobile,organization,5264.406894651134
378,fax,organization,3580.696987871569
379,mobile,organization,5789.525815775041
380,fax,organization,3804.89917719737
381,mobile,organization,5399.632729448335
382,fax,contractor,418.58912305085533
383,fax,organization,3548.2321942105673
384,call,individual,20.8610275547303
385,mobile,organization,5707.220637593374
386,mobile,contractor,266.9487625181684
387,mobile,organization,5181.649049503864
388,fax,organization,3154.539770772588
389,mobile,organization,5170.912885565367
390,fax,individual,57.88346678755267
391,mobile,organization,5279.916375358007
392,mobile,organization,5891.565836065219
393,fax,organization,3002.037595171362
394,mobile,organization,5009.145531838202
395,mobile,organization,5105.559956011321
396,mobile,organization,5899.737644633511
397,mobile,organization,5138.953388414507
398,fax,organization,3949.177293223477
399,fax,contractor,404.1209633202893
400,call,contractor,122.11278504378811
401,mobile,organization,5694.620778540018
402,fax,individual,58.044236673712874
403,mobile,organization,5216.651984536715
404,fax,organization,3839.7134522205984
405,fax,individual,59.96926892783259
406,mobile,organization,5094.254746138677
407,mobile,organization,5413.886086607851
408,mobile,individual,100.63239517394608
409,mobile,organization,5235.709628109283
410,mobile,organization,5306.396701315952
411,mobile,organization,5590.372292191138
412,mobile,organization,5162.513598430761
413,mobile,organization,5245.517359816593
414,call,individual,24.164420415758016
415,mobile,organization,5012.509956018354
416,fax,organization,3987.113966158169
417,mobile,organization,5967.656306788369
418,call,individual,14.491676249892244
419,mobile,organization,5561.816299808652
420,fax,contractor,377.528740115044
421,mobile,organization,5185.252790868255
422,fax,individual,59.14674577056954
423,fax,organization,3491.070095394748
424,fax,organization,3422.936773510282
425,fax,organization,3934.0991549464898
426,fax,contractor,592.5850576906987
427,fax,organization,3493.9050966237023
428,mobile,organization,5764.233158418872
429,fax,organization,3909.555342456823
430,fax,organization,3439.447380345775
431,fax,organization,3198.6168939367353
432,mobile,organization,5899.831937385624
433,mobile,organization,5226.3218294502585
434,call,individual,15.993969696124829
435,fax,organization,3805.1716090360082
436,fax,organization,3835.8401469114924
437,mobile,organization,5232.186500497916
438,mobile,organization,5994.101894053228
439,fax,individual,55.39919134317864
440,fax,organization,3125.203981155438
441,fax,organization,3144.109474838032
442,mobile,organization,5280.099405272257
443,call,individual,44.843806258227666
444,mobile,organization,5027.857119984218
445,fax,contractor,507.60886455696004
446,call,individual,54.86890558377793
447,mobile,organization,5914.112012111585
448,fax,organization,3803.210393656559
449,fax,individual,53.8953262863904
450,fax,individual,55.986601865730044
451,mobile,organization,5242.324725978593
452,mobile,organization,5040.773324907765
453,fax,organization,3030.124688284901
454,mobile,contractor,252.7976216084545
455,fax,individual,58.71531061629233
456,mobile,organization,5847.062206373652
457,mobile,organization,5492.592589069827
458,fax,organization,3230.044222021204
459,fax,organization,3547.2344783752897
460,call,individual,23.770507043340373
461,call,individual,24.840723153624197
462,fax,organization,3100.228737371502
463,fax,organization,3743.361582553563
464,mobile,organization,5509.691353475377
465,mobile,organization,5772.15299305903
466,call,contractor,211.44643361164935
467,mobile,organization,5578.0823070101405
468,fax,organization,3623.1351242855503
469,mobile,organization,5169.570505456462
470,fax,individual,50.99839804465073
471,call,individual,11.34447765030216
472,fax,contractor,543.8096131704187
473,fax,organization,3872.101039043704
474,mobile,organization,5396.0734603575775
475,fax,organization,3318.785472334233
476,call,individual,14.579566270478356
477,mobile,individual,118.52670624532072
478,fax,contractor,334.34167284316436
479,mobile,organization,5317.490136192043
480,fax,organization,3538.9085502041526
481,mobile,contractor,248.60908127025803
482,mobile,organization,5804.919028915065
483,mobile,organization,5186.299129691458
484,mobile,organization,5435.066462832908
485,fax,individual,52.456943442537565
486,fax,individual,50.93923859300136
487,fax,contractor,472.31557479092425
488,mobile,organization,5989.919324026728
489,fax,organization,3468.970010774928
490,fax,organization,3609.862924308492
491,fax,organization,3317.612920373199
492,mobile,organization,5654.749879599402
493,fax,organization,3956.0748088642654
494,call,individual,6.444343218615984
495,fax,contractor,468.04100958101935
496,call,individual,30.76571899668867
497,mobile,organization,5613.857423572049
498,mobile,individual,126.48122754904787
499,fax,individual,56.01737898195525
500,fax,organization,3394.986319631157
501,mobile,contractor,252.51709104348612
502,mobile,organization,5174.808666549423
503,fax,organization,3993.556668367451
504,call,individual,23.025857243634956
505,mobile,organization,5124.233672594373
506,mobile,organization,5472.747137856385
507,fax,individual,57.146111670679176
508,fax,organization,3179.1243421903328
509,mobile,organization,5076.831242246792
510,fax,individual,50.06166205374506
511,fax,individual,57.98965898303799
512,mobile,organization,5084.825153127909
513,call,individual,41.62711733832316
514,fax,contractor,402.06340844669467
515,mobile,organization,5104.653915483948
516,mobile,organization,5773.5661066742
517,mobile,individual,115.10977407604975
518,fax,organization,3678.724112353563
519,fax,individual,52.02399484756004
520,fax,organization,3272.2452807246877
521,mobile,organization,5803.41449336013
522,fax,organization,3561.660732473498
523,fax,organization,3782.0737922106
524,mobile,organization,5452.9307833240655
525,fax,organization,3408.7898473238865
526,fax,organization,3681.160608573585
527,call,individual,51.86204253063703
528,fax,individual,54.95024094027171
529,fax,organization,3495.2889442051187
530,mobile,individual,148.19997243816758
531,mobile,organization,5411.132478176892
532,mobile,organization,5982.587740459036
533,call,individual,34.56297932076382
534,call,individual,38.414117221891985
535,mobile,organization,5722.148818748648
536,fax,organization,3240.609150411606
537,mobile,individual,138.17162102340106
538,call,individual,5.156891184830443
539,fax,organization,3264.0395752820323
540,fax,organization,3254.773048815482
541,mobile,organization,5788.544119066548
542,call,individual,49.21750370968404
543,fax,organization,3803.6441733233482
544,fax,individual,54.13007542867942
545,call,individual,29.558567876522968
546,call,individual,25.188076120492305
547,mobile,organization,5553.845407462955
548,fax,organization,3915.172965564601
549,call,individual,26.426386988005447
550,mobile,organization,5442.900452872698
551,fax,organization,3466.030323882939
552,mobile,organization,5414.398594976361
553,fax,organization,3619.284909226785
554,mobile,organization,5190.54214578313
555,fax,organization,3829.3397196219244
556,call,individual,5.751600622279747
557,mobile,organization,5983.407803997154
558,mobile,organization,5551.2692058264
559,mobile,organization,5641.400283378993
560,fax,organization,3605.1312147109884
561,fax,organization,3934.1725988814424
562,mobile,organization,5463.033491717783
563,call,individual,6.322093219294923
564,mobile,organization,5386.032413295947
565,mobile,organization,5642.4210728759
566,mobile,organization,5000.808957482684
567,fax,individual,51.73559292623611
568,mobile,organization,5356.341487248403
569,fax,individual,50.612191201284084
570,call,individual,38.0689986348759
571,mobile,organization,5164.095159792229
572,call,individual,24.788114825312185
573,mobile,organization,5082.749707887762
574,fax,organization,3122.3024994215803
575,mobile,organization,5654.217022319747
576,mobile,contractor,244.5352249153941
577,fax,contractor,466.81056555093403
578,fax,individual,51.190524347635225
579,fax,contractor,462.96457759036537
580,mobile,organization,5822.011233933161
581,fax,organization,3314.66980012584
582,mobile,organization,5537.812964682385
583,mobile,organization,5969.193221898795
584,mobile,individual,124.39503976345117
585,mobile,organization,5458.940355829414
586,mobile,individual,138.75157929453246
587,mobile,organization,5434.357689078102
588,mobile,organization,5061.920836367641
589,mobile,individual,131.67295804143
590,call,contractor,114.91118000500862
591,mobile,organization,5793.778037643175
592,mobile,organization,5403.834460319845
593,mobile,individual,143.8529824447506
594,call,individual,40.24746798325371
595,fax,individual,50.49626635222151
596,mobile,organization,5837.5810449693745
597,call,individual,8.276300448396192
598,fax,individual,55.604823640008505
599,call,individual,15.195777038194842
600,mobile,organization,5113.993887228788
601,fax,organization,3382.965954028071
602,mobile,organization,5294.906015373324
603,mobile,organization,5188.770250890446
604,fax,organization,3894.706556367686
605,fax,organization,3667.973018898414
606,fax,individual,58.141183074184035
607,mobile,organization,5871.128411910806
608,fax,contractor,338.4678826582032
609,mobile,organization,5087.756177089667
610,fax,individual,56.20688018707293
611,mobile,organization,5992.204896890626
612,mobile,organization,5441.4042014892875
613,call,individual,25.900518950884656
614,fax,individual,58.10608741071324
615,fax,individual,54.630011809845165
616,fax,organization,3183.4061794226336
617,mobile,organization,5240.993667932005
618,mobile,individual,111.59025840295766
619,fax,individual,58.725961185716336
620,call,individual,48.80757767400301
621,call,individual,45.33670956387532
622,fax,individual,54.60217977771692
623,fax,individual,55.27915333975102
624,fax,organization,3564.8253795270543
625,fax,organization,3459.916633524071
626,fax,individual,54.82905851039613
627,mobile,organization,5050.236738006369
628,call,individual,35.6523203177028
629,mobile,organization,5923.021547087374
630,fax,organization,3038.448011848613
631,mobile,organization,5803.8859124387955
632,mobile,organization,5060.880022369484
633,mobile,organization,5235.563369232906
634,mobile,organization,5231.319449190794
635,mobile,organization,5028.590487098663
636,mobile,organization,5069.7131637256
637,call,individual,39.39469975102141
638,mobile,organization,5545.391631822845
639,mobile,organization,5071.553670714021
640,mobile,individual,108.55001165666846
641,mobile,contractor,256.80207570478666
642,call,individual,16.32272767354696
643,mobile,individual,141.02271831769355
644,mobile,organization,5683.98490817795
645,mobile,organization,5628.831676589478
646,fax,individual,52.84009814369443
647,mobile,organization,5760.115291225227
648,fax,organization,3222.652865321205
649,fax,contractor,463.8090993863999
650,mobile,individual,136.13044749607533
651,mobile,organization,5374.037878705871
652,mobile,organization,5785.994627640454
653,mobile,individual,142.7472239730726
654,fax,organization,3302.307701762453
655,mobile,individual,142.65550257687352
656,fax,organization,3484.7355434731617
657,fax,individual,57.67041397926235
658,fax,organization,3944.441127540671
659,mobile,organization,5057.817100299961
660,fax,contractor,569.3451697545142
661,fax,organization,3227.994769632231
662,mobile,organization,5876.821399560933
663,fax,contractor,485.39351088892045
664,fax,organization,3683.2243525898703
665,mobile,organization,5383.371607772288
666,fax,individual,55.58612180056521
667,mobile,contractor,254.18154373201344
668,mobile,contractor,285.9991834948963
669,fax,organization,3158.915486917763
670,fax,organization,3347.6356793377017
671,mobile,individual,135.9417728613501
672,mobile,organization,5123.404159331724
673,fax,organization,3745.340735476214
674,fax,individual,58.604769924682415
675,call,individual,31.94688396891004
676,mobile,organization,5490.204009552367
677,mobile,contractor,228.1936191845049
678,fax,organization,3959.5168234079692
679,fax,organization,3117.9631557516477
680,fax,organization,3950.739227689442
681,fax,contractor,302.0507653857157
682,fax,organization,3764.363337466776
683,mobile,organization,5202.173263217663
684,mobile,organization,5468.425948808199
685,call,individual,19.872109247617587
686,fax,organization,3380.7191352453415
687,fax,organization,3494.5708654799723
688,mobile,organization,5776.469989498695
689,mobile,organization,5228.844932433652
690,mobile,organization,5858.819197148685
691,fax,organization,3321.010550618182
692,mobile,organization,5591.186705712779
693,call,individual,53.801396166118785
694,mobile,individual,110.74290569923612
695,fax,individual,53.729927022597316
696,mobile,individual,132.5629211997977
697,fax,organization,3115.6191081760076
698,call,individual,30.131408217316192
699,mobile,individual,114.85358491509275
700,call,individual,54.9748726304596
701,mobile,individual,108.89771930623448
702,fax,organization,3295.2252949479252
703,fax,organization,3531.1211296273896
704,mobile,organization,5385.162706910021
705,mobile,organization,5355.33414732667
706,mobile,individual,119.88594013043058
707,fax,organization,3814.804767458451
708,mobile,organization,5318.588283238152
709,mobile,organization,5351.037429202685
710,mobile,contractor,237.4007683348208
711,call,individual,16.66753536073182
712,fax,organization,3951.4451019020503
713,mobile,organization,5933.967993110438
714,fax,organization,3948.772560764799
715,fax,organization,3213.9866957714416
716,mobile,organization,5009.842317153205
717,fax,contractor,598.3580883852434
718,fax,organization,3028.67335341311
719,fax,contractor,335.8120227126521
720,mobile,organization,5544.098673595307
721,fax,organization,3454.5902413409567
722,mobile,organization,5632.380022294193
723,fax,contractor,482.16541025025396
724,call,individual,31.315532849233247
725,mobile,organization,5384.4532835755335
726,fax,individual,57.131049397866434
727,mobile,individual,114.45778512278086
728,mobile,organization,5681.580712557625
729,mobile,organization,5684.747677117027
730,call,individual,32.281300137192105
731,call,individual,23.804830211975247
732,fax,contractor,328.64063194937387
733,fax,organization,3347.9547577856265
734,fax,individual,57.02297882654782
735,call,individual,25.0534019323707
736,call,individual,52.88386351146731
737,mobile,organization,5106.77235842839
738,fax,contractor,497.6717449128637
739,mobile,individual,101.6213251787241
740,fax,organization,3789.2319416033297
741,fax,organization,3790.7476840582112
742,mobile,contractor,241.01012133072695
743,mobile,organization,5082.945886289624
744,fax,organization,3934.1332995941675
745,mobile,individual,126.02948226702523
746,mobile,organization,5915.534412525855
747,mobile,organization,5996.952251349252
748,fax,organization,3172.323484823846
749,call,contractor,105.97779052025986
750,mobile,individual,104.28332723402515
751,mobile,organization,5905.238747960293
752,fax,organization,3453.194635080122
753,mobile,organization,5064.824148454301
754,mobile,organization,5356.627870567371
755,mobile,organization,5860.787408950112
756,fax,individual,52.22715251221864
757,mobile,contractor,224.02041100171746
758,fax,organization,3425.713665520195
759,mobile,organization,5000.065656201402
760,mobile,organization,5911.4583125785375
761,call,individual,8.479979498457736
762,fax,organization,3305.1799648967544
763,mobile,contractor,210.56486780455018
764,fax,contractor,363.8474401683762
765,mobile,organization,5759.11447995295
766,mobile,organization,5325.955697558393
767,mobile,organization,5470.456129373479
768,mobile,organization,5956.907573193064
769,mobile,organization,5230.244371023743
770,mobile,organization,5529.714917300593
771,fax,organization,3279.3932243555832
772,fax,organization,3233.605996358241
773,call,individual,9.658757899430016
774,mobile,individual,103.50713759157566
775,mobile,organization,5268.942561482291
776,mobile,organization,5473.054786907421
777,mobile,organization,5228.4170738371295
778,mobile,organization,5167.753654706245
779,fax,contractor,372.70222610553583
780,fax,contractor,424.7277948076135
781,mobile,organization,5426.770308088081
782,fax,individual,54.43166494115004
783,mobile,organization,5112.861192617664
784,mobile,individual,124.20840968305667
785,mobile,organization,5138.943994056724
786,fax,individual,50.35356133153106
787,call,individual,10.834445587270832
788,fax,individual,56.65703457105661
789,mobile,organization,5526.496843141623
790,call,individual,32.31066768412601
791,mobile,organization,5755.376008295037
792,fax,organization,3600.764376075529
793,mobile,organization,5192.584510241187
794,mobile,organization,5335.520955290793
795,mobile,organization,5111.297600477165
796,mobile,organization,5451.260886124238
797,fax,individual,54.33936168487517
798,mobile,organization,5078.096535437224
799,mobile,organization,5703.972228314647
800,call,individual,29.011518238450265
801,call,individual,31.813394385659123
802,mobile,individual,126.34966701967977
803,mobile,organization,5170.454198036338
804,fax,contractor,381.74567512779186
805,fax,organization,3947.241586049382
806,fax,individual,50.94604016852474
807,fax,individual,59.159570941967175
808,mobile,organization,5245.211930255393
809,call,individual,27.077807890496416
810,fax,contractor,422.94382471180717
811,mobile,organization,5930.351701740225
812,fax,organization,3925.345273234198
813,mobile,organization,5148.069777311807
814,fax,organization,3042.731313609239
815,fax,individual,52.95250521571853
816,mobile,organization,5749.328766548164
817,mobile,organization,5857.563567499219
818,mobile,organization,5578.739488139399
819,fax,contractor,520.8442422333706
820,mobile,organization,5935.604859843175
821,mobile,individual,124.45279117545118
822,mobile,organization,5232.549047359081
823,mobile,individual,101.28709195622396
824,mobile,organization,5417.377355263182
825,fax,organization,3599.9609304250516
826,fax,organization,3544.6023782469315
827,fax,contractor,559.9222953464138
828,fax,contractor,419.07200557650253
829,mobile,organization,5061.834088077152
830,mobile,organization,5784.958286562962
831,mobile,individual,104.08692779868107
832,mobile,organization,5564.181782572094
833,call,individual,5.265493196089245
834,call,individual,52.221614803222614
835,mobile,individual,109.46739746569858
836,mobile,organization,5144.948484536847
837,mobile,organization,5223.285676020788
838,fax,organization,3085.368550035157
839,mobile,organization,5786.635233288336
840,fax,individual,54.79853100634212
841,fax,organization,3118.9261965428386
842,fax,individual,55.908179782350985
