id,month,buy,days-in-cart,times-in-cart
108,3,0,55,3
109,5,0,3,8
110,3,0,34,7
111,6,0,15,4
112,11,0,17,2
113,12,0,55,5
114,9,0,18,5
115,10,0,58,1
116,5,0,16,3
117,1,1,42,4
118,1,0,41,1
119,6,1,43,7
120,8,0,4,5
121,11,0,36,8
122,10,0,15,7
123,10,0,41,2
124,3,0,38,5
125,8,0,22,9
126,11,0,46,2
127,8,0,57,3
128,9,1,54,6
129,6,0,43,5
130,9,0,38,2
131,10,0,20,2
132,8,0,20,10
133,4,0,12,7
134,11,0,35,8
135,2,0,44,8
136,5,0,48,1
137,6,1,59,10
138,6,0,24,2
139,1,0,49,4
140,4,0,22,3
141,3,0,59,6
142,7,0,28,10
143,7,1,27,7
144,4,1,47,7
145,10,0,4,4
146,2,0,38,10
147,2,0,29,1
148,10,0,21,6
149,6,1,29,4
150,4,0,3,3
151,5,0,26,2
152,5,0,26,7
153,1,0,18,6
154,12,0,20,10
155,9,1,31,8
156,3,0,42,3
157,1,0,39,10
158,1,0,6,9
159,5,0,5,9
160,2,0,47,4
161,4,0,27,6
162,9,1,52,5
163,6,0,22,9
164,1,0,11,10
165,11,0,2,10
166,5,0,25,3
167,1,0,58,3
168,8,0,35,1
169,11,0,48,3
170,9,1,46,4
171,1,0,23,7
172,11,0,12,4
173,5,0,29,10
174,11,0,52,4
175,1,0,45,6
176,8,1,53,4
177,2,0,44,9
178,10,0,49,7
179,4,0,0,4
180,9,0,53,10
181,3,0,43,6
182,9,0,59,4
183,8,0,45,10
184,6,1,33,5
185,6,1,58,10
186,5,0,26,8
187,9,1,39,9
188,5,0,10,10
189,5,0,56,7
190,9,0,23,1
191,9,1,25,5
192,12,0,9,9
193,8,0,47,2
194,11,0,52,7
195,5,0,12,7
196,7,1,57,4
197,11,0,36,3
198,5,0,16,10
199,8,0,26,9
200,6,1,56,10
201,1,0,20,10
202,7,1,23,5
203,5,0,40,3
204,8,0,11,1
205,5,0,33,9
206,11,0,17,8
207,4,0,44,3
208,5,0,35,6
209,9,0,21,4
210,9,0,31,10
211,5,0,50,9
212,6,1,57,4
213,7,1,34,7
214,11,0,57,10
215,2,0,7,7
216,4,1,21,4
217,5,0,30,5
218,10,0,23,2
219,3,0,0,4
220,5,1,59,5
221,10,0,6,8
222,1,0,46,8
223,9,0,1,1
224,1,0,22,8
225,9,1,30,4
226,9,0,21,2
227,8,1,42,7
228,11,0,48,3
229,9,0,51,6
230,6,0,27,9
231,12,0,42,8
232,2,0,28,10
233,3,0,5,4
234,1,0,27,8
235,8,0,49,9
236,7,1,32,6
237,3,0,25,8
238,12,0,4,10
239,4,0,30,5
240,6,1,37,5
241,1,0,11,8
242,11,0,56,1
243,3,0,23,4
244,8,0,59,5
245,12,0,17,9
246,7,0,12,7
247,1,0,34,2
248,4,0,20,10
249,3,0,33,9
250,8,1,29,6
251,12,0,29,6
252,2,0,1,7
253,2,0,29,4
254,11,0,24,2
255,11,0,60,4
256,3,0,58,2
257,6,1,38,6
258,9,0,6,5
259,10,0,35,2
260,2,0,9,7
261,10,0,47,2
262,12,0,26,10
263,12,0,7,1
264,7,0,35,10
265,10,0,13,3
266,11,0,43,9
267,12,0,30,6
268,8,1,28,8
269,3,0,26,8
270,3,0,9,7
271,6,1,57,10
272,12,0,11,9
273,12,0,4,9
274,8,1,34,6
275,3,0,12,6
276,5,0,11,7
277,6,1,34,5
278,4,0,1,7
279,2,0,21,2
280,5,0,25,3
281,4,0,19,7
282,11,0,42,5
283,10,0,2,1
284,8,1,34,6
285,11,0,16,3
286,2,0,43,9
287,5,0,2,4
288,5,0,23,6
289,9,0,33,1
290,12,0,29,8
291,7,1,54,7
292,12,0,60,5
293,3,0,18,7
294,7,0,36,5
295,2,0,50,7
296,6,1,36,4
297,2,0,33,2
298,1,0,60,2
299,12,0,17,5
300,9,0,49,4
301,10,0,2,10
302,6,1,57,10
303,3,0,21,10
304,7,0,16,6
305,9,1,58,4
306,7,0,50,7
307,8,1,36,6
308,5,0,20,8
309,2,0,45,3
310,8,1,42,10
311,1,0,21,5
312,2,0,7,2
313,11,0,30,1
314,7,0,26,1
315,9,1,51,10
316,7,0,19,5
317,9,0,46,5
318,12,0,17,2
319,5,0,18,4
320,11,0,27,4
321,7,0,55,6
322,8,0,58,6
323,12,0,55,7
324,10,0,23,10
325,3,0,55,4
326,4,0,2,7
327,4,0,7,3
328,12,0,50,2
329,3,0,22,5
330,5,0,2,6
331,3,0,12,7
332,10,0,17,1
333,11,0,46,1
334,10,0,49,8
335,11,0,2,4
336,9,1,30,5
337,5,0,32,4
338,8,1,28,8
339,5,0,44,5
340,9,0,0,9
341,11,0,35,1
342,6,0,8,8
343,3,1,1,1
344,10,0,0,1
345,12,0,46,5
346,1,0,25,1
347,6,0,23,6
348,3,0,32,7
349,8,0,46,8
350,4,0,7,9
351,8,0,17,7
352,11,0,2,4
353,6,0,28,8
354,6,0,40,5
355,4,0,32,9
356,10,0,26,8
357,9,0,18,5
358,4,0,27,10
359,3,0,57,7
360,7,0,9,4
361,7,0,55,10
362,11,0,38,10
363,1,0,17,5
364,7,1,47,6
365,1,0,17,5
366,5,0,45,10
367,1,0,14,6
368,5,0,3,4
369,3,0,47,10
370,6,1,26,4
371,7,0,8,7
372,3,0,45,9
373,11,0,31,10
374,11,0,10,4
375,7,1,27,5
376,7,0,19,4
377,5,0,9,7
378,6,0,9,3
379,2,0,26,7
380,4,0,18,7
381,9,0,19,3
382,12,0,32,4
383,3,0,59,7
384,12,0,39,7
385,11,0,12,7
386,7,0,7,7
387,8,0,14,10
388,8,0,35,7
389,1,0,42,10
390,9,0,37,9
391,8,1,57,9
392,2,0,40,4
393,3,1,59,4
394,4,0,37,4
395,12,0,42,2
396,9,1,58,6
397,10,0,47,1
398,6,1,53,6
399,3,0,60,4
400,12,0,20,1
401,1,0,59,8
402,7,0,2,3
403,11,0,8,4
404,4,0,28,7
405,7,0,29,9
406,11,0,48,9
407,6,1,32,5
408,2,0,54,9
409,8,0,5,4
410,7,1,58,6
411,5,0,6,4
412,9,0,32,10
413,2,0,25,3
414,8,0,34,2
415,8,0,25,9
416,5,0,3,8
417,6,1,38,10
418,4,0,3,5
419,11,0,24,4
420,8,1,37,9
421,2,0,8,5
422,5,0,4,7
423,5,0,46,4
424,2,0,37,7
425,1,0,2,1
426,10,0,17,4
427,2,0,36,5
428,7,1,26,8
429,8,0,28,7
430,1,0,55,4
431,6,1,58,8
432,6,0,8,9
433,2,0,45,8
434,5,0,45,1
435,1,0,54,7
436,8,0,3,4
437,10,0,31,9
438,2,0,26,3
439,1,0,52,4
440,3,0,42,6
441,9,1,47,4
442,7,0,1,10
443,4,0,21,4
444,1,0,40,7
445,1,0,5,9
446,6,0,52,9
447,1,0,11,1
448,9,1,47,4
449,10,0,3,9
450,8,0,3,2
451,6,1,29,8
452,1,0,57,5
453,2,0,21,3
454,2,0,12,6
455,9,0,43,5
456,11,0,59,6
457,2,0,57,1
458,9,0,9,10
459,1,0,21,5
460,2,0,6,9
461,3,0,34,1
462,9,1,51,7
463,11,0,37,3
464,3,0,55,4
465,7,0,50,2
466,8,0,25,6
467,5,0,4,1
468,8,0,41,1
469,4,0,39,6
470,10,0,4,3
471,7,0,16,10
472,2,0,8,1
473,11,0,46,9
474,1,0,23,10
475,10,0,1,2
476,1,1,36,6
477,11,0,33,1
478,6,1,33,4
479,5,0,32,6
480,2,0,26,8
481,1,0,15,6
482,6,1,43,8
483,2,0,14,2
484,11,0,56,9
485,10,0,23,10
486,1,0,24,8
487,12,0,13,9
488,1,0,58,8
489,12,0,15,7
490,5,0,58,1
491,1,0,46,3
492,4,0,54,4
493,5,0,45,6
494,3,0,9,10
495,10,0,34,2
496,5,0,40,1
497,9,0,21,4
498,2,0,39,9
499,4,0,16,2
500,9,0,20,5
501,12,0,0,9
502,8,1,56,7
503,2,0,21,2
504,1,0,48,9
505,12,0,40,2
506,5,0,20,1
507,4,0,13,4
508,2,1,30,7
509,3,1,40,6
510,4,0,44,5
511,7,0,43,9
512,3,0,54,1
513,11,0,43,7
514,8,1,37,4
515,8,0,46,4
516,8,0,60,6
517,10,0,12,9
518,6,1,24,8
519,10,0,18,6
520,12,0,44,9
521,3,0,2,8
522,2,0,25,1
523,8,0,32,3
524,3,0,15,6
525,2,0,40,2
526,9,0,20,3
527,5,0,52,3
528,11,0,36,7
529,7,1,33,8
530,1,0,12,5
531,1,0,1,4
532,1,0,56,4
533,5,0,28,9
534,1,0,59,4
535,7,1,25,8
536,10,0,47,8
537,6,1,42,7
538,6,0,4,7
539,5,0,31,9
540,11,0,27,3
541,11,0,5,6
542,2,0,4,5
543,5,0,17,2
544,9,1,51,10
545,11,0,41,3
546,12,0,25,9
547,3,0,20,10
548,1,0,10,1
549,8,1,33,4
550,2,0,33,6
551,12,0,21,9
552,7,0,30,4
553,9,1,58,9
554,9,0,38,1
555,4,0,45,9
556,9,1,50,10
557,7,1,52,7
558,7,1,58,5
559,10,0,60,10
560,12,0,9,4
561,6,0,46,4
562,5,0,57,5
563,5,1,5,9
564,11,0,6,4
565,9,1,47,5
566,4,0,25,10
567,9,1,36,4
568,3,1,29,7
569,12,0,16,8
570,3,0,12,1
571,6,1,34,9
572,11,0,60,10
573,11,0,14,3
574,6,0,48,1
575,11,0,7,9
576,1,0,57,1
577,12,0,59,5
578,10,0,1,7
579,2,0,13,7
580,7,0,45,3
581,6,1,42,5
582,7,1,58,8
583,1,0,27,5
584,7,1,60,6
585,3,0,35,5
586,10,0,52,1
587,4,0,54,2
588,6,0,17,7
589,3,0,6,9
590,7,1,24,5
591,3,0,46,3
592,9,0,11,5
593,9,1,44,10
594,12,0,4,1
595,12,0,15,5
596,4,0,25,1
597,1,0,4,10
598,12,0,8,6
599,4,0,30,8
600,4,0,18,9
601,7,0,59,2
602,12,0,36,6
603,4,0,37,6
604,9,1,34,10
605,2,0,33,4
606,10,0,35,8
607,5,0,48,6
608,3,0,4,3
609,7,1,42,8
610,7,0,58,9
611,4,0,21,9
612,12,0,57,4
613,6,0,59,1
614,11,0,39,7
615,8,0,53,6
616,9,0,9,5
617,7,1,52,8
618,4,0,16,7
619,10,0,30,7
620,4,0,13,2
621,10,1,3,5
622,2,0,9,9
623,8,0,49,3
624,11,0,27,7
625,2,0,38,3
626,9,1,43,7
627,12,0,0,4
628,11,0,3,2
629,8,0,58,7
630,1,0,31,7
631,12,0,24,5
632,11,0,44,10
633,11,0,46,1
634,11,0,59,6
635,1,0,32,8
636,8,1,26,4
637,3,0,41,1
638,9,1,60,9
639,9,0,33,6
640,10,1,57,5
641,7,0,6,4
642,12,1,21,2
643,10,0,38,3
644,8,1,31,7
645,1,0,24,2
646,1,0,8,9
647,12,0,39,3
648,2,0,41,3
649,6,0,11,1
650,8,0,40,8
651,11,0,51,3
652,9,0,25,5
653,6,0,19,6
654,8,0,38,5
655,10,0,56,7
656,8,0,11,1
657,7,0,20,7
658,2,0,20,10
659,12,0,7,1
660,10,0,19,4
661,6,1,50,8
662,2,0,41,4
663,8,0,29,10
664,3,0,10,10
665,12,0,4,5
666,1,0,18,1
667,10,0,51,8
668,2,0,15,4
669,2,0,56,6
670,9,0,56,1
671,11,0,60,6
672,5,0,15,7
673,12,0,39,6
674,10,0,40,9
675,2,0,46,10
676,9,0,49,7
677,8,1,51,10
678,6,0,5,3
679,7,0,49,5
680,11,0,12,6
681,9,1,47,8
682,11,0,51,7
683,2,0,60,5
684,9,1,39,6
685,7,1,28,10
686,9,0,24,2
687,11,0,56,3
688,10,0,24,5
689,4,0,51,7
690,9,1,30,8
691,2,0,6,5
692,8,1,45,5
693,6,1,31,8
694,12,0,44,6
695,4,0,55,8
696,1,0,31,7
697,11,0,6,1
698,12,0,24,10
699,9,0,55,6
700,10,0,26,3
701,6,1,43,7
702,7,0,50,6
703,5,0,11,8
704,1,0,26,6
705,8,0,43,9
706,7,0,58,9
707,6,1,35,9
708,10,1,59,2
709,8,0,42,1
710,7,0,33,5
711,10,0,21,7
712,9,0,27,9
713,12,0,53,10
714,5,0,50,4
715,6,1,22,9
716,7,0,52,9
717,8,0,22,7
718,8,0,6,8
719,6,0,11,10
720,5,0,1,2
721,10,0,17,4
722,7,1,47,5
723,2,0,39,3
724,7,0,2,4
725,3,0,39,2
726,12,0,13,5
727,12,0,7,1
728,6,1,36,10
729,8,1,38,6
730,7,0,44,7
731,3,0,32,9
732,5,0,36,6
733,5,0,7,9
734,7,0,30,1
735,6,0,48,2
736,5,0,34,2
737,12,0,22,8
738,3,0,31,7
739,9,0,6,6
740,5,0,59,8
741,10,0,39,1
742,2,0,19,2
743,5,0,10,10
744,3,0,0,2
745,11,0,13,6
746,9,0,35,4
747,6,1,53,5
748,5,0,49,6
749,7,1,48,10
750,3,0,28,7
751,1,0,41,7
752,5,0,9,9
753,5,0,7,5
754,3,0,31,4
755,12,0,8,10
756,1,0,20,10
757,4,0,14,5
758,10,0,33,5
759,12,0,40,2
760,8,0,38,2
761,5,0,36,2
762,6,1,48,4
763,7,0,19,3
764,10,0,17,5
765,6,1,47,9
766,11,0,25,2
767,2,1,19,7
768,5,0,35,2
769,3,0,23,4
770,6,1,39,7
771,10,0,47,8
772,11,0,42,2
773,12,0,6,8
774,7,0,60,2
775,1,0,22,9
776,9,0,26,9
777,9,0,39,9
778,12,0,5,9
779,2,0,53,10
780,10,0,16,2
781,9,0,17,3
782,10,0,11,7
783,9,0,24,2
784,4,0,59,3
785,4,1,18,7
786,9,0,46,8
787,8,1,26,8
788,12,0,46,5
789,10,0,33,1
790,10,0,10,10
791,3,0,46,9
792,5,0,49,8
793,3,0,42,3
794,11,0,1,9
795,2,0,24,8
796,9,0,46,5
797,2,0,16,8
798,7,0,55,6
799,11,0,24,8
800,10,0,16,7
801,9,0,6,6
802,6,1,21,5
803,4,0,2,7
804,8,0,32,2
805,3,0,33,4
806,1,0,43,3
807,4,0,49,9
808,7,1,41,6
809,12,0,43,1
810,2,0,38,6
811,5,1,38,9
812,3,0,30,4
813,4,0,16,4
814,3,0,22,10
815,3,0,12,3
816,3,0,23,3
817,9,1,35,5
818,8,1,52,7
819,11,0,40,10
820,4,0,32,5
821,10,0,48,10
822,12,0,5,3
823,9,0,33,8
824,10,1,57,6
825,10,1,60,8
826,4,0,60,5
827,1,0,59,7
828,10,0,16,5
829,8,1,41,8
830,9,1,21,5
831,2,0,4,7
832,9,1,44,9
833,3,0,33,4
834,5,0,60,5
835,4,0,26,2
836,10,0,41,5
837,1,0,31,2
838,12,0,30,4
839,9,0,56,6
840,6,0,22,1
841,9,0,35,4
842,12,0,13,5
843,12,0,34,9
844,11,0,48,1
845,12,0,19,10
846,12,0,26,10
847,5,0,25,5
848,6,0,53,10
849,8,0,51,1
850,3,0,50,9
851,6,0,47,1
852,9,1,51,5
853,6,1,23,6
854,3,0,48,8
855,3,0,29,7
856,12,0,35,3
857,9,1,29,8
858,8,0,13,1
859,3,0,39,4
860,1,0,3,7
861,8,1,50,5
862,11,0,58,4
863,4,0,19,1
864,12,0,21,4
865,10,0,59,5
866,10,0,55,4
867,10,0,24,7
868,4,0,19,10
869,11,0,52,3
870,4,0,37,1
871,11,0,22,7
872,10,0,54,1
873,5,0,37,2
874,7,1,41,4
875,5,0,36,6
876,7,1,22,10
877,3,0,41,7
878,9,1,46,7
879,12,0,36,5
880,5,0,26,1
881,5,0,29,10
882,3,1,5,2
883,2,0,24,8
884,1,0,51,2
885,6,1,36,9
886,1,0,35,6
887,4,0,1,1
888,9,0,24,10
889,3,0,47,9
890,7,1,39,9
891,11,0,13,10
892,8,0,44,10
893,1,0,17,1
894,1,0,18,3
895,11,0,35,6
896,9,1,24,6
897,12,0,20,9
898,6,1,28,6
899,7,0,12,8
900,11,0,5,5
901,10,0,43,9
902,3,0,52,3
903,8,1,26,5
904,5,0,24,7
905,5,0,9,8
906,4,0,52,1
907,7,0,1,3
908,3,0,23,5
909,7,1,47,8
910,11,0,5,9
911,9,1,21,8
912,10,0,57,10
913,9,1,22,9
914,5,0,39,9
915,11,0,52,2
916,4,0,19,4
917,1,0,44,4
918,4,0,33,2
919,6,0,38,5
920,11,0,25,2
921,7,0,59,2
922,10,0,32,4
923,10,0,55,10
924,9,0,5,10
925,1,0,60,9
926,7,1,49,10
927,3,0,58,10
928,8,0,42,9
929,8,0,3,7
930,9,1,41,4
931,6,0,28,1
932,6,0,49,1
933,10,0,58,4
934,1,0,33,2
935,1,0,19,2
936,9,1,38,10
937,2,0,58,8
938,7,0,36,6
939,4,0,16,5
940,3,0,2,1
941,8,0,6,9
942,9,0,5,10
943,9,0,33,1
944,8,0,53,1
945,1,0,24,3
946,1,0,31,6
947,1,0,51,1
948,5,0,18,6
949,9,0,1,4
950,10,0,36,1
951,12,0,14,2
952,8,0,41,7
953,7,0,52,9
954,1,0,40,1
955,5,0,9,2
956,9,0,26,8
957,12,0,12,4
958,6,0,50,6
959,1,0,17,3
960,4,0,0,9
961,12,0,9,9
962,6,0,38,5
963,8,1,52,6
964,3,0,56,4
965,8,1,25,9
966,5,0,47,5
967,1,0,60,10
968,3,0,30,8
969,4,0,9,3
970,10,1,27,5
971,10,0,51,9
972,10,0,48,1
973,2,0,59,10
974,8,0,20,9
975,8,0,19,4
976,3,0,9,3
977,10,0,44,9
978,6,1,22,5
979,2,0,46,7
980,8,1,23,6
981,2,1,24,6
982,12,0,9,10
983,5,0,11,10
984,9,0,10,9
985,11,0,4,4
986,6,1,45,5
987,7,0,35,4
988,12,0,34,5
989,3,0,30,2
990,1,0,5,3
991,1,0,39,4
992,1,0,13,3
993,10,0,54,1
994,8,0,0,9
995,5,0,16,9
996,10,0,7,7
997,9,1,58,10
998,11,0,55,4
999,4,0,5,6
