id,run-times,shoe-has-cool-features,shoe-has-colors,bought
92,5,0,1,Y
93,0,0,0,Y
94,1,0,1,N
95,0,0,0,N
96,0,1,1,Y
97,2,0,0,N
98,2,0,0,N
99,1,0,1,Y
100,2,0,0,N
101,0,1,1,Y
102,5,0,0,Y
103,5,1,1,Y
104,3,0,1,Y
105,4,0,1,Y
106,0,1,1,Y
107,3,1,1,Y
108,0,0,1,Y
109,5,0,1,Y
110,5,1,1,Y
111,5,1,0,Y
112,4,0,1,Y
113,2,1,1,Y
114,0,1,1,Y
115,5,0,1,Y
116,1,0,0,N
117,0,1,1,Y
118,1,0,1,Y
119,0,0,0,N
120,0,0,1,N
121,1,0,1,N
122,2,0,1,N
123,2,0,0,N
124,1,0,1,N
125,2,0,0,N
126,4,1,1,Y
127,4,0,1,Y
128,0,0,1,Y
129,0,0,1,Y
130,3,0,1,Y
131,4,1,1,Y
132,1,0,0,N
133,4,0,1,Y
134,2,1,0,N
135,0,0,0,Y
136,0,0,1,Y
137,5,1,1,Y
138,1,0,0,Y
139,2,0,0,N
140,3,0,1,Y
141,4,0,1,Y
142,3,1,1,Y
143,2,0,1,N
144,4,1,1,Y
145,0,0,1,Y
146,1,0,0,N
147,5,1,0,Y
148,4,0,0,Y
149,3,0,0,Y
150,2,0,0,N
151,0,0,1,Y
152,0,0,1,Y
153,3,1,1,Y
154,0,0,0,N
155,5,1,1,Y
156,1,0,0,N
157,1,0,0,Y
158,5,1,1,Y
159,0,0,0,N
160,2,0,0,N
161,4,1,0,Y
162,0,0,1,N
163,1,0,0,N
164,0,1,0,N
165,4,0,1,Y
166,2,0,0,N
167,2,1,1,Y
168,1,0,0,N
169,0,0,0,N
170,2,0,0,N
171,0,0,1,Y
172,2,1,1,Y
173,1,0,0,Y
174,5,1,1,Y
175,1,0,0,N
176,5,1,0,Y
177,1,1,0,N
178,0,0,0,N
179,0,0,1,Y
180,0,1,1,Y
181,1,1,1,Y
182,4,0,1,Y
183,2,0,1,N
184,1,1,1,Y
185,0,0,1,N
186,2,0,1,N
187,0,1,1,Y
188,4,0,0,Y
189,0,0,1,Y
190,0,0,1,N
191,0,1,0,Y
192,1,0,0,N
193,0,1,1,Y
194,1,1,1,Y
195,5,0,0,Y
196,2,0,0,N
197,5,1,0,Y
198,0,0,1,Y
199,0,1,1,Y
200,1,0,0,N
201,0,1,1,Y
202,4,0,1,Y
203,1,0,1,N
204,5,0,1,Y
205,0,1,0,Y
206,0,0,0,N
207,4,0,1,Y
208,0,0,0,Y
209,3,0,1,Y
210,1,1,0,N
211,5,0,1,Y
212,0,0,0,N
213,0,0,0,N
214,5,0,1,Y
215,3,0,1,Y
216,2,0,1,N
217,4,1,1,Y
218,1,1,0,N
219,4,1,1,Y
220,2,1,1,Y
221,1,0,0,N
222,2,0,0,N
223,0,0,0,N
224,0,0,1,N
225,2,0,1,N
226,4,0,1,Y
227,1,0,0,Y
228,0,1,1,Y
229,3,1,1,Y
230,2,0,0,N
231,1,0,1,Y
232,0,0,0,Y
233,4,1,1,Y
234,1,0,1,Y
235,4,0,1,Y
236,0,0,1,Y
237,1,1,1,Y
238,2,0,0,Y
239,4,0,1,Y
240,5,0,1,Y
241,1,0,0,N
242,0,0,1,Y
243,0,0,0,N
244,1,1,0,N
245,1,0,1,Y
246,5,1,1,Y
247,4,0,1,Y
248,0,1,1,Y
249,2,0,0,N
250,0,0,1,Y
251,4,0,1,Y
252,0,0,0,N
253,1,0,0,N
254,2,1,0,N
255,1,1,0,Y
256,0,0,1,Y
257,2,1,0,Y
258,0,1,1,N
259,1,0,0,N
260,3,1,1,Y
261,1,0,1,Y
262,2,0,1,N
263,5,1,1,Y
264,4,0,1,Y
265,4,1,1,Y
266,5,1,1,Y
267,2,1,0,Y
268,3,0,1,Y
269,0,0,1,Y
270,0,0,0,N
271,0,0,1,N
272,1,0,0,N
273,3,0,1,Y
274,0,0,0,N
275,4,0,1,Y
276,1,0,0,N
277,5,0,1,Y
278,5,1,1,Y
279,4,0,1,Y
280,2,0,1,Y
281,5,0,1,Y
282,5,0,1,Y
283,2,1,1,Y
284,3,1,0,Y
285,3,0,1,Y
286,5,0,1,Y
287,5,0,0,Y
288,0,0,1,Y
289,4,0,1,Y
290,0,1,1,Y
291,1,0,1,Y
292,5,1,1,Y
293,1,0,0,N
294,2,0,1,N
295,5,0,1,Y
296,4,0,1,Y
297,0,0,1,Y
298,4,1,1,Y
299,1,0,1,N
300,1,0,1,N
301,1,0,0,N
302,0,0,0,N
303,5,1,1,Y
304,2,0,0,N
305,2,0,1,Y
306,0,1,1,Y
307,5,1,1,Y
308,2,0,0,Y
309,0,0,1,N
310,5,0,1,Y
311,2,1,1,Y
312,4,0,1,Y
313,0,1,1,Y
314,5,0,1,Y
315,1,0,1,N
316,4,1,1,Y
317,3,0,1,Y
318,0,1,1,Y
319,2,0,0,N
320,5,0,1,Y
321,0,0,0,N
322,0,1,0,N
323,2,0,1,Y
324,0,1,1,Y
325,0,0,0,N
326,0,0,1,Y
327,2,1,1,N
328,1,0,1,Y
329,0,0,0,N
330,1,0,1,N
331,5,0,1,Y
332,5,0,1,Y
333,0,0,0,Y
334,2,1,1,Y
335,0,0,0,N
336,2,0,0,N
337,1,0,1,Y
338,5,1,1,Y
339,0,0,0,N
340,0,0,0,N
341,1,0,0,N
342,0,1,1,Y
343,2,0,1,N
344,2,0,0,N
345,1,0,0,N
346,1,0,1,N
347,5,0,1,Y
348,1,0,1,Y
349,4,0,1,Y
350,1,0,0,Y
351,5,1,1,Y
352,5,0,0,Y
353,4,0,1,Y
354,0,0,1,N
355,3,0,1,Y
356,0,0,1,N
357,2,0,1,N
358,5,0,1,Y
359,2,0,1,N
360,4,0,0,Y
361,2,1,0,N
362,2,1,1,Y
363,0,1,1,Y
364,1,0,1,N
365,0,1,1,Y
366,0,0,1,N
367,5,0,0,Y
368,2,0,0,N
369,0,0,0,Y
370,0,0,0,Y
371,0,1,0,N
372,0,1,1,Y
373,0,0,0,N
374,5,0,1,Y
375,2,0,0,N
376,2,0,1,Y
377,4,0,1,Y
378,5,0,0,Y
379,0,0,0,N
380,1,0,1,N
381,2,0,1,N
382,3,1,1,Y
383,3,1,0,Y
384,2,0,1,Y
385,1,1,1,Y
386,2,0,0,N
387,3,1,1,Y
388,4,0,1,Y
389,0,0,1,Y
390,1,1,1,Y
391,0,0,1,Y
392,0,1,1,Y
393,1,0,0,N
394,0,0,0,Y
395,0,0,1,Y
396,2,1,1,Y
397,1,0,0,N
398,0,0,1,Y
399,5,1,0,Y
400,5,0,1,Y
401,0,0,1,Y
402,0,1,1,Y
403,0,0,1,Y
404,2,0,0,N
405,2,0,0,N
406,2,1,1,Y
407,2,0,0,N
408,0,0,0,N
409,4,1,0,Y
410,4,0,1,Y
411,0,0,1,Y
412,1,1,0,N
413,1,1,1,N
414,2,1,1,Y
415,0,0,1,Y
416,5,0,1,Y
417,3,0,1,Y
418,0,0,0,N
419,4,1,1,Y
420,0,0,0,N
421,4,1,1,Y
422,0,0,1,Y
423,0,0,0,N
424,1,1,0,N
425,2,1,0,Y
426,4,1,0,Y
427,0,0,1,Y
428,4,1,0,Y
429,2,1,1,N
430,3,0,1,Y
431,2,0,0,Y
432,5,0,1,Y
433,1,0,0,N
434,0,1,1,Y
435,1,0,0,N
436,0,0,1,Y
437,5,1,0,Y
438,2,0,1,N
439,0,0,0,N
440,0,0,1,Y
441,3,0,0,Y
442,1,1,1,Y
443,2,0,1,Y
444,5,0,1,Y
445,1,0,1,Y
446,0,1,1,N
447,0,1,1,Y
448,0,0,1,Y
449,1,0,0,N
450,2,1,0,N
451,4,1,1,Y
452,2,0,1,Y
453,0,1,1,Y
454,5,1,1,Y
455,2,0,0,N
456,0,0,0,N
457,2,0,0,N
458,0,0,0,Y
459,1,1,1,N
460,3,0,1,Y
461,5,0,1,Y
462,1,0,1,Y
463,4,0,1,Y
464,0,0,1,N
465,0,0,1,Y
466,4,1,1,Y
467,0,0,1,N
468,5,0,1,Y
469,1,0,1,N
470,3,1,1,Y
471,2,0,1,Y
472,0,1,1,N
473,1,0,0,N
474,1,1,1,Y
475,0,0,0,N
476,5,1,1,Y
477,2,0,1,Y
478,2,0,1,Y
479,0,0,1,N
480,2,0,0,N
481,0,0,0,N
482,1,0,0,N
483,4,1,1,Y
484,0,0,1,Y
485,0,0,1,Y
486,5,0,1,Y
487,4,0,1,Y
488,4,0,1,Y
489,4,0,1,Y
490,1,0,0,N
491,2,0,0,N
492,0,0,1,Y
493,2,0,1,Y
494,1,0,0,N
495,2,0,0,N
496,4,0,0,Y
497,1,0,0,N
498,2,0,0,N
499,3,0,1,Y
500,2,0,1,N
501,0,1,1,Y
502,2,0,0,N
503,2,0,1,N
504,4,1,1,Y
505,2,0,0,N
506,4,0,0,Y
507,2,0,1,Y
508,2,0,1,Y
509,4,1,1,Y
510,3,0,0,Y
511,2,0,1,N
512,1,1,1,Y
513,2,1,1,Y
514,3,1,0,Y
515,0,0,1,Y
516,0,0,1,Y
517,0,0,0,Y
518,1,0,1,Y
519,5,0,1,Y
520,0,0,0,Y
521,5,1,1,Y
522,4,0,1,Y
523,4,0,1,Y
524,0,0,0,N
525,1,0,1,N
526,0,1,1,Y
527,4,0,0,Y
528,4,0,1,Y
529,0,1,0,N
530,2,0,1,Y
531,2,0,1,Y
532,4,0,1,Y
533,1,0,0,N
534,0,0,1,N
535,0,1,1,N
536,2,0,0,N
537,1,0,1,Y
538,3,0,1,Y
539,1,0,0,N
540,2,0,1,N
541,0,0,1,N
542,1,0,0,N
543,5,0,1,Y
544,0,0,0,N
545,0,0,1,Y
546,5,1,0,Y
547,4,1,1,Y
548,5,1,1,Y
549,1,1,1,Y
550,3,0,1,Y
551,0,0,1,Y
552,0,0,1,Y
553,0,0,0,Y
554,5,1,1,Y
555,4,0,1,Y
556,1,0,0,N
557,0,1,1,Y
558,1,1,1,Y
559,3,0,1,Y
560,0,0,1,N
561,2,0,0,N
562,2,1,1,Y
563,0,0,1,N
564,2,0,0,N
565,1,0,0,N
566,5,0,1,Y
567,3,0,1,Y
568,5,0,1,Y
569,1,0,1,N
570,5,1,1,Y
571,0,0,0,Y
572,1,0,1,N
573,1,0,0,N
574,1,0,0,N
575,1,1,1,Y
576,4,1,1,Y
577,4,0,1,Y
578,1,0,0,N
579,4,1,1,Y
580,5,1,0,Y
581,2,0,1,Y
582,5,1,1,Y
583,1,1,1,N
584,2,0,0,N
585,2,1,1,Y
586,5,0,1,Y
587,1,1,0,N
588,3,0,1,Y
589,1,0,0,N
590,4,1,0,Y
591,5,0,0,Y
592,0,0,0,N
593,2,1,1,Y
594,0,0,1,N
595,1,0,1,N
596,2,1,1,Y
597,2,0,1,N
598,0,0,1,N
599,1,1,0,N
600,1,0,1,Y
601,1,0,0,N
602,0,0,0,N
603,1,0,0,N
604,5,0,1,Y
605,0,0,1,N
606,4,0,1,Y
607,0,0,1,Y
608,1,0,1,N
609,5,1,1,Y
610,0,0,0,Y
611,0,0,0,N
612,3,0,0,Y
613,2,0,0,N
614,0,0,0,N
615,5,0,1,Y
616,5,0,1,Y
617,2,0,0,N
618,0,0,1,Y
619,1,0,0,N
620,3,0,1,Y
621,2,0,0,N
622,0,0,0,N
623,1,0,1,Y
624,4,1,1,Y
625,1,1,0,Y
626,1,0,1,Y
627,2,0,1,Y
628,2,0,1,Y
629,0,0,0,N
630,0,0,1,N
631,4,1,1,Y
632,4,0,1,Y
633,0,0,0,Y
634,1,1,1,N
635,2,0,0,N
636,0,1,1,Y
637,0,0,1,N
638,2,0,1,N
639,0,0,1,Y
640,0,0,1,Y
641,0,0,0,N
642,5,0,1,Y
643,2,0,0,N
644,0,1,1,Y
645,2,0,0,N
646,0,0,0,N
647,1,0,0,N
648,0,1,0,N
649,2,1,0,N
650,0,0,1,N
651,1,1,1,Y
652,3,0,1,Y
653,5,0,1,Y
654,0,0,0,N
655,1,0,0,N
656,1,1,0,Y
657,0,0,1,N
658,3,0,1,Y
659,2,0,1,Y
660,0,1,1,Y
661,0,1,0,N
662,0,0,1,Y
663,0,0,0,Y
664,1,0,0,N
665,0,0,1,Y
666,0,1,0,N
667,4,0,1,Y
668,0,0,1,Y
669,2,0,1,Y
670,2,0,1,N
671,1,0,1,N
672,5,0,0,Y
673,2,0,1,Y
674,0,0,0,Y
675,0,0,0,N
676,0,0,0,Y
677,1,1,1,N
678,4,1,1,Y
679,2,0,1,N
680,0,0,1,Y
681,1,0,1,N
682,2,1,1,N
683,1,0,0,N
684,0,0,1,Y
685,5,1,1,Y
686,5,0,1,Y
687,1,1,0,Y
688,0,0,0,N
689,5,1,1,Y
690,0,1,1,Y
691,1,0,0,N
692,5,0,1,Y
693,5,1,1,Y
694,4,0,1,Y
695,2,0,0,N
696,5,0,0,Y
697,0,0,1,Y
698,5,1,0,Y
699,5,0,1,Y
700,2,0,1,Y
701,2,0,0,N
702,0,0,1,N
703,5,1,1,Y
704,0,1,1,Y
705,5,1,1,Y
706,2,0,0,N
707,5,0,1,Y
708,0,0,1,Y
709,1,0,0,N
710,3,1,0,Y
711,0,0,0,N
712,4,0,1,Y
713,5,0,1,Y
714,1,0,1,N
715,0,0,1,Y
716,5,0,1,Y
717,4,1,1,Y
718,1,0,0,N
719,1,0,1,Y
720,0,1,1,Y
721,4,0,1,Y
722,0,0,0,N
723,4,0,1,Y
724,1,0,1,Y
725,0,0,1,Y
726,2,0,0,N
727,0,0,0,Y
728,2,0,0,N
729,2,0,0,N
730,4,0,1,Y
731,4,1,1,Y
732,3,1,0,Y
733,2,0,1,Y
734,2,1,1,N
735,4,0,1,Y
736,0,0,1,Y
737,0,0,1,Y
738,1,0,0,N
739,0,1,1,Y
740,0,0,1,Y
741,5,1,1,Y
742,1,0,0,N
743,4,1,1,Y
744,2,0,0,N
745,2,1,1,Y
746,0,1,0,Y
747,2,0,0,N
748,5,0,1,Y
749,4,1,1,Y
750,2,0,0,N
751,2,0,0,N
752,0,0,1,Y
753,1,0,0,N
754,5,1,1,Y
755,0,1,0,N
756,3,0,0,Y
757,2,0,1,Y
758,0,0,1,Y
759,0,0,0,Y
760,0,0,1,Y
761,1,0,1,N
762,2,0,0,N
763,0,0,1,Y
764,1,0,1,Y
765,0,0,1,Y
766,2,0,1,N
767,1,0,0,N
768,0,1,0,Y
769,2,0,1,N
770,5,0,1,Y
771,2,0,0,N
772,1,0,0,Y
773,1,1,0,N
774,5,0,1,Y
775,5,1,1,Y
776,0,1,0,Y
777,2,1,1,Y
778,0,0,0,N
779,1,0,1,N
780,1,0,0,N
781,4,1,1,Y
782,4,0,1,Y
783,1,0,0,N
784,5,1,0,Y
785,2,0,1,N
786,4,1,1,Y
787,1,0,1,Y
788,5,0,1,Y
789,2,1,1,Y
790,0,0,1,Y
791,4,1,1,Y
792,4,0,1,Y
793,5,0,1,Y
794,3,0,1,Y
795,5,0,1,Y
796,1,0,1,N
797,4,1,1,Y
798,1,0,0,N
799,0,0,1,N
800,0,0,0,N
801,4,0,0,Y
802,4,0,1,Y
803,0,0,0,N
804,1,0,1,Y
805,1,0,0,N
806,3,1,1,Y
807,0,0,1,N
808,3,0,0,Y
809,0,0,1,Y
810,4,0,1,Y
811,0,1,1,Y
812,2,0,0,N
813,5,0,1,Y
814,1,0,0,N
815,1,0,0,N
816,0,0,1,N
817,0,0,1,N
818,4,1,1,Y
819,1,0,1,N
820,3,1,1,Y
821,1,1,0,N
822,4,0,1,Y
823,0,0,1,Y
824,1,0,1,N
825,5,1,1,Y
826,1,0,1,Y
827,3,1,1,Y
828,2,0,1,N
829,2,0,0,N
830,3,0,1,Y
831,5,1,1,Y
832,0,0,0,N
833,2,0,0,N
834,1,1,0,N
835,3,0,1,Y
836,0,0,1,Y
837,4,1,0,Y
838,2,1,0,N
839,1,0,0,Y
840,2,0,0,N
841,4,1,0,Y
842,2,0,1,N
843,1,0,0,N
844,3,0,1,Y
845,2,0,1,N
846,1,0,1,N
847,2,0,0,N
848,1,0,0,N
849,5,0,0,Y
850,5,0,0,Y
851,2,0,0,N
852,2,0,1,Y
853,0,0,0,N
854,0,0,0,N
855,2,1,1,Y
856,2,0,0,N
857,4,0,0,Y
858,1,0,1,N
859,5,1,0,Y
860,4,0,1,Y
861,5,0,1,Y
862,2,0,0,N
863,0,1,1,Y
864,5,1,1,Y
865,3,1,1,Y
866,0,0,1,Y
867,3,1,1,Y
868,0,1,0,Y
869,1,0,0,N
870,2,0,0,N
871,1,0,0,Y
872,1,0,1,N
873,0,0,1,Y
874,1,0,1,N
875,0,0,0,Y
876,0,1,0,N
877,0,0,1,N
878,0,0,1,Y
879,5,0,1,Y
880,2,0,1,Y
881,1,0,0,N
882,1,1,1,Y
883,0,0,0,N
884,5,1,1,Y
885,5,0,1,Y
886,0,1,1,Y
887,4,0,1,Y
888,1,1,0,N
889,1,0,1,N
890,0,0,1,Y
891,0,1,1,Y
892,3,0,1,Y
893,0,0,0,N
894,0,1,1,Y
895,0,0,1,N
896,1,1,1,Y
897,0,0,0,N
898,0,0,1,Y
899,5,0,1,Y
900,4,0,1,Y
901,1,0,1,N
902,5,0,1,Y
903,3,0,1,Y
904,2,0,1,N
905,5,0,1,Y
906,2,0,0,N
907,2,0,1,Y
908,4,0,1,Y
909,1,1,1,Y
910,1,1,0,N
911,1,0,1,N
912,2,1,0,Y
913,0,0,1,Y
914,4,0,1,Y
915,0,0,0,N
916,2,0,1,N
917,0,0,1,N
918,1,0,0,N
919,1,0,1,Y
920,0,1,0,Y
921,2,0,1,Y
922,2,0,0,Y
923,0,0,1,N
924,4,0,1,Y
925,4,0,0,Y
926,2,0,0,N
927,0,0,0,Y
928,5,0,1,Y
929,2,1,1,Y
930,1,0,1,Y
931,0,0,0,N
932,5,1,1,Y
933,2,0,0,N
934,1,1,0,Y
935,4,0,1,Y
936,5,0,1,Y
937,4,1,1,Y
938,3,0,1,Y
939,0,0,1,Y
940,0,0,0,Y
941,1,0,1,N
942,4,1,1,Y
943,0,0,0,Y
944,0,0,0,N
945,0,0,1,Y
946,2,1,1,Y
947,0,0,1,Y
948,2,0,1,N
949,3,0,1,Y
950,1,1,1,N
951,4,0,1,Y
952,0,1,0,Y
953,2,1,1,Y
954,2,0,1,N
955,4,0,0,Y
956,4,1,1,Y
957,3,0,1,Y
958,5,1,1,Y
959,0,0,1,Y
960,5,0,1,Y
961,0,0,1,N
962,3,1,1,Y
963,5,0,1,Y
964,2,0,0,N
965,0,1,0,Y
966,4,0,0,Y
967,4,1,1,Y
968,4,0,1,Y
969,4,0,1,Y
970,3,0,1,Y
971,2,0,0,N
972,1,0,1,Y
973,0,0,0,N
974,1,0,1,N
975,4,0,1,Y
976,4,1,1,Y
977,5,0,1,Y
978,0,0,1,Y
979,4,1,1,Y
980,4,0,1,Y
981,0,1,0,N
982,2,0,1,Y
983,2,0,1,Y
984,5,0,1,Y
985,0,0,0,N
986,1,0,1,Y
987,0,0,0,N
988,4,0,1,Y
989,2,0,0,N
990,2,0,0,N
991,5,0,1,Y
992,4,0,1,Y
993,5,0,1,Y
994,2,1,1,Y
995,1,0,0,N
996,4,0,1,Y
997,0,0,1,Y
998,0,0,1,Y
999,0,0,1,Y
1000,0,0,1,Y
1001,5,0,0,Y
1002,4,0,1,Y
1003,0,0,1,Y
1004,0,0,1,N
1005,4,0,1,Y
1006,1,1,1,N
1007,3,0,0,Y
1008,2,0,1,Y
1009,1,0,0,N
1010,5,1,1,Y
1011,3,0,1,Y
1012,0,0,1,Y
1013,1,0,1,N
1014,3,1,1,Y
1015,0,0,1,Y
1016,2,0,0,N
1017,0,1,0,N
1018,2,0,0,N
1019,0,0,0,N
1020,1,1,0,N
1021,0,0,1,Y
1022,1,1,0,Y
1023,3,0,1,Y
1024,0,0,0,N
1025,4,1,1,Y
1026,0,1,1,Y
1027,5,0,1,Y
1028,1,0,1,Y
1029,4,0,0,Y
1030,4,1,1,Y
1031,1,0,1,N
1032,0,1,1,Y
1033,1,1,1,Y
1034,4,1,0,Y
1035,0,0,1,N
1036,2,0,0,N
1037,4,0,1,Y
1038,5,0,1,Y
1039,0,0,1,Y
1040,0,0,1,N
1041,2,0,1,Y
1042,5,0,1,Y
1043,0,0,1,N
1044,5,0,0,Y
1045,0,0,1,Y
1046,0,0,0,N
1047,4,0,1,Y
1048,3,1,1,Y
1049,0,0,0,Y
1050,0,1,1,Y
1051,3,1,0,Y
1052,2,0,1,Y
1053,4,0,0,Y
1054,1,1,1,N
1055,1,0,0,N
1056,5,0,1,Y
1057,4,1,1,Y
1058,4,0,1,Y
1059,1,0,0,N
1060,3,0,1,Y
1061,0,0,0,N
1062,1,0,1,Y
1063,5,0,1,Y
1064,2,1,0,N
1065,0,0,0,N
1066,0,1,1,Y
1067,0,0,1,N
1068,1,0,1,Y
1069,0,1,0,Y
1070,2,0,1,Y
1071,2,0,0,N
1072,2,0,0,N
1073,1,0,0,N
1074,0,0,0,N
1075,0,0,1,Y
1076,4,0,1,Y
1077,1,0,1,Y
1078,1,0,0,N
1079,4,0,1,Y
1080,3,1,1,Y
1081,0,1,1,Y
1082,2,0,1,Y
1083,1,0,1,N
1084,3,1,1,Y
1085,0,0,0,N
1086,4,0,1,Y
1087,2,0,0,N
1088,3,0,0,Y
1089,0,0,0,N
1090,0,0,0,N
1091,0,0,0,Y
1092,4,1,1,Y
1093,4,0,1,Y
1094,0,0,1,N
1095,2,1,1,Y
1096,0,0,0,Y
1097,4,1,1,Y
1098,1,1,1,Y
1099,5,0,1,Y
1100,0,0,0,Y
1101,2,0,0,N
1102,1,0,1,Y
1103,3,1,1,Y
1104,5,0,1,Y
1105,2,0,1,Y
1106,3,0,0,Y
1107,4,1,1,Y
1108,2,0,0,N
1109,0,0,0,N
1110,2,0,1,Y
1111,0,0,1,Y
1112,0,1,1,Y
1113,1,0,0,N
1114,3,0,1,Y
1115,0,0,1,Y
1116,5,0,1,Y
1117,0,0,0,N
1118,2,0,0,N
1119,2,1,1,N
1120,1,0,0,N
1121,4,0,0,Y
1122,0,0,0,N
1123,2,0,1,N
1124,1,0,0,N
1125,3,0,0,Y
1126,5,0,1,Y
1127,0,0,1,N
1128,0,0,0,N
1129,5,1,1,Y
1130,0,0,0,N
1131,1,0,1,Y
1132,1,1,1,Y
1133,0,0,0,Y
1134,3,0,1,Y
1135,1,1,0,N
1136,0,0,1,Y
1137,5,0,1,Y
1138,5,0,1,Y
1139,2,0,0,N
1140,0,0,0,N
1141,0,0,1,Y
1142,1,0,0,N
1143,2,1,0,Y
1144,2,0,1,N
1145,5,0,0,Y
1146,4,0,1,Y
1147,0,0,1,Y
1148,1,1,1,N
1149,0,0,1,Y
1150,2,1,1,N
1151,1,0,0,N
1152,0,0,1,Y
1153,4,0,1,Y
1154,4,1,0,Y
1155,1,0,0,N
1156,1,1,1,Y
1157,2,0,0,N
1158,0,0,1,Y
1159,0,0,1,Y
1160,0,0,0,N
1161,2,0,1,N
1162,2,1,1,Y
1163,4,0,0,Y
1164,0,0,1,Y
1165,0,1,0,N
1166,0,0,1,Y
1167,4,0,1,Y
1168,4,1,1,Y
1169,0,0,1,Y
1170,2,0,1,N
1171,2,0,0,N
1172,4,0,1,Y
1173,2,0,0,N
1174,1,1,1,Y
1175,1,1,1,Y
1176,2,1,1,Y
1177,1,1,0,N
1178,1,0,1,Y
1179,0,0,1,N
1180,1,0,1,Y
1181,0,0,0,Y
1182,3,0,1,Y
1183,1,0,0,N
1184,2,1,0,N
1185,1,0,1,N
1186,1,0,1,Y
1187,1,0,0,N
1188,0,1,1,Y
1189,4,0,0,Y
1190,2,0,0,N
1191,0,0,1,Y
1192,3,1,1,Y
1193,0,1,1,Y
1194,0,0,1,Y
1195,5,0,1,Y
1196,3,1,1,Y
1197,2,0,1,Y
1198,4,0,1,Y
1199,1,0,0,N
1200,3,0,1,Y
1201,5,0,1,Y
1202,2,0,0,N
1203,4,0,0,Y
1204,1,1,1,Y
1205,1,1,1,N
1206,4,1,1,Y
1207,4,0,1,Y
1208,1,0,1,Y
1209,2,1,0,Y
1210,5,1,1,Y
1211,4,0,1,Y
1212,2,0,1,N
1213,5,1,1,Y
1214,2,0,0,N
1215,5,0,1,Y
1216,4,0,1,Y
1217,2,0,1,N
1218,1,1,1,N
1219,4,1,1,Y
1220,5,1,1,Y
1221,4,0,1,Y
1222,1,0,0,N
1223,3,1,0,Y
1224,5,0,1,Y
1225,5,1,1,Y
1226,4,0,1,Y
1227,1,0,1,Y
1228,1,0,1,N
1229,5,1,1,Y
1230,5,1,1,Y
1231,4,0,1,Y
1232,0,0,1,Y
1233,1,0,0,N
1234,5,1,1,Y
1235,1,0,0,N
1236,5,0,0,Y
1237,0,0,1,Y
1238,2,0,0,N
1239,0,1,1,Y
1240,5,1,0,Y
1241,1,1,1,N
1242,5,0,1,Y
1243,4,0,1,Y
1244,0,0,1,Y
1245,1,0,0,N
1246,3,1,0,Y
1247,0,0,0,Y
1248,1,0,1,Y
1249,0,1,1,Y
1250,2,1,0,N
1251,1,0,0,N
1252,0,0,0,N
1253,1,0,0,Y
1254,0,1,1,N
1255,2,0,1,Y
1256,4,0,0,Y
1257,0,0,1,Y
1258,0,0,0,Y
1259,1,0,0,N
1260,1,0,1,Y
1261,1,0,1,Y
1262,2,0,1,N
1263,0,0,0,N
1264,2,0,1,N
1265,0,0,0,Y
1266,2,0,0,N
1267,0,0,1,Y
1268,2,0,0,N
1269,1,0,0,N
1270,2,0,1,Y
1271,0,0,0,N
1272,4,0,1,Y
1273,0,0,1,N
1274,5,0,1,Y
1275,0,1,1,Y
1276,1,0,0,N
1277,2,0,1,N
1278,3,1,1,Y
1279,1,0,1,Y
1280,3,0,0,Y
1281,4,0,1,Y
1282,4,0,1,Y
1283,0,0,1,Y
