id,brand,model,color,click
451,Chevy,Malibu,dark-blue,0
452,Honda,Fit,white,0
453,Toyota,Camry,dark-blue,0
454,Honda,Accord,dark-blue,0
455,Ford,Escape,dark-blue,0
456,Honda,Civic,dark-blue,0
457,Toyota,Camry,silver,0
458,Ford,Escape,white,0
459,Toyota,RAV4,red,0
460,Chevy,Camaro,black,0
461,Honda,Civic,silver,0
462,Ford,Focus,silver,0
463,Chevy,Camaro,silver,1
464,Nissan,Maxima,white,0
465,Ford,Escape,red,0
466,Nissan,Maxima,red,0
467,Toyota,Corolla,black,0
468,Honda,Accord,black,0
469,Toyota,Yaris,blue,0
470,Honda,Civic,blue,0
471,Nissan,Pathfinder,blue,1
472,Nissan,Altima,white,0
473,Honda,Accord,white,0
474,Nissan,Versa,white,0
475,Chevy,Camaro,red,0
476,Toyota,Yaris,black,0
477,Toyota,Yaris,blue,0
478,Toyota,RAV4,white,0
479,Honda,Fit,red,0
480,Nissan,Altima,white,0
481,Honda,Odyssey,red,0
482,Chevy,Camaro,white,1
483,Honda,Odyssey,dark-blue,0
484,Nissan,Altima,white,0
485,Nissan,Maxima,red,0
486,Toyota,Yaris,dark-blue,0
487,Chevy,Sonic,black,1
488,Honda,Odyssey,silver,0
489,Chevy,Camaro,black,0
490,Chevy,Sonic,dark-blue,0
491,Toyota,Prius,silver,0
492,Ford,Fiesta,dark-blue,0
493,Ford,Escape,black,0
494,Chevy,Impala,white,0
495,Honda,Accord,silver,0
496,Honda,Civic,dark-blue,0
497,Nissan,Pathfinder,black,1
498,Chevy,Malibu,blue,0
499,Chevy,Cruze,silver,0
500,Nissan,Versa,dark-blue,1
501,Toyota,Prius,silver,0
502,Chevy,Malibu,red,0
503,Chevy,Impala,dark-blue,0
504,Ford,Focus,blue,0
505,Ford,Escape,white,0
506,Honda,CR-V,black,0
507,Honda,CR-V,dark-blue,0
508,Nissan,Pathfinder,red,0
509,Toyota,RAV4,blue,0
510,Ford,Escape,red,1
511,Nissan,Versa,silver,0
512,Honda,Civic,dark-blue,0
513,Honda,Odyssey,dark-blue,0
514,Honda,Fit,red,0
515,Honda,Accord,white,0
516,Chevy,Impala,black,1
517,Toyota,4Runner,blue,1
518,Chevy,Cruze,black,0
519,Toyota,RAV4,blue,0
520,Toyota,Yaris,white,0
521,Nissan,Altima,silver,0
522,Chevy,Impala,white,0
523,Honda,Accord,white,0
524,Ford,Escape,black,0
525,Chevy,Impala,white,0
526,Nissan,Pathfinder,black,0
527,Honda,Fit,blue,0
528,Ford,Explorer,dark-blue,1
529,Chevy,Impala,blue,1
530,Chevy,Malibu,blue,1
531,Nissan,Altima,red,0
532,Nissan,Sentra,silver,0
533,Toyota,4Runner,dark-blue,1
534,Nissan,Sentra,dark-blue,0
535,Nissan,Pathfinder,black,0
536,Honda,Accord,blue,0
537,Ford,Mustang,red,1
538,Nissan,Versa,red,0
539,Ford,Fiesta,silver,0
540,Ford,Mustang,black,0
541,Chevy,Cruze,red,0
542,Toyota,RAV4,blue,0
543,Chevy,Cruze,red,0
544,Honda,Accord,black,0
545,Honda,Accord,silver,1
546,Ford,Mustang,white,1
547,Nissan,Altima,black,0
548,Ford,Focus,blue,0
549,Chevy,Sonic,silver,1
550,Ford,Escape,blue,0
551,Nissan,Sentra,black,0
552,Honda,Accord,dark-blue,1
553,Nissan,Juke,silver,0
554,Toyota,Corolla,silver,0
555,Toyota,Prius,black,0
556,Ford,Escape,black,1
557,Honda,Fit,dark-blue,0
558,Ford,Escape,red,0
559,Ford,Escape,silver,0
560,Toyota,RAV4,silver,0
561,Ford,Explorer,red,0
562,Toyota,Yaris,blue,0
563,Chevy,Camaro,white,1
564,Chevy,Impala,silver,0
565,Chevy,Sonic,blue,0
566,Chevy,Camaro,black,0
567,Toyota,4Runner,blue,1
568,Chevy,Camaro,blue,0
569,Toyota,Camry,red,0
570,Honda,Fit,silver,0
571,Honda,Civic,silver,0
572,Toyota,Yaris,white,0
573,Ford,Mustang,dark-blue,0
574,Toyota,4Runner,silver,0
575,Honda,Fit,dark-blue,0
576,Ford,Explorer,red,0
577,Honda,Fit,white,0
578,Toyota,Camry,silver,1
579,Honda,Civic,blue,1
580,Toyota,4Runner,black,0
581,Honda,Odyssey,blue,0
582,Honda,Fit,black,0
583,Honda,Civic,black,0
584,Honda,Accord,dark-blue,0
585,Chevy,Cruze,dark-blue,0
586,Chevy,Impala,white,0
587,Chevy,Impala,black,0
588,Ford,Focus,silver,1
589,Chevy,Impala,blue,0
590,Honda,CR-V,red,0
591,Nissan,Altima,black,0
592,Toyota,4Runner,dark-blue,0
593,Toyota,Prius,dark-blue,0
594,Toyota,Yaris,black,1
595,Ford,Fiesta,silver,0
596,Nissan,Versa,dark-blue,0
597,Ford,Mustang,black,0
598,Toyota,RAV4,red,1
599,Nissan,Altima,silver,1
600,Chevy,Malibu,silver,1
601,Ford,Focus,dark-blue,0
602,Ford,Mustang,blue,1
603,Honda,Accord,dark-blue,0
604,Chevy,Camaro,white,0
605,Ford,Focus,blue,0
606,Ford,Focus,blue,0
607,Nissan,Altima,dark-blue,0
608,Ford,Explorer,white,0
609,Nissan,Altima,blue,1
610,Chevy,Impala,silver,0
611,Nissan,Sentra,dark-blue,0
612,Toyota,Yaris,black,0
613,Nissan,Pathfinder,silver,0
614,Honda,Civic,silver,1
615,Honda,Accord,red,1
616,Nissan,Versa,blue,0
617,Honda,Fit,dark-blue,0
618,Honda,Accord,white,0
619,Nissan,Versa,blue,0
620,Chevy,Malibu,red,0
621,Ford,Explorer,white,0
622,Ford,Escape,black,0
623,Nissan,Pathfinder,dark-blue,1
624,Ford,Mustang,silver,0
625,Honda,CR-V,black,1
626,Chevy,Impala,red,0
627,Honda,CR-V,dark-blue,0
628,Honda,Fit,silver,0
629,Ford,Explorer,white,0
630,Chevy,Malibu,red,1
631,Nissan,Altima,red,0
632,Toyota,Yaris,black,1
633,Honda,Civic,dark-blue,1
634,Ford,Mustang,silver,0
635,Ford,Fiesta,white,0
636,Chevy,Camaro,silver,0
637,Chevy,Malibu,silver,1
638,Toyota,Prius,blue,0
639,Nissan,Sentra,silver,0
640,Honda,Fit,white,0
641,Chevy,Camaro,red,1
642,Chevy,Cruze,dark-blue,0
643,Honda,Odyssey,white,0
644,Chevy,Impala,black,0
645,Chevy,Impala,black,0
646,Toyota,Corolla,blue,0
647,Ford,Escape,black,1
648,Ford,Escape,white,0
649,Ford,Escape,white,0
650,Toyota,RAV4,black,0
651,Ford,Fiesta,red,0
652,Chevy,Cruze,dark-blue,0
653,Toyota,Yaris,silver,0
654,Chevy,Malibu,white,0
655,Honda,Civic,black,0
656,Toyota,Camry,silver,1
657,Nissan,Maxima,silver,0
658,Ford,Fiesta,silver,0
659,Nissan,Maxima,dark-blue,0
660,Honda,Fit,blue,0
661,Honda,Fit,blue,0
662,Ford,Focus,dark-blue,0
663,Chevy,Camaro,red,1
664,Ford,Focus,black,1
665,Chevy,Camaro,blue,0
666,Ford,Escape,red,0
667,Chevy,Camaro,white,1
668,Chevy,Cruze,blue,0
669,Chevy,Impala,silver,0
670,Honda,Fit,red,0
671,Honda,Fit,red,0
672,Ford,Focus,red,0
673,Honda,Odyssey,red,0
674,Ford,Fiesta,red,1
675,Toyota,RAV4,blue,0
676,Chevy,Sonic,black,0
677,Honda,CR-V,red,0
678,Chevy,Sonic,black,0
679,Chevy,Camaro,dark-blue,0
680,Nissan,Versa,silver,0
681,Honda,Odyssey,white,0
682,Ford,Focus,red,1
683,Chevy,Impala,silver,1
684,Ford,Fiesta,blue,0
685,Chevy,Camaro,dark-blue,0
686,Chevy,Malibu,red,0
687,Toyota,Yaris,blue,0
688,Ford,Escape,silver,0
689,Nissan,Versa,blue,0
690,Chevy,Impala,dark-blue,0
691,Chevy,Impala,red,0
692,Honda,Odyssey,black,0
693,Ford,Explorer,white,1
694,Honda,Odyssey,white,0
695,Chevy,Cruze,dark-blue,0
696,Chevy,Cruze,silver,0
697,Nissan,Juke,silver,0
698,Nissan,Pathfinder,white,0
699,Ford,Explorer,blue,0
700,Nissan,Juke,silver,0
701,Ford,Focus,red,1
702,Nissan,Altima,white,0
703,Honda,Odyssey,blue,0
704,Chevy,Cruze,silver,0
705,Ford,Fiesta,blue,0
706,Nissan,Versa,blue,0
707,Ford,Explorer,blue,0
708,Ford,Fiesta,red,0
709,Chevy,Impala,red,0
710,Nissan,Sentra,black,0
711,Toyota,4Runner,black,0
712,Honda,CR-V,red,0
713,Chevy,Cruze,black,0
714,Ford,Escape,dark-blue,0
715,Ford,Explorer,white,0
716,Toyota,Camry,white,0
717,Ford,Fiesta,silver,1
718,Honda,Odyssey,red,0
719,Nissan,Maxima,dark-blue,0
720,Toyota,Prius,silver,0
721,Ford,Focus,blue,0
722,Nissan,Sentra,silver,0
723,Nissan,Altima,blue,0
724,Honda,Fit,silver,0
725,Honda,CR-V,blue,0
726,Chevy,Camaro,black,0
727,Nissan,Altima,white,0
728,Honda,Fit,dark-blue,0
729,Chevy,Cruze,red,0
730,Honda,Civic,silver,0
731,Ford,Escape,black,1
732,Chevy,Impala,dark-blue,0
733,Toyota,RAV4,blue,0
734,Toyota,Prius,white,0
735,Chevy,Cruze,dark-blue,0
736,Toyota,Corolla,silver,0
737,Nissan,Juke,white,1
738,Honda,Accord,dark-blue,0
739,Honda,Civic,silver,1
740,Ford,Explorer,white,0
741,Toyota,Camry,red,0
742,Nissan,Juke,white,0
743,Chevy,Cruze,dark-blue,0
744,Ford,Escape,dark-blue,0
745,Toyota,Yaris,white,0
746,Honda,Civic,blue,1
747,Honda,Fit,white,1
748,Ford,Fiesta,black,0
749,Nissan,Altima,red,1
750,Honda,Accord,red,0
751,Nissan,Versa,dark-blue,1
752,Nissan,Altima,silver,0
753,Chevy,Cruze,black,1
754,Ford,Escape,blue,0
755,Honda,Fit,silver,1
756,Toyota,4Runner,white,0
757,Nissan,Sentra,blue,0
758,Chevy,Sonic,silver,0
759,Honda,Odyssey,black,1
760,Toyota,RAV4,silver,1
761,Ford,Escape,silver,0
762,Honda,Fit,blue,0
763,Honda,Civic,black,0
764,Honda,Civic,blue,1
765,Ford,Focus,black,0
766,Chevy,Malibu,black,0
767,Toyota,RAV4,red,1
768,Honda,Civic,silver,0
769,Honda,Civic,red,0
770,Nissan,Maxima,black,0
771,Ford,Explorer,silver,1
772,Ford,Fiesta,silver,1
773,Toyota,Yaris,red,0
774,Chevy,Sonic,silver,0
775,Honda,Accord,blue,0
776,Honda,Odyssey,dark-blue,0
777,Nissan,Sentra,blue,0
778,Toyota,RAV4,blue,0
779,Honda,CR-V,black,1
780,Nissan,Versa,red,0
781,Nissan,Versa,blue,0
782,Toyota,4Runner,blue,1
783,Honda,Fit,red,0
784,Honda,Accord,black,0
785,Nissan,Versa,white,0
786,Chevy,Camaro,black,0
787,Nissan,Versa,dark-blue,1
788,Nissan,Versa,white,1
789,Toyota,4Runner,black,1
790,Honda,Civic,blue,0
791,Honda,Fit,black,0
792,Ford,Escape,white,1
793,Toyota,Camry,black,0
794,Honda,Accord,red,0
795,Honda,CR-V,blue,0
796,Ford,Mustang,blue,0
797,Nissan,Sentra,blue,0
798,Nissan,Altima,white,0
799,Nissan,Versa,blue,0
800,Ford,Explorer,white,0
801,Honda,Odyssey,white,0
802,Nissan,Pathfinder,red,1
803,Honda,CR-V,black,1
804,Nissan,Pathfinder,red,0
805,Chevy,Cruze,white,0
806,Honda,Civic,dark-blue,0
807,Toyota,Yaris,silver,1
808,Honda,Accord,red,0
809,Ford,Escape,white,0
810,Honda,Civic,black,0
811,Nissan,Sentra,black,0
812,Nissan,Versa,silver,1
813,Ford,Escape,black,0
814,Ford,Mustang,red,1
815,Nissan,Juke,blue,1
816,Ford,Focus,black,0
817,Nissan,Altima,red,0
818,Nissan,Juke,dark-blue,0
819,Toyota,Yaris,white,0
820,Chevy,Camaro,red,0
821,Ford,Fiesta,white,0
822,Ford,Focus,white,0
823,Toyota,Camry,white,0
824,Honda,Civic,blue,1
825,Chevy,Camaro,red,0
826,Chevy,Impala,blue,0
827,Chevy,Malibu,white,0
828,Nissan,Sentra,black,0
829,Honda,Civic,blue,0
830,Toyota,Corolla,black,0
831,Honda,Accord,blue,1
832,Nissan,Versa,dark-blue,0
833,Ford,Explorer,white,0
834,Toyota,4Runner,red,0
835,Nissan,Sentra,black,1
836,Chevy,Camaro,white,0
837,Toyota,Prius,white,0
838,Honda,Accord,white,1
839,Honda,Odyssey,dark-blue,0
840,Nissan,Sentra,blue,1
841,Nissan,Versa,red,0
842,Chevy,Impala,blue,1
843,Chevy,Sonic,silver,0
844,Nissan,Pathfinder,black,0
845,Ford,Mustang,dark-blue,0
846,Toyota,RAV4,blue,0
847,Chevy,Malibu,dark-blue,0
848,Honda,Accord,silver,0
849,Nissan,Altima,dark-blue,1
850,Ford,Fiesta,black,0
851,Ford,Fiesta,dark-blue,0
852,Chevy,Impala,white,1
853,Ford,Escape,blue,1
854,Toyota,Camry,black,0
855,Nissan,Sentra,dark-blue,1
856,Toyota,Prius,dark-blue,0
857,Toyota,Camry,silver,0
858,Honda,Civic,dark-blue,0
859,Honda,Fit,blue,0
860,Toyota,Corolla,black,0
