id,travel-dest,spend
396,CHINA,33
397,THAILAND,50
398,SPAIN,59
399,CANADA,73
400,CHINA,62
401,UK,21
402,NONE,536
403,SOUTH KOREA,39
404,ITALY,62
405,TURKEY,97
406,NONE,903
407,CHINA,83
408,ITALY,76
409,SOUTH KOREA,39
410,TURKEY,62
411,THAILAND,26
412,CHILE,34
413,MEXICO,89
414,CANADA,96
415,ITALY,65
416,SOUTH KOREA,88
417,SOUTH KOREA,51
418,CHILE,37
419,CHINA,31
420,CANADA,60
421,THAILAND,88
422,THAILAND,83
423,SOUTH KOREA,74
424,ITALY,46
425,NONE,634
426,ITALY,96
427,ITALY,41
428,CANADA,32
429,MEXICO,89
430,UK,95
431,MEXICO,65
432,US,63
433,SOUTH KOREA,20
434,THAILAND,77
435,SOUTH KOREA,59
436,CANADA,23
437,TURKEY,51
438,CANADA,74
439,THAILAND,58
440,CANADA,66
441,TURKEY,72
442,US,73
443,ITALY,71
444,UK,74
445,SPAIN,51
446,TURKEY,86
447,SOUTH KOREA,85
448,CHILE,36
449,SPAIN,39
450,MEXICO,90
451,SOUTH KOREA,90
452,CHILE,30
453,THAILAND,39
454,SOUTH KOREA,28
455,THAILAND,49
456,CANADA,75
457,TURKEY,96
458,CHINA,39
459,SOUTH KOREA,86
460,CHINA,44
461,NONE,749
462,UK,22
463,TURKEY,55
464,THAILAND,34
465,CANADA,67
466,CANADA,69
467,SPAIN,72
468,SOUTH KOREA,47
469,UK,54
470,CANADA,35
471,NONE,411
472,CHINA,27
473,NONE,440
474,THAILAND,61
475,CHILE,78
476,US,43
477,MEXICO,71
478,THAILAND,36
479,US,61
480,US,54
481,MEXICO,60
482,NONE,993
483,CHILE,41
484,UK,91
485,CANADA,59
486,CHINA,28
487,TURKEY,26
488,ITALY,91
489,UK,57
490,NONE,201
491,UK,37
492,ITALY,44
493,CHINA,72
494,UK,60
495,NONE,951
496,CHINA,60
497,NONE,501
498,NONE,219
499,MEXICO,72
500,THAILAND,61
501,US,66
502,TURKEY,52
503,SOUTH KOREA,50
504,SOUTH KOREA,37
505,SOUTH KOREA,27
506,THAILAND,93
507,US,30
508,CHILE,83
509,SOUTH KOREA,64
510,THAILAND,95
511,ITALY,79
512,NONE,903
513,UK,57
514,TURKEY,98
515,CANADA,48
516,SPAIN,26
517,CHILE,75
518,CANADA,100
519,THAILAND,21
520,UK,65
521,NONE,123
522,US,91
523,NONE,802
524,CHILE,73
525,SOUTH KOREA,73
526,CANADA,48
527,CHILE,52
528,ITALY,29
529,MEXICO,83
530,THAILAND,49
531,UK,63
532,SPAIN,55
533,UK,61
534,TURKEY,95
535,CHINA,22
536,SPAIN,74
537,CHILE,80
538,CHINA,79
539,CHILE,52
540,SPAIN,40
541,US,60
542,MEXICO,95
543,CHINA,99
544,CHILE,52
545,THAILAND,86
546,THAILAND,21
547,CHINA,50
548,CHINA,86
549,ITALY,67
550,THAILAND,66
551,SOUTH KOREA,56
552,UK,24
553,TURKEY,97
554,NONE,521
555,THAILAND,91
556,CHINA,93
557,SPAIN,28
558,SPAIN,93
559,UK,33
560,US,62
561,ITALY,42
562,US,39
563,CANADA,37
564,UK,39
565,MEXICO,77
566,CHILE,46
567,MEXICO,46
568,CHINA,25
569,NONE,173
570,UK,95
571,THAILAND,73
572,US,34
573,SOUTH KOREA,91
574,UK,44
575,CHINA,28
576,CANADA,68
577,UK,37
578,CHILE,68
579,SPAIN,97
580,CHINA,35
581,MEXICO,68
582,SPAIN,46
583,TURKEY,68
584,US,79
585,THAILAND,74
586,US,32
587,SOUTH KOREA,35
588,NONE,811
589,TURKEY,54
590,US,53
591,SOUTH KOREA,50
592,TURKEY,56
593,UK,54
594,US,36
595,ITALY,72
596,THAILAND,50
597,CHILE,89
598,CHILE,29
599,TURKEY,96
600,CANADA,78
601,UK,37
602,MEXICO,70
603,CHINA,84
604,CANADA,35
605,CHILE,35
606,NONE,499
607,SOUTH KOREA,29
608,SPAIN,64
609,CANADA,40
610,ITALY,47
611,TURKEY,80
612,SOUTH KOREA,98
613,NONE,617
614,TURKEY,79
615,CHILE,59
616,CANADA,86
617,SPAIN,77
618,SPAIN,27
619,NONE,258
620,TURKEY,73
621,CHINA,39
622,TURKEY,49
623,CANADA,95
624,TURKEY,42
625,CHINA,100
626,TURKEY,83
627,ITALY,71
628,MEXICO,57
629,THAILAND,80
630,CHILE,26
631,CANADA,23
632,CHINA,72
633,SOUTH KOREA,69
634,MEXICO,66
635,NONE,636
636,SOUTH KOREA,37
637,CANADA,46
638,US,74
639,THAILAND,21
640,CHILE,50
641,CHILE,44
642,CHILE,46
643,NONE,165
644,CANADA,23
645,NONE,910
646,CHINA,96
647,TURKEY,98
648,MEXICO,30
649,US,97
650,TURKEY,69
651,CHINA,32
652,TURKEY,99
653,UK,29
654,US,76
655,MEXICO,59
656,SOUTH KOREA,71
657,ITALY,36
658,TURKEY,95
659,SPAIN,61
660,MEXICO,29
661,CHINA,81
662,US,86
663,CHINA,96
664,CHILE,20
665,MEXICO,31
666,CANADA,40
667,TURKEY,41
668,CHILE,57
669,TURKEY,35
670,SOUTH KOREA,70
671,TURKEY,69
672,NONE,303
673,SPAIN,33
674,ITALY,56
675,US,76
676,MEXICO,73
677,MEXICO,57
678,SOUTH KOREA,100
679,US,46
680,NONE,150
681,NONE,184
682,US,23
683,CHINA,96
684,NONE,633
685,UK,59
686,NONE,682
687,UK,87
688,THAILAND,42
689,CANADA,41
690,US,20
691,NONE,387
692,TURKEY,94
693,THAILAND,56
694,NONE,940
695,MEXICO,64
696,CHILE,76
697,SOUTH KOREA,21
698,ITALY,75
699,UK,64
700,UK,68
701,US,53
702,ITALY,54
703,UK,88
704,NONE,467
705,SPAIN,96
706,MEXICO,91
707,CHILE,94
708,CANADA,21
709,UK,35
710,US,98
711,CHILE,64
712,SOUTH KOREA,77
713,NONE,835
714,CHILE,30
715,ITALY,31
716,US,23
717,SOUTH KOREA,23
718,ITALY,93
719,CANADA,51
720,THAILAND,89
721,NONE,477
722,SOUTH KOREA,61
723,CANADA,69
724,ITALY,42
725,TURKEY,65
726,ITALY,50
727,UK,52
728,CHILE,96
729,TURKEY,36
730,US,100
731,CANADA,83
732,UK,27
733,CHINA,46
734,THAILAND,21
735,CHILE,88
736,NONE,131
737,ITALY,77
738,SPAIN,21
739,SOUTH KOREA,45
740,CHILE,42
741,US,88
742,UK,75
743,SPAIN,100
744,THAILAND,77
745,UK,76
746,THAILAND,97
747,MEXICO,28
748,TURKEY,21
749,UK,56
750,CHILE,56
751,THAILAND,60
752,MEXICO,74
753,CHILE,73
754,CHINA,57
755,SOUTH KOREA,99
756,UK,26
757,NONE,836
758,THAILAND,80
759,NONE,778
760,TURKEY,99
761,NONE,769
762,MEXICO,24
763,US,62
764,TURKEY,46
765,CHILE,80
766,ITALY,57
767,US,71
768,SOUTH KOREA,31
769,UK,24
770,CHINA,78
771,TURKEY,37
772,TURKEY,65
773,NONE,612
774,SPAIN,75
775,ITALY,91
776,NONE,91
777,NONE,96
778,MEXICO,59
779,CANADA,33
780,SPAIN,90
781,CANADA,52
782,MEXICO,26
783,NONE,115
784,UK,49
785,TURKEY,28
786,ITALY,71
787,CANADA,37
788,SOUTH KOREA,35
789,SPAIN,42
790,MEXICO,69
791,CHILE,61
792,TURKEY,93
793,ITALY,79
794,UK,51
795,UK,71
796,SOUTH KOREA,62
797,CANADA,98
798,CHILE,99
799,MEXICO,49
800,CHINA,38
801,MEXICO,28
802,CHILE,44
803,MEXICO,78
804,SPAIN,46
805,NONE,448
806,US,32
807,SOUTH KOREA,72
808,TURKEY,97
809,NONE,198
810,US,49
811,SOUTH KOREA,66
812,SPAIN,64
813,CANADA,90
814,MEXICO,22
815,CANADA,90
816,TURKEY,31
817,SPAIN,30
818,TURKEY,73
819,US,88
820,SPAIN,55
821,US,74
822,THAILAND,58
823,CANADA,96
824,SPAIN,92
825,MEXICO,92
826,UK,98
827,US,27
828,CANADA,46
829,THAILAND,34
830,NONE,180
831,SPAIN,79
832,NONE,414
833,MEXICO,93
834,TURKEY,87
835,UK,75
836,SOUTH KOREA,100
837,US,43
838,ITALY,60
839,CANADA,85
840,CHILE,20
841,SOUTH KOREA,21
842,NONE,821
843,UK,51
844,NONE,714
845,CHINA,69
846,TURKEY,25
847,TURKEY,48
848,SPAIN,60
849,US,73
850,TURKEY,32
851,MEXICO,43
852,ITALY,76
853,US,27
854,THAILAND,34
855,CHINA,74
856,CHINA,63
857,MEXICO,42
858,SPAIN,24
859,TURKEY,89
860,MEXICO,47
861,THAILAND,82
862,CANADA,28
863,SOUTH KOREA,90
864,SOUTH KOREA,54
865,US,29
866,ITALY,84
867,SOUTH KOREA,75
868,NONE,409
869,ITALY,61
870,MEXICO,50
871,THAILAND,96
872,CHINA,41
873,US,40
874,CANADA,91
875,TURKEY,25
876,THAILAND,89
877,TURKEY,68
878,CANADA,93
879,NONE,171
880,SOUTH KOREA,65
881,CHINA,29
882,UK,45
883,ITALY,27
884,CHILE,84
885,NONE,204
886,US,81
887,CANADA,80
888,MEXICO,63
889,CANADA,75
890,CHINA,38
891,SPAIN,34
892,TURKEY,95
893,CANADA,62
894,THAILAND,28
895,ITALY,41
896,ITALY,46
897,CHINA,79
898,THAILAND,55
899,TURKEY,65
900,UK,43
901,CHILE,70
902,ITALY,41
903,CHINA,44
904,THAILAND,46
905,NONE,212
906,SPAIN,51
907,TURKEY,66
908,ITALY,50
909,CHILE,43
910,ITALY,69
911,SOUTH KOREA,90
912,NONE,230
913,CHILE,99
914,SOUTH KOREA,66
915,SPAIN,72
916,SOUTH KOREA,76
917,NONE,742
918,CANADA,58
919,US,20
920,CHILE,89
921,CANADA,79
922,US,49
923,ITALY,80
924,CHINA,50
925,TURKEY,20
926,US,67
927,UK,83
928,SPAIN,60
929,CHINA,85
930,NONE,728
931,TURKEY,42
932,CHINA,80
933,CHILE,35
934,NONE,653
935,SOUTH KOREA,89
936,CHINA,81
937,US,27
938,TURKEY,47
939,SOUTH KOREA,53
940,ITALY,69
941,CANADA,84
942,MEXICO,22
943,CANADA,66
944,CANADA,58
945,NONE,743
946,US,48
947,CHILE,86
948,UK,63
949,SOUTH KOREA,22
950,CHINA,88
951,UK,21
952,THAILAND,20
953,US,61
954,US,82
955,SPAIN,100
956,US,24
957,TURKEY,65
958,THAILAND,63
959,TURKEY,87
960,US,67
961,NONE,909
962,UK,64
963,THAILAND,68
964,US,33
965,CHINA,27
966,SOUTH KOREA,79
967,MEXICO,42
968,ITALY,22
969,CHILE,39
970,SPAIN,61
971,THAILAND,29
972,NONE,103
973,NONE,870
974,CANADA,44
975,SOUTH KOREA,44
976,SOUTH KOREA,27
977,SOUTH KOREA,66
978,THAILAND,61
979,THAILAND,53
980,CANADA,88
981,SOUTH KOREA,72
982,CANADA,68
983,THAILAND,54
984,CHILE,68
985,UK,43
986,NONE,673
987,ITALY,79
988,CHILE,62
989,UK,65
990,NONE,905
991,MEXICO,94
992,NONE,369
993,SPAIN,52
994,SPAIN,52
995,NONE,680
996,CANADA,57
997,US,26
998,UK,87
999,THAILAND,89
1000,CANADA,76
1001,UK,20
1002,SPAIN,95
1003,ITALY,78
1004,MEXICO,95
1005,CHINA,86
1006,ITALY,41
1007,NONE,257
1008,MEXICO,29
1009,TURKEY,38
1010,NONE,435
1011,CANADA,25
1012,SPAIN,65
1013,UK,37
1014,MEXICO,32
1015,SOUTH KOREA,94
1016,CHINA,35
1017,MEXICO,97
1018,TURKEY,44
1019,THAILAND,76
1020,CHINA,87
1021,NONE,176
1022,CANADA,85
1023,NONE,615
1024,UK,38
1025,CANADA,98
1026,SPAIN,93
1027,SOUTH KOREA,60
1028,CHILE,39
1029,SOUTH KOREA,63
1030,NONE,420
1031,UK,99
1032,TURKEY,63
1033,SPAIN,86
1034,SPAIN,88
1035,MEXICO,97
1036,CANADA,85
1037,MEXICO,92
1038,ITALY,25
1039,SOUTH KOREA,46
1040,TURKEY,100
1041,SPAIN,78
1042,SPAIN,86
1043,TURKEY,64
1044,TURKEY,22
1045,SPAIN,100
1046,CHILE,58
1047,CHINA,60
1048,CHINA,33
1049,CHILE,87
1050,THAILAND,50
1051,ITALY,55
1052,CHINA,47
1053,CHINA,65
1054,CHILE,41
1055,NONE,211
1056,CHILE,60
1057,CANADA,44
1058,MEXICO,94
1059,MEXICO,78
1060,MEXICO,67
1061,NONE,372
1062,THAILAND,83
1063,SOUTH KOREA,54
1064,SOUTH KOREA,56
1065,CANADA,35
1066,TURKEY,56
1067,SPAIN,95
1068,MEXICO,88
1069,SOUTH KOREA,26
1070,CANADA,78
1071,SPAIN,83
1072,TURKEY,24
1073,US,48
1074,US,94
1075,MEXICO,56
1076,CHINA,98
1077,TURKEY,95
1078,UK,40
1079,TURKEY,61
1080,UK,60
1081,MEXICO,86
1082,TURKEY,59
1083,CHILE,41
1084,NONE,245
1085,SPAIN,65
1086,CHILE,61
1087,SOUTH KOREA,49
1088,ITALY,55
1089,CANADA,59
1090,SOUTH KOREA,57
1091,US,72
1092,SOUTH KOREA,33
1093,US,26
1094,TURKEY,28
1095,TURKEY,95
1096,SPAIN,42
1097,UK,88
1098,US,69
1099,NONE,667
1100,THAILAND,53
1101,THAILAND,32
1102,SOUTH KOREA,54
1103,ITALY,62
1104,ITALY,98
1105,ITALY,60
1106,SPAIN,55
1107,TURKEY,80
1108,THAILAND,74
1109,CHINA,63
1110,NONE,810
1111,SOUTH KOREA,55
1112,NONE,90
1113,SPAIN,48
1114,THAILAND,61
1115,ITALY,84
1116,CANADA,49
1117,CANADA,91
1118,ITALY,20
1119,CANADA,89
1120,CHINA,62
1121,TURKEY,31
1122,CANADA,74
1123,TURKEY,97
1124,NONE,724
1125,US,63
1126,CHINA,23
1127,TURKEY,74
1128,CANADA,83
1129,ITALY,61
1130,MEXICO,26
1131,CANADA,26
1132,NONE,437
1133,MEXICO,88
1134,CHINA,94
1135,SPAIN,42
1136,UK,73
1137,CANADA,32
1138,MEXICO,55
1139,SPAIN,98
1140,NONE,999
1141,CANADA,68
1142,SOUTH KOREA,74
1143,CHINA,77
1144,THAILAND,57
1145,SOUTH KOREA,63
1146,SOUTH KOREA,93
1147,UK,40
1148,SOUTH KOREA,36
1149,TURKEY,37
1150,SPAIN,68
1151,ITALY,26
1152,MEXICO,78
1153,CANADA,83
1154,CHILE,21
1155,CANADA,30
1156,TURKEY,82
1157,ITALY,71
1158,ITALY,97
1159,TURKEY,76
1160,UK,100
1161,CHINA,55
1162,SPAIN,78
1163,CHILE,86
1164,UK,74
1165,TURKEY,37
1166,SPAIN,28
1167,SOUTH KOREA,21
1168,TURKEY,82
1169,CANADA,68
1170,SPAIN,76
1171,CANADA,56
1172,CHILE,93
1173,ITALY,32
1174,MEXICO,49
1175,US,88
1176,CANADA,29
1177,UK,70
1178,CHINA,82
1179,SOUTH KOREA,79
1180,ITALY,82
1181,UK,55
1182,CANADA,49
1183,SOUTH KOREA,42
1184,ITALY,70
1185,NONE,972
1186,MEXICO,85
1187,SPAIN,53
1188,UK,75
1189,CANADA,41
1190,SOUTH KOREA,42
1191,TURKEY,54
1192,CANADA,39
1193,ITALY,81
1194,THAILAND,47
1195,UK,58
1196,CANADA,47
1197,TURKEY,94
1198,SOUTH KOREA,67
1199,SOUTH KOREA,62
1200,NONE,80
1201,NONE,93
1202,CANADA,48
1203,CHILE,27
1204,TURKEY,44
1205,NONE,133
1206,CANADA,87
1207,ITALY,66
1208,SPAIN,78
1209,CANADA,78
1210,ITALY,89
1211,US,41
1212,UK,21
1213,NONE,714
1214,CHINA,78
1215,CHILE,99
1216,SPAIN,49
1217,SPAIN,70
1218,THAILAND,65
1219,NONE,626
1220,CANADA,91
1221,UK,62
1222,CANADA,95
1223,SPAIN,26
1224,UK,90
1225,SPAIN,61
1226,THAILAND,55
1227,THAILAND,66
1228,CANADA,73
1229,CHINA,27
1230,SPAIN,20
1231,MEXICO,88
1232,ITALY,47
1233,US,28
1234,ITALY,83
1235,SPAIN,26
1236,CANADA,37
1237,CHINA,71
1238,UK,61
1239,MEXICO,94
1240,THAILAND,51
1241,ITALY,98
1242,THAILAND,75
1243,NONE,977
1244,CANADA,42
1245,SOUTH KOREA,68
1246,ITALY,59
1247,US,28
1248,SPAIN,30
1249,US,99
1250,THAILAND,94
1251,US,90
1252,CHILE,98
1253,SOUTH KOREA,41
1254,TURKEY,95
1255,SPAIN,86
1256,THAILAND,25
1257,MEXICO,54
1258,ITALY,43
1259,US,94
1260,ITALY,91
1261,ITALY,86
1262,TURKEY,88
1263,NONE,491
1264,US,56
1265,CHINA,65
1266,CHINA,43
1267,THAILAND,59
1268,CANADA,98
1269,NONE,713
1270,SOUTH KOREA,86
1271,MEXICO,21
1272,MEXICO,31
1273,CANADA,30
1274,SOUTH KOREA,96
1275,UK,44
1276,CHILE,52
1277,CHILE,34
1278,SOUTH KOREA,27
1279,CHINA,71
1280,US,26
1281,SOUTH KOREA,58
1282,SOUTH KOREA,30
1283,UK,75
1284,NONE,562
1285,SOUTH KOREA,49
1286,CHILE,39
1287,CHILE,23
1288,TURKEY,62
1289,CHINA,98
1290,NONE,645
1291,UK,86
1292,SPAIN,25
1293,CHINA,100
1294,ITALY,22
1295,TURKEY,29
1296,SPAIN,45
1297,THAILAND,77
1298,SOUTH KOREA,91
1299,UK,82
1300,SPAIN,97
1301,TURKEY,43
1302,NONE,829
1303,NONE,202
1304,SOUTH KOREA,88
1305,CHILE,50
1306,THAILAND,22
1307,CANADA,79
1308,SPAIN,83
1309,THAILAND,46
1310,UK,25
1311,CHILE,24
1312,SPAIN,33
1313,SOUTH KOREA,80
1314,CANADA,50
1315,NONE,219
1316,CHILE,41
1317,SOUTH KOREA,69
1318,UK,31
1319,UK,26
1320,SOUTH KOREA,87
1321,UK,67
1322,CANADA,78
1323,CHILE,66
1324,SOUTH KOREA,81
1325,TURKEY,96
1326,MEXICO,74
1327,MEXICO,93
1328,MEXICO,86
1329,SOUTH KOREA,48
1330,CHINA,27
1331,THAILAND,44
1332,CANADA,30
1333,NONE,294
1334,SPAIN,46
1335,TURKEY,93
1336,SOUTH KOREA,74
1337,SOUTH KOREA,22
1338,US,83
1339,US,33
1340,CANADA,53
1341,THAILAND,58
1342,NONE,101
1343,UK,55
1344,SPAIN,62
1345,US,70
1346,US,24
1347,SOUTH KOREA,59
1348,CHILE,60
1349,SPAIN,66
1350,CHINA,100
1351,SPAIN,65
1352,SPAIN,65
1353,THAILAND,20
1354,NONE,841
1355,SPAIN,28
1356,SOUTH KOREA,71
1357,TURKEY,73
1358,TURKEY,44
1359,SPAIN,71
1360,CANADA,43
1361,THAILAND,75
1362,ITALY,47
1363,US,25
1364,SPAIN,20
1365,NONE,343
1366,ITALY,62
1367,ITALY,44
1368,US,37
1369,SOUTH KOREA,84
1370,SOUTH KOREA,62
1371,CHINA,89
1372,UK,48
1373,MEXICO,53
1374,NONE,561
1375,SOUTH KOREA,62
1376,TURKEY,24
1377,CHINA,76
1378,THAILAND,86
1379,MEXICO,33
1380,TURKEY,78
1381,ITALY,55
1382,MEXICO,31
1383,ITALY,43
1384,CHILE,89
1385,SOUTH KOREA,53
1386,CANADA,33
1387,TURKEY,85
1388,NONE,741
1389,MEXICO,46
1390,THAILAND,42
1391,TURKEY,91
1392,UK,51
1393,SOUTH KOREA,22
1394,SPAIN,88
1395,US,62
1396,THAILAND,64
1397,TURKEY,83
1398,CANADA,34
1399,CANADA,54
1400,UK,85
1401,MEXICO,59
1402,MEXICO,77
1403,CANADA,41
1404,ITALY,26
1405,UK,61
1406,ITALY,71
1407,US,52
1408,US,91
1409,NONE,255
1410,US,62
1411,TURKEY,100
1412,CHILE,36
1413,US,68
1414,SOUTH KOREA,65
1415,NONE,637
1416,SPAIN,35
1417,TURKEY,90
1418,CHINA,33
1419,CANADA,72
1420,THAILAND,54
1421,SOUTH KOREA,25
1422,NONE,65
1423,TURKEY,60
1424,CANADA,67
1425,ITALY,36
1426,NONE,331
1427,CHILE,59
1428,CANADA,38
1429,US,76
1430,NONE,633
1431,CHILE,59
1432,ITALY,84
1433,ITALY,83
1434,CHINA,100
1435,CHINA,54
1436,ITALY,51
1437,SOUTH KOREA,44
1438,CANADA,25
1439,NONE,888
1440,CANADA,30
1441,ITALY,21
1442,THAILAND,59
1443,CANADA,41
1444,CANADA,64
1445,SPAIN,51
1446,UK,86
1447,CHINA,34
1448,CANADA,78
1449,CANADA,89
1450,ITALY,71
