id,setting
1220,walking
1221,driving
1222,driving
1223,driving
1224,walking
1225,shopping
1226,driving
1227,before sleep
1228,waiting for bus
1229,shopping
1230,studying
1231,shopping
1232,walking
1233,before sleep
1234,working
1235,walking
1236,before sleep
1237,waiting for bus
1238,driving
1239,walking
1240,walking
1241,driving
1242,dining
1243,driving
1244,walking
1245,driving
1246,walking
1247,driving
1248,dining
1249,dining
1250,working
1251,dining
1252,watching TV
1253,walking
1254,watching TV
1255,before sleep
1256,working
1257,driving
1258,watching TV
1259,driving
1260,walking
1261,driving
1262,driving
1263,dining
1264,walking
1265,before sleep
1266,walking
1267,walking
1268,walking
1269,shopping
1270,waiting for bus
1271,working
1272,dining
1273,dining
1274,dining
1275,driving
1276,before sleep
1277,studying
1278,driving
1279,studying
1280,walking
1281,studying
1282,walking
1283,waiting for bus
1284,working
1285,dining
1286,studying
1287,driving
1288,before sleep
1289,walking
1290,walking
1291,waiting for bus
1292,watching TV
1293,walking
1294,driving
1295,working
1296,driving
1297,before sleep
1298,walking
1299,driving
1300,working
1301,driving
1302,waiting for bus
1303,shopping
1304,dining
1305,waiting for bus
1306,dining
1307,waiting for bus
1308,before sleep
1309,walking
1310,shopping
1311,waiting for bus
1312,walking
1313,driving
1314,dining
1315,waiting for bus
1316,watching TV
1317,before sleep
1318,shopping
1319,waiting for bus
1320,studying
1321,waiting for bus
1322,walking
1323,walking
1324,dining
1325,watching TV
1326,working
1327,dining
1328,driving
1329,studying
1330,shopping
1331,driving
1332,driving
1333,shopping
1334,working
1335,working
1336,shopping
1337,shopping
1338,driving
1339,watching TV
1340,before sleep
1341,walking
1342,studying
1343,driving
1344,driving
1345,driving
1346,before sleep
1347,dining
1348,driving
1349,driving
1350,walking
1351,watching TV
1352,walking
1353,driving
1354,working
1355,waiting for bus
1356,dining
1357,shopping
1358,waiting for bus
1359,waiting for bus
1360,walking
1361,driving
1362,waiting for bus
1363,waiting for bus
1364,driving
1365,working
1366,working
1367,watching TV
1368,walking
1369,driving
1370,waiting for bus
1371,dining
1372,working
1373,dining
1374,watching TV
1375,driving
1376,walking
1377,driving
1378,driving
1379,working
1380,shopping
1381,driving
1382,dining
1383,walking
1384,walking
1385,driving
1386,shopping
1387,dining
1388,shopping
1389,dining
1390,watching TV
1391,before sleep
1392,waiting for bus
1393,before sleep
1394,walking
1395,walking
1396,walking
1397,before sleep
1398,before sleep
1399,waiting for bus
1400,shopping
1401,before sleep
1402,working
1403,walking
1404,driving
1405,waiting for bus
1406,shopping
1407,driving
1408,studying
1409,waiting for bus
1410,studying
1411,shopping
1412,driving
1413,walking
1414,waiting for bus
1415,shopping
1416,dining
1417,dining
1418,walking
1419,working
1420,studying
1421,walking
1422,working
1423,driving
1424,driving
1425,dining
1426,watching TV
1427,walking
1428,driving
1429,driving
1430,shopping
1431,watching TV
1432,working
1433,watching TV
1434,working
1435,walking
1436,watching TV
1437,walking
1438,studying
1439,walking
1440,before sleep
1441,waiting for bus
1442,dining
1443,walking
1444,shopping
1445,before sleep
1446,dining
1447,studying
1448,driving
1449,dining
1450,waiting for bus
1451,before sleep
1452,shopping
1453,shopping
1454,waiting for bus
1455,studying
1456,working
1457,walking
1458,driving
1459,waiting for bus
1460,working
1461,before sleep
1462,studying
1463,walking
1464,driving
1465,before sleep
1466,working
1467,studying
1468,studying
1469,walking
1470,before sleep
1471,driving
1472,watching TV
1473,studying
1474,driving
1475,working
1476,driving
1477,before sleep
1478,working
1479,walking
1480,walking
1481,waiting for bus
1482,watching TV
1483,watching TV
1484,walking
1485,walking
1486,working
1487,driving
1488,studying
1489,walking
1490,watching TV
1491,before sleep
1492,walking
1493,walking
1494,shopping
1495,shopping
1496,studying
1497,studying
1498,waiting for bus
1499,waiting for bus
1500,dining
1501,studying
1502,studying
1503,working
1504,walking
1505,dining
1506,driving
1507,walking
1508,before sleep
1509,driving
1510,waiting for bus
1511,working
1512,walking
1513,driving
1514,waiting for bus
1515,shopping
1516,shopping
1517,before sleep
1518,watching TV
1519,driving
1520,shopping
1521,driving
1522,walking
1523,watching TV
1524,walking
1525,watching TV
1526,waiting for bus
1527,studying
1528,walking
1529,shopping
1530,shopping
1531,watching TV
1532,waiting for bus
1533,watching TV
1534,walking
1535,driving
1536,watching TV
1537,walking
1538,before sleep
1539,walking
1540,studying
1541,driving
1542,dining
1543,dining
1544,studying
1545,walking
1546,working
1547,before sleep
1548,watching TV
1549,shopping
1550,working
1551,waiting for bus
1552,watching TV
1553,working
1554,walking
1555,working
1556,driving
1557,driving
1558,watching TV
1559,working
1560,driving
1561,walking
1562,before sleep
1563,walking
1564,walking
1565,before sleep
1566,studying
1567,waiting for bus
1568,shopping
1569,dining
1570,dining
1571,waiting for bus
1572,dining
1573,working
1574,waiting for bus
1575,waiting for bus
1576,working
1577,working
1578,shopping
1579,working
1580,walking
1581,watching TV
1582,dining
1583,waiting for bus
1584,waiting for bus
1585,dining
1586,dining
1587,dining
1588,dining
1589,driving
1590,driving
1591,walking
1592,before sleep
1593,waiting for bus
1594,driving
1595,driving
1596,before sleep
1597,driving
1598,shopping
1599,dining
1600,watching TV
1601,driving
1602,before sleep
1603,watching TV
1604,dining
1605,driving
1606,walking
1607,before sleep
1608,studying
1609,driving
1610,waiting for bus
1611,walking
1612,dining
1613,studying
1614,working
1615,working
1616,driving
1617,walking
1618,walking
1619,walking
1620,before sleep
1621,shopping
1622,watching TV
1623,before sleep
1624,waiting for bus
1625,waiting for bus
1626,waiting for bus
1627,studying
1628,driving
1629,waiting for bus
1630,driving
1631,watching TV
1632,driving
1633,driving
1634,walking
1635,waiting for bus
1636,driving
1637,waiting for bus
1638,before sleep
1639,driving
1640,waiting for bus
1641,walking
1642,driving
1643,driving
1644,driving
1645,working
1646,driving
1647,walking
1648,shopping
1649,driving
1650,shopping
1651,driving
1652,waiting for bus
1653,walking
1654,waiting for bus
1655,walking
1656,shopping
1657,driving
1658,watching TV
1659,working
1660,walking
1661,studying
1662,shopping
1663,driving
1664,watching TV
1665,walking
1666,before sleep
1667,waiting for bus
1668,before sleep
1669,watching TV
1670,shopping
1671,studying
1672,shopping
1673,watching TV
1674,driving
1675,dining
1676,watching TV
1677,watching TV
1678,shopping
1679,walking
1680,walking
1681,waiting for bus
1682,working
1683,dining
1684,driving
1685,watching TV
1686,walking
1687,working
1688,walking
1689,before sleep
1690,before sleep
1691,studying
1692,before sleep
1693,working
1694,dining
1695,driving
1696,shopping
1697,walking
1698,waiting for bus
1699,driving
1700,before sleep
1701,watching TV
1702,dining
1703,dining
1704,dining
1705,studying
1706,watching TV
1707,before sleep
1708,waiting for bus
1709,walking
1710,shopping
1711,walking
1712,walking
1713,dining
1714,watching TV
1715,shopping
1716,studying
1717,driving
1718,dining
1719,walking
1720,driving
1721,before sleep
1722,dining
1723,driving
1724,driving
1725,before sleep
1726,walking
1727,walking
1728,driving
1729,dining
1730,before sleep
1731,driving
1732,dining
1733,driving
1734,dining
1735,dining
1736,walking
1737,working
1738,waiting for bus
1739,walking
1740,watching TV
1741,driving
1742,studying
1743,dining
1744,before sleep
1745,shopping
1746,walking
1747,driving
1748,before sleep
1749,walking
1750,dining
1751,before sleep
1752,dining
1753,working
1754,dining
1755,waiting for bus
1756,walking
1757,shopping
1758,dining
1759,dining
1760,watching TV
1761,walking
1762,waiting for bus
1763,watching TV
1764,driving
1765,walking
1766,walking
1767,working
1768,walking
1769,driving
1770,driving
1771,driving
1772,waiting for bus
1773,dining
1774,watching TV
1775,studying
1776,watching TV
1777,waiting for bus
1778,waiting for bus
1779,watching TV
1780,dining
1781,waiting for bus
1782,watching TV
1783,shopping
1784,shopping
1785,watching TV
1786,dining
1787,watching TV
1788,walking
1789,shopping
1790,walking
1791,before sleep
1792,walking
1793,watching TV
1794,watching TV
1795,shopping
1796,waiting for bus
1797,watching TV
1798,watching TV
1799,shopping
1800,walking
1801,dining
1802,waiting for bus
1803,before sleep
1804,studying
1805,studying
1806,driving
1807,walking
1808,working
1809,waiting for bus
1810,driving
1811,studying
1812,driving
1813,driving
1814,walking
1815,before sleep
1816,before sleep
1817,driving
1818,studying
1819,waiting for bus
1820,waiting for bus
1821,studying
1822,waiting for bus
1823,watching TV
1824,walking
1825,shopping
1826,before sleep
1827,shopping
1828,dining
1829,walking
1830,dining
1831,waiting for bus
1832,driving
1833,watching TV
1834,walking
1835,watching TV
1836,driving
1837,dining
1838,waiting for bus
1839,watching TV
1840,studying
1841,driving
1842,before sleep
1843,waiting for bus
1844,working
1845,walking
1846,walking
1847,walking
1848,dining
1849,before sleep
1850,studying
1851,watching TV
1852,shopping
1853,watching TV
1854,driving
1855,dining
1856,watching TV
1857,watching TV
1858,dining
1859,studying
1860,dining
1861,shopping
1862,walking
1863,walking
1864,shopping
1865,driving
1866,driving
1867,before sleep
1868,before sleep
1869,walking
1870,shopping
1871,waiting for bus
1872,waiting for bus
1873,driving
1874,walking
1875,working
1876,driving
1877,walking
1878,driving
1879,watching TV
1880,walking
1881,walking
1882,walking
1883,driving
1884,dining
1885,driving
1886,studying
1887,before sleep
1888,watching TV
1889,studying
1890,waiting for bus
1891,walking
1892,driving
1893,walking
1894,driving
1895,waiting for bus
1896,working
1897,walking
1898,waiting for bus
1899,watching TV
1900,before sleep
1901,studying
1902,driving
1903,walking
1904,waiting for bus
1905,watching TV
1906,walking
1907,walking
1908,watching TV
1909,driving
1910,waiting for bus
1911,driving
1912,watching TV
1913,before sleep
1914,walking
1915,walking
1916,dining
1917,watching TV
1918,driving
1919,before sleep
1920,driving
1921,before sleep
1922,watching TV
1923,working
1924,dining
1925,walking
1926,driving
1927,watching TV
1928,dining
1929,driving
1930,driving
1931,dining
1932,walking
1933,before sleep
1934,walking
1935,watching TV
1936,studying
1937,shopping
1938,shopping
1939,before sleep
1940,studying
1941,before sleep
1942,driving
1943,studying
1944,studying
1945,before sleep
1946,shopping
1947,working
1948,watching TV
1949,before sleep
1950,shopping
1951,walking
1952,watching TV
1953,driving
1954,walking
1955,driving
1956,studying
1957,waiting for bus
1958,walking
1959,driving
1960,walking
1961,waiting for bus
1962,watching TV
1963,studying
1964,dining
1965,studying
1966,driving
1967,before sleep
1968,walking
1969,waiting for bus
1970,before sleep
1971,studying
1972,before sleep
1973,working
1974,waiting for bus
1975,shopping
1976,before sleep
1977,dining
1978,waiting for bus
1979,driving
1980,driving
1981,dining
1982,driving
1983,driving
1984,before sleep
1985,studying
1986,shopping
1987,waiting for bus
1988,waiting for bus
1989,driving
1990,shopping
1991,before sleep
1992,driving
1993,driving
1994,shopping
1995,driving
1996,studying
1997,watching TV
1998,studying
1999,driving
2000,studying
2001,studying
2002,dining
2003,working
2004,driving
2005,watching TV
2006,studying
2007,watching TV
2008,walking
2009,driving
2010,studying
2011,studying
2012,studying
2013,studying
2014,studying
2015,driving
2016,watching TV
2017,working
2018,before sleep
2019,waiting for bus
2020,dining
2021,driving
2022,before sleep
2023,shopping
2024,driving
2025,driving
2026,before sleep
2027,before sleep
2028,studying
2029,driving
2030,before sleep
2031,working
2032,before sleep
2033,walking
2034,shopping
2035,studying
2036,driving
2037,dining
2038,driving
2039,driving
2040,shopping
2041,working
2042,driving
2043,studying
2044,watching TV
2045,driving
2046,driving
2047,dining
2048,before sleep
2049,shopping
2050,watching TV
2051,waiting for bus
2052,walking
2053,before sleep
2054,driving
2055,walking
2056,walking
2057,walking
2058,watching TV
2059,walking
2060,walking
2061,walking
2062,driving
2063,dining
2064,driving
2065,walking
2066,working
2067,walking
2068,walking
2069,working
2070,working
2071,shopping
2072,watching TV
2073,walking
2074,walking
2075,waiting for bus
2076,waiting for bus
2077,walking
2078,driving
2079,walking
2080,walking
2081,walking
2082,walking
2083,walking
2084,driving
2085,driving
2086,walking
2087,shopping
2088,before sleep
2089,walking
2090,studying
2091,working
2092,walking
2093,working
2094,watching TV
2095,shopping
2096,working
2097,driving
2098,shopping
2099,studying
2100,driving
2101,before sleep
2102,waiting for bus
2103,walking
2104,working
2105,shopping
2106,studying
2107,driving
2108,working
2109,shopping
2110,shopping
2111,waiting for bus
2112,walking
2113,walking
2114,dining
2115,driving
2116,before sleep
2117,driving
2118,dining
2119,dining
2120,studying
2121,shopping
2122,walking
2123,watching TV
2124,watching TV
2125,shopping
2126,working
2127,walking
2128,driving
2129,waiting for bus
2130,watching TV
2131,studying
2132,working
2133,watching TV
2134,working
2135,waiting for bus
2136,shopping
2137,driving
2138,waiting for bus
2139,shopping
2140,waiting for bus
2141,driving
2142,driving
2143,watching TV
2144,working
2145,driving
2146,driving
2147,driving
2148,watching TV
2149,shopping
2150,working
2151,shopping
2152,before sleep
2153,driving
2154,dining
2155,watching TV
2156,watching TV
2157,waiting for bus
2158,walking
2159,driving
2160,shopping
2161,walking
2162,watching TV
2163,studying
2164,studying
2165,waiting for bus
2166,walking
2167,shopping
2168,shopping
2169,shopping
2170,shopping
2171,waiting for bus
2172,walking
2173,before sleep
2174,dining
2175,waiting for bus
2176,studying
2177,watching TV
2178,waiting for bus
2179,shopping
2180,studying
2181,working
2182,driving
2183,walking
2184,studying
2185,working
2186,driving
2187,walking
2188,driving
2189,dining
2190,watching TV
2191,dining
2192,walking
2193,working
2194,driving
2195,waiting for bus
2196,studying
2197,walking
2198,working
2199,walking
2200,walking
2201,dining
2202,watching TV
2203,walking
2204,walking
2205,waiting for bus
