id,type,age
1105,stability,62
1106,neutral,89
1107,stability,86
1108,neutral,82
1109,cross-trainer,65
1110,stability,42
1111,stability,49
1112,cross-trainer,71
1113,walking,81
1114,neutral,88
1115,stability,23
1116,stability,37
1117,stability,57
1118,stability,49
1119,stability,39
1120,stability,57
1121,stability,50
1122,neutral,79
1123,stability,28
1124,cushioned stability,70
1125,cushioned stability,73
1126,stability,54
1127,trail,24
1128,stability,49
1129,stability,54
1130,stability,61
1131,walking,79
1132,neutral,72
1133,stability,52
1134,stability,55
1135,stability,30
1136,neutral,70
1137,stability,38
1138,lightweight trainer,19
1139,lightweight trainer,41
1140,stability,33
1141,stability,64
1142,stability,50
1143,walking,78
1144,stability,49
1145,stability,34
1146,stability,23
1147,cross-trainer,56
1148,cross-trainer,81
1149,neutral,71
1150,stability,77
1151,cross-trainer,50
1152,stability,37
1153,stability,59
1154,neutral,75
1155,lightweight trainer,21
1156,stability,46
1157,lightweight trainer,81
1158,racing,44
1159,stability,28
1160,lightweight trainer,73
1161,lightweight trainer,74
1162,cross-trainer,84
1163,stability,33
1164,stability,38
1165,stability,24
1166,stability,69
1167,cross-trainer,22
1168,cross-trainer,100
1169,stability,37
1170,lightweight trainer,22
1171,lightweight trainer,79
1172,lightweight trainer,100
1173,motion control,21
1174,stability,51
1175,neutral,81
1176,stability,58
1177,lightweight trainer,20
1178,stability,26
1179,stability,57
1180,stability,40
1181,stability,36
1182,lightweight trainer,33
1183,stability,27
1184,neutral,73
1185,stability,79
1186,neutral,86
1187,stability,49
1188,stability,28
1189,racing,60
1190,lightweight trainer,17
1191,neutral,21
1192,stability,23
1193,lightweight trainer,87
1194,cross-trainer,89
1195,walking,70
1196,stability,59
1197,stability,46
1198,cushioned stability,85
1199,stability,27
1200,stability,24
1201,stability,50
1202,stability,36
1203,stability,57
1204,cross-trainer,79
1205,stability,61
1206,neutral,67
1207,stability,26
1208,stability,30
1209,lightweight trainer,20
1210,lightweight trainer,13
1211,stability,43
1212,stability,47
1213,stability,58
1214,neutral,77
1215,cross-trainer,94
1216,stability,90
1217,stability,43
1218,stability,37
1219,stability,83
1220,cross-trainer,65
1221,cross-trainer,74
1222,stability,51
1223,motion control,31
1224,stability,44
1225,lightweight trainer,2
1226,stability,54
1227,stability,34
1228,walking,69
1229,stability,63
1230,stability,43
1231,lightweight trainer,57
1232,neutral,81
1233,cushioned stability,83
1234,cross-trainer,16
1235,neutral,69
1236,cushioned stability,78
1237,stability,48
1238,lightweight trainer,82
1239,stability,33
1240,walking,88
1241,cross-trainer,96
1242,walking,19
1243,neutral,18
1244,stability,51
1245,stability,34
1246,stability,60
1247,stability,57
1248,lightweight trainer,66
1249,stability,43
1250,cross-trainer,87
1251,lightweight trainer,19
1252,lightweight trainer,74
1253,neutral,85
1254,neutral,70
1255,neutral,48
1256,lightweight trainer,93
1257,stability,44
1258,neutral,80
1259,neutral,68
1260,stability,52
1261,racing,23
1262,neutral,70
1263,stability,24
1264,lightweight trainer,30
1265,stability,23
1266,stability,64
1267,stability,39
1268,cross-trainer,18
1269,stability,23
1270,stability,68
1271,neutral,76
1272,walking,87
1273,stability,39
1274,stability,62
1275,stability,31
1276,stability,36
1277,stability,46
1278,stability,29
1279,stability,52
1280,lightweight trainer,63
1281,lightweight trainer,87
1282,lightweight trainer,88
1283,cross-trainer,84
1284,stability,23
1285,stability,39
1286,stability,81
1287,cross-trainer,82
1288,walking,7
1289,stability,34
1290,stability,56
1291,stability,63
1292,stability,54
1293,neutral,82
1294,stability,34
1295,stability,35
1296,neutral,76
1297,stability,41
1298,motion control,11
1299,racing,12
1300,neutral,61
1301,stability,47
1302,stability,36
1303,neutral,51
1304,stability,52
1305,stability,30
1306,stability,33
1307,motion control,24
1308,stability,56
1309,stability,32
1310,neutral,39
1311,neutral,71
1312,cross-trainer,88
1313,stability,54
1314,stability,32
1315,stability,50
1316,cross-trainer,80
1317,neutral,52
1318,stability,88
1319,neutral,86
1320,stability,60
1321,stability,64
1322,neutral,73
1323,racing,20
1324,stability,50
1325,cross-trainer,88
1326,stability,30
1327,stability,56
1328,stability,49
1329,stability,27
1330,neutral,76
1331,stability,60
1332,neutral,76
1333,stability,38
1334,stability,36
1335,stability,46
1336,stability,63
1337,neutral,68
1338,stability,38
1339,cushioned stability,88
1340,cross-trainer,90
1341,stability,34
1342,lightweight trainer,0
1343,lightweight trainer,61
1344,stability,41
1345,stability,61
1346,walking,18
1347,neutral,75
1348,stability,43
1349,racing,45
1350,stability,49
1351,motion control,30
1352,walking,80
1353,neutral,66
1354,motion control,30
1355,stability,63
1356,stability,26
1357,stability,22
1358,neutral,67
1359,stability,71
1360,neutral,75
1361,stability,35
1362,stability,71
1363,neutral,79
1364,lightweight trainer,89
1365,lightweight trainer,16
1366,cross-trainer,68
1367,stability,32
1368,stability,34
1369,stability,26
1370,stability,39
1371,stability,63
1372,neutral,55
1373,neutral,75
1374,lightweight trainer,18
1375,lightweight trainer,59
1376,cushioned stability,84
1377,lightweight trainer,16
1378,cross-trainer,24
1379,stability,22
1380,neutral,88
1381,cross-trainer,50
1382,cushioned stability,65
1383,lightweight trainer,68
1384,stability,64
1385,lightweight trainer,3
1386,stability,32
1387,stability,32
1388,stability,67
1389,stability,59
1390,stability,58
1391,walking,87
1392,stability,57
1393,stability,28
1394,stability,59
1395,motion control,53
1396,cross-trainer,98
1397,cross-trainer,83
1398,stability,23
1399,trail,54
1400,stability,34
1401,stability,75
1402,stability,50
1403,cushioned stability,83
1404,stability,52
1405,stability,31
1406,stability,44
1407,cross-trainer,78
1408,neutral,85
1409,walking,76
1410,stability,51
1411,stability,61
1412,neutral,84
1413,neutral,78
1414,neutral,76
1415,stability,62
1416,stability,52
1417,neutral,85
1418,lightweight trainer,81
1419,neutral,79
1420,cushioned stability,82
1421,lightweight trainer,41
1422,walking,19
1423,stability,36
1424,lightweight trainer,19
1425,neutral,74
1426,stability,42
1427,racing,7
1428,cross-trainer,10
1429,stability,47
1430,stability,27
1431,lightweight trainer,2
1432,racing,61
1433,stability,47
1434,neutral,86
1435,cross-trainer,90
1436,lightweight trainer,43
1437,stability,25
1438,neutral,20
1439,stability,57
1440,lightweight trainer,68
1441,neutral,82
1442,neutral,82
1443,neutral,79
1444,stability,90
1445,cushioned stability,89
1446,neutral,78
1447,motion control,56
1448,neutral,37
1449,stability,41
1450,stability,41
1451,stability,36
1452,trail,35
1453,stability,61
1454,cross-trainer,59
1455,stability,52
1456,cross-trainer,76
1457,motion control,56
1458,stability,47
1459,stability,51
1460,trail,17
1461,stability,63
1462,stability,30
1463,stability,26
1464,stability,39
1465,stability,40
1466,lightweight trainer,79
1467,stability,42
1468,stability,49
1469,stability,31
1470,neutral,26
1471,stability,23
1472,stability,32
1473,stability,31
1474,stability,24
1475,stability,32
1476,cushioned stability,90
1477,stability,55
1478,neutral,77
1479,stability,31
1480,neutral,58
1481,stability,58
1482,stability,45
1483,walking,66
1484,cross-trainer,67
1485,trail,63
1486,stability,45
1487,stability,56
1488,stability,59
1489,neutral,74
1490,stability,33
1491,lightweight trainer,3
1492,racing,44
1493,stability,61
1494,cross-trainer,80
1495,cross-trainer,93
1496,cushioned stability,96
1497,neutral,60
1498,stability,26
1499,neutral,71
1500,neutral,66
1501,lightweight trainer,20
1502,stability,55
1503,stability,24
1504,stability,31
1505,cross-trainer,87
1506,cushioned stability,81
1507,lightweight trainer,11
1508,stability,22
1509,stability,51
1510,stability,73
1511,neutral,87
1512,trail,39
1513,stability,41
1514,cushioned stability,71
1515,stability,24
1516,stability,83
1517,neutral,85
1518,racing,60
1519,racing,2
1520,neutral,50
1521,walking,89
1522,trail,62
1523,stability,82
1524,lightweight trainer,21
1525,racing,29
1526,stability,28
1527,stability,58
1528,stability,35
1529,stability,28
1530,lightweight trainer,50
1531,cushioned stability,78
1532,cross-trainer,100
1533,stability,62
1534,stability,42
1535,racing,29
1536,stability,51
1537,stability,55
1538,neutral,74
1539,neutral,66
1540,neutral,86
1541,lightweight trainer,2
1542,neutral,67
1543,cushioned stability,68
1544,lightweight trainer,28
1545,stability,54
1546,neutral,72
1547,stability,88
1548,stability,53
1549,stability,54
1550,walking,99
1551,cross-trainer,70
1552,walking,82
1553,stability,79
1554,neutral,68
1555,stability,66
1556,stability,51
1557,lightweight trainer,18
1558,lightweight trainer,19
1559,lightweight trainer,78
1560,stability,37
1561,stability,58
1562,neutral,75
1563,racing,10
1564,stability,44
1565,stability,22
1566,walking,86
1567,walking,90
1568,lightweight trainer,19
1569,racing,5
1570,walking,78
1571,neutral,66
1572,motion control,53
1573,stability,66
1574,stability,31
1575,cushioned stability,71
1576,walking,79
1577,stability,53
1578,stability,41
1579,stability,38
1580,stability,56
1581,stability,53
1582,cross-trainer,46
1583,motion control,60
1584,trail,49
1585,walking,68
1586,stability,37
1587,stability,49
1588,stability,56
1589,stability,50
1590,lightweight trainer,15
1591,stability,43
1592,lightweight trainer,20
1593,stability,35
1594,neutral,88
1595,stability,55
1596,lightweight trainer,19
1597,lightweight trainer,1
1598,stability,60
1599,neutral,72
1600,stability,43
1601,stability,61
1602,lightweight trainer,12
1603,cross-trainer,96
1604,stability,86
1605,stability,61
1606,stability,39
1607,walking,77
1608,stability,31
1609,cushioned stability,71
1610,stability,22
