id,gender,test taker
494,female,N
495,male,Y
496,female,N
497,male,Y
498,female,Y
499,male,N
500,female,Y
501,female,N
502,male,Y
503,female,N
504,female,N
505,female,N
506,female,N
507,male,Y
508,male,Y
509,female,N
510,female,N
511,female,N
512,male,Y
513,female,Y
514,male,Y
515,female,Y
516,male,Y
517,female,N
518,male,Y
519,male,Y
520,female,Y
521,male,Y
522,female,Y
523,female,N
524,female,N
525,male,N
526,male,Y
527,female,Y
528,male,Y
529,female,N
530,male,Y
531,male,N
532,female,Y
533,female,Y
534,female,N
535,male,Y
536,female,N
537,male,Y
538,female,Y
539,male,Y
540,male,N
541,male,Y
542,male,Y
543,female,Y
544,male,Y
545,male,Y
546,female,Y
547,female,N
548,female,Y
549,male,N
550,female,Y
551,female,N
552,female,Y
553,female,N
554,female,Y
555,male,Y
556,female,N
557,female,Y
558,female,N
559,female,Y
560,female,N
561,male,N
562,male,N
563,female,N
564,female,N
565,male,Y
566,male,N
567,male,Y
568,female,Y
569,female,N
570,male,Y
571,male,Y
572,female,N
573,female,Y
574,female,N
575,female,Y
576,male,Y
577,male,Y
578,female,Y
579,male,Y
580,male,Y
581,male,Y
582,male,Y
583,female,N
584,female,N
585,female,N
586,female,N
587,male,N
588,male,N
589,female,N
590,male,Y
591,female,Y
592,male,N
593,female,Y
594,male,Y
595,female,Y
596,female,Y
597,female,N
598,female,N
599,female,N
600,male,Y
601,male,Y
602,female,N
603,female,N
604,female,Y
605,male,Y
606,female,N
607,female,N
608,male,Y
609,male,N
610,male,Y
611,female,Y
612,female,N
613,male,Y
614,male,Y
615,female,Y
616,female,Y
617,female,Y
618,female,N
619,female,N
620,female,Y
621,female,N
622,male,Y
623,female,Y
624,male,Y
625,male,Y
626,male,Y
627,female,N
628,female,N
629,female,N
630,male,N
631,male,Y
632,male,Y
633,female,Y
634,male,Y
635,male,Y
636,female,N
637,female,N
638,female,Y
639,male,Y
640,female,Y
641,female,N
642,female,N
643,female,Y
644,female,Y
645,male,Y
646,male,Y
647,female,N
648,female,Y
649,female,N
650,female,N
651,male,Y
652,female,N
653,male,Y
654,female,N
655,female,N
656,male,N
657,female,Y
658,female,Y
659,female,N
660,male,Y
661,female,Y
662,male,Y
663,male,Y
664,male,Y
665,female,N
666,female,N
667,female,N
668,female,Y
669,female,N
670,female,Y
671,male,Y
672,male,Y
673,female,N
674,female,Y
675,female,N
676,male,N
677,female,N
678,female,N
679,female,Y
680,male,Y
681,female,N
682,female,N
683,male,Y
684,male,Y
685,male,Y
686,male,Y
687,male,Y
688,female,N
689,female,Y
690,male,N
691,female,Y
692,female,N
693,female,N
694,male,Y
695,female,N
696,female,N
697,female,N
698,male,Y
699,female,N
700,male,Y
701,female,N
702,female,N
703,male,Y
704,male,Y
705,female,N
706,female,N
707,female,Y
708,female,N
709,male,Y
710,female,N
711,female,Y
712,female,Y
713,male,Y
714,male,Y
715,male,Y
716,female,N
717,male,Y
718,female,Y
719,male,Y
720,male,Y
721,female,Y
722,female,N
723,male,Y
724,female,N
725,female,N
726,male,Y
727,female,N
728,male,Y
729,female,Y
730,male,Y
731,female,Y
732,female,Y
733,female,N
734,female,N
735,female,Y
736,female,N
737,female,Y
738,female,N
739,male,Y
740,female,N
741,female,Y
742,male,N
743,female,N
744,female,Y
745,male,N
746,female,N
747,male,Y
748,female,N
749,female,N
750,female,N
751,female,N
752,male,Y
753,female,Y
754,female,N
755,female,Y
756,female,N
757,female,Y
758,male,Y
759,female,Y
760,male,Y
761,male,Y
762,male,Y
763,female,Y
764,female,N
765,female,Y
766,female,Y
767,male,Y
768,female,N
769,female,Y
770,male,Y
771,female,Y
772,female,N
773,female,N
774,male,Y
775,female,N
776,female,N
777,male,N
778,male,Y
779,male,Y
780,female,Y
781,female,N
782,female,N
783,female,Y
784,male,N
785,female,N
786,female,N
787,male,N
788,female,N
789,female,N
790,male,Y
791,female,Y
792,female,Y
793,male,Y
794,male,N
795,female,Y
796,female,N
797,female,Y
798,female,N
799,female,N
800,male,Y
801,male,N
802,female,Y
803,male,Y
804,female,N
805,female,N
806,female,N
807,female,N
808,male,N
809,female,N
810,male,Y
811,male,Y
812,female,N
813,female,N
814,female,N
815,male,N
816,male,Y
817,female,N
818,male,Y
819,male,N
820,female,N
821,male,N
822,male,Y
823,female,N
824,male,N
825,female,N
826,male,Y
827,female,N
828,male,Y
829,male,N
830,male,Y
831,female,Y
832,female,N
833,male,Y
834,male,Y
835,male,Y
836,female,N
837,male,Y
838,female,N
839,male,N
840,female,N
841,female,N
842,male,Y
843,female,N
844,female,Y
845,male,N
846,female,N
847,male,Y
848,male,Y
849,female,N
850,female,N
851,male,Y
852,female,N
853,male,Y
854,male,Y
855,female,N
856,female,Y
857,female,Y
858,female,N
859,male,N
860,female,Y
861,female,Y
862,male,Y
863,female,N
864,male,Y
865,female,Y
866,male,N
867,female,N
868,female,N
869,male,Y
870,female,N
871,male,Y
872,female,N
873,female,N
874,female,N
875,female,N
876,female,N
877,female,Y
878,female,N
879,male,Y
880,male,Y
881,female,Y
882,female,Y
883,female,N
884,male,Y
885,female,Y
886,male,N
887,female,N
888,female,N
889,female,N
890,female,N
891,male,Y
892,female,Y
893,male,Y
894,female,N
895,female,Y
896,female,N
897,female,Y
898,male,Y
899,male,N
900,female,Y
901,female,N
902,male,Y
903,female,N
904,male,Y
905,female,N
906,female,N
907,female,Y
908,male,Y
909,female,Y
910,female,N
911,male,Y
912,female,Y
913,female,N
914,female,Y
915,male,N
916,male,Y
917,female,N
918,male,N
919,male,Y
920,male,N
921,male,Y
922,female,Y
923,female,N
924,female,N
925,female,Y
926,male,Y
927,female,N
928,female,N
929,female,Y
930,female,N
931,male,N
932,male,Y
933,female,N
934,female,N
935,female,N
936,female,Y
937,male,Y
938,male,Y
939,male,Y
940,female,Y
941,female,Y
942,male,Y
943,female,N
944,female,N
945,female,Y
946,male,N
947,male,Y
948,male,Y
949,male,Y
950,female,N
951,male,Y
952,female,Y
953,female,N
954,male,Y
955,female,N
956,female,N
957,male,Y
958,female,N
959,female,Y
960,male,Y
961,female,Y
962,female,Y
963,female,Y
964,female,N
965,male,Y
966,male,Y
967,female,Y
968,male,Y
969,male,Y
970,male,Y
971,male,Y
972,male,Y
973,female,N
974,female,N
975,female,Y
976,female,Y
977,male,Y
978,female,N
979,female,N
980,male,Y
981,female,N
982,female,Y
983,male,Y
984,female,Y
985,male,Y
986,female,N
987,female,N
988,female,N
989,female,Y
990,male,Y
991,female,N
992,male,Y
993,female,N
994,male,Y
995,male,Y
996,male,Y
997,male,Y
998,female,N
999,male,Y
1000,female,N
1001,male,Y
1002,male,N
1003,male,Y
1004,female,N
1005,female,Y
1006,male,Y
1007,female,N
1008,female,N
1009,female,Y
1010,female,N
1011,female,Y
1012,female,Y
1013,male,Y
1014,male,N
1015,female,Y
1016,female,Y
1017,male,Y
1018,female,Y
1019,male,Y
1020,male,Y
1021,female,N
1022,male,N
1023,female,Y
1024,male,Y
1025,female,N
1026,male,N
1027,male,Y
1028,female,N
1029,male,N
1030,female,N
1031,female,N
1032,female,Y
1033,female,Y
1034,female,N
1035,male,Y
1036,male,N
1037,female,N
1038,male,N
1039,female,Y
1040,male,Y
1041,female,N
1042,female,Y
1043,female,N
1044,female,N
1045,male,Y
1046,female,N
1047,male,Y
1048,female,N
1049,female,N
1050,female,Y
1051,male,Y
1052,female,N
1053,male,Y
1054,male,N
1055,male,Y
1056,female,N
1057,female,N
1058,male,Y
1059,male,Y
1060,male,Y
1061,male,Y
1062,female,N
1063,male,Y
1064,female,N
1065,male,Y
1066,female,N
1067,female,N
1068,female,N
1069,female,N
1070,female,Y
1071,female,Y
1072,male,Y
1073,female,N
1074,female,N
1075,female,Y
1076,male,Y
1077,male,Y
1078,female,N
1079,male,N
1080,female,Y
1081,female,N
1082,male,Y
1083,female,N
1084,male,N
1085,male,Y
1086,female,N
1087,male,Y
1088,male,Y
1089,male,Y
1090,female,N
1091,female,N
1092,female,N
1093,female,Y
1094,male,Y
1095,female,N
1096,female,N
1097,male,Y
1098,female,N
1099,female,N
1100,male,Y
1101,male,N
1102,female,Y
1103,male,N
1104,male,Y
1105,female,N
1106,female,N
1107,female,N
1108,male,Y
1109,female,N
1110,female,Y
1111,female,N
1112,female,N
1113,female,Y
1114,female,Y
1115,female,Y
1116,female,Y
1117,female,N
1118,female,N
1119,female,N
1120,female,Y
1121,female,Y
1122,female,N
1123,male,N
1124,male,N
1125,male,Y
1126,female,Y
1127,male,Y
1128,female,N
1129,male,Y
1130,male,Y
1131,female,Y
1132,male,Y
1133,female,N
1134,female,N
1135,male,Y
1136,male,Y
1137,female,N
1138,male,N
1139,female,N
1140,female,N
1141,female,N
1142,female,N
1143,female,N
1144,female,Y
1145,female,N
1146,male,Y
1147,female,N
1148,female,N
1149,female,Y
1150,female,N
1151,male,Y
1152,female,N
1153,female,Y
1154,female,Y
1155,female,N
1156,male,Y
1157,female,N
1158,female,N
1159,female,N
1160,female,N
1161,female,N
1162,female,N
1163,female,N
1164,female,Y
1165,female,Y
1166,female,N
1167,male,N
1168,male,Y
1169,female,N
1170,female,Y
1171,female,N
1172,male,Y
1173,female,N
1174,female,N
1175,female,N
1176,male,Y
1177,female,N
1178,female,N
1179,female,Y
1180,female,Y
1181,male,Y
1182,female,N
1183,female,N
1184,male,N
1185,male,Y
1186,female,N
1187,female,N
1188,female,N
1189,male,Y
1190,female,N
1191,female,Y
1192,male,Y
1193,male,Y
1194,female,N
1195,male,Y
1196,female,N
1197,female,N
1198,female,N
1199,male,Y
1200,male,Y
1201,female,N
1202,female,N
1203,male,Y
1204,male,N
1205,female,Y
1206,male,Y
1207,male,Y
1208,male,Y
1209,female,Y
1210,female,N
1211,female,N
1212,female,N
1213,female,Y
1214,female,Y
1215,male,Y
1216,female,Y
1217,female,N
1218,female,N
1219,female,N
1220,male,Y
1221,male,Y
1222,female,N
1223,female,N
1224,male,Y
1225,female,N
1226,male,Y
1227,female,Y
1228,female,N
1229,female,Y
1230,male,Y
1231,female,Y
1232,female,N
1233,female,N
1234,male,Y
1235,female,Y
1236,female,Y
1237,male,Y
1238,male,Y
1239,female,N
1240,male,Y
1241,female,Y
1242,female,Y
1243,male,Y
1244,female,N
1245,male,N
1246,male,Y
1247,female,N
1248,female,Y
1249,female,N
1250,female,N
1251,female,N
1252,male,Y
1253,female,Y
1254,female,N
1255,female,N
1256,male,Y
1257,female,N
1258,female,N
1259,female,N
1260,female,N
1261,female,N
1262,female,N
1263,female,Y
1264,female,N
1265,female,Y
1266,male,N
1267,female,N
1268,male,Y
1269,female,N
1270,female,N
1271,female,N
1272,female,Y
1273,male,Y
1274,female,N
1275,female,N
1276,female,N
1277,male,Y
1278,male,Y
1279,female,N
1280,male,Y
1281,male,Y
1282,male,Y
1283,male,N
1284,female,N
1285,female,N
1286,female,Y
1287,female,Y
1288,male,Y
1289,female,Y
1290,female,N
1291,female,N
1292,female,Y
1293,female,Y
1294,male,N
1295,male,Y
1296,male,Y
1297,male,Y
1298,male,N
1299,male,Y
1300,male,Y
1301,female,Y
1302,female,N
1303,male,Y
1304,male,Y
1305,female,N
1306,male,Y
1307,male,Y
1308,female,N
1309,female,N
1310,female,N
1311,male,N
1312,male,Y
1313,female,N
1314,male,Y
1315,male,Y
1316,female,N
1317,female,N
1318,female,N
1319,female,N
1320,female,Y
1321,female,N
1322,female,Y
1323,female,N
1324,female,Y
1325,female,N
1326,female,N
1327,male,Y
1328,female,N
1329,female,Y
1330,male,Y
1331,male,Y
1332,female,N
1333,male,Y
1334,male,Y
1335,female,N
1336,female,N
1337,male,Y
1338,female,Y
1339,male,Y
1340,male,Y
1341,male,Y
1342,female,N
1343,female,N
1344,female,N
1345,female,Y
1346,male,Y
1347,female,Y
1348,male,N
1349,male,Y
1350,male,Y
1351,female,N
1352,female,N
1353,female,N
1354,female,N
1355,male,N
1356,female,N
1357,female,N
1358,male,Y
1359,male,N
1360,male,N
1361,female,N
1362,female,N
1363,male,Y
1364,female,N
1365,female,N
1366,female,N
1367,female,N
1368,female,N
1369,female,N
1370,male,N
1371,female,N
1372,male,N
1373,female,Y
1374,female,N
1375,female,Y
1376,male,N
1377,female,N
1378,male,Y
1379,female,N
1380,female,N
1381,female,N
1382,male,Y
1383,female,N
1384,female,N
1385,female,N
1386,female,N
1387,male,Y
1388,male,Y
1389,female,N
1390,male,Y
1391,male,Y
1392,male,N
1393,male,Y
1394,female,Y
1395,female,Y
1396,female,N
1397,male,N
1398,female,Y
1399,male,Y
1400,male,Y
1401,female,Y
1402,male,Y
1403,male,Y
1404,female,N
1405,male,Y
1406,female,Y
1407,female,N
1408,male,Y
1409,female,N
1410,male,Y
1411,female,N
1412,male,Y
1413,male,Y
1414,male,Y
1415,female,N
1416,female,N
1417,female,Y
1418,female,N
1419,female,Y
1420,male,Y
1421,female,N
1422,female,N
1423,female,N
1424,female,N
1425,female,N
1426,female,N
1427,male,Y
1428,female,Y
1429,female,N
1430,male,Y
1431,female,N
1432,male,Y
1433,female,Y
1434,female,N
1435,female,N
1436,male,N
1437,female,N
1438,female,N
1439,female,Y
1440,female,N
1441,male,Y
1442,female,N
1443,male,N
1444,female,N
1445,male,Y
1446,male,N
1447,female,Y
1448,male,Y
1449,male,Y
1450,female,N
1451,female,Y
1452,male,Y
1453,female,N
1454,female,Y
1455,male,Y
1456,male,N
1457,female,Y
1458,female,Y
1459,male,N
1460,female,N
1461,female,N
1462,female,Y
1463,female,Y
1464,female,N
1465,male,Y
1466,female,N
1467,male,Y
1468,female,Y
1469,female,Y
1470,male,Y
1471,female,N
1472,female,Y
1473,female,N
1474,male,Y
1475,female,N
1476,female,N
1477,female,N
1478,male,Y
1479,male,Y
1480,female,N
1481,female,N
1482,male,Y
1483,female,N
1484,female,Y
1485,male,N
1486,female,N
1487,female,N
1488,female,N
1489,female,N
1490,male,Y
1491,female,N
1492,female,Y
1493,female,Y
1494,male,Y
1495,female,N
1496,female,N
1497,male,Y
1498,female,N
1499,female,N
1500,male,Y
1501,female,N
1502,female,N
1503,female,N
1504,male,N
1505,female,Y
1506,male,N
1507,female,N
1508,female,N
1509,female,N
1510,male,Y
1511,female,Y
1512,male,N
1513,female,N
1514,female,N
1515,female,Y
1516,female,N
1517,female,N
1518,female,Y
1519,female,N
1520,male,Y
1521,male,Y
1522,female,N
1523,female,N
1524,male,N
1525,male,Y
1526,female,N
1527,male,Y
1528,female,N
1529,male,Y
1530,male,N
1531,female,N
1532,female,N
1533,male,Y
1534,female,N
1535,male,Y
1536,female,Y
1537,female,N
1538,female,Y
1539,male,Y
1540,female,N
1541,female,N
1542,female,N
1543,female,N
1544,male,N
1545,male,Y
1546,male,Y
1547,female,N
1548,male,Y
1549,female,N
1550,female,N
1551,male,Y
1552,male,N
1553,female,N
1554,male,Y
1555,female,Y
1556,female,Y
1557,male,N
1558,male,Y
1559,female,Y
1560,female,N
1561,female,N
1562,male,Y
1563,female,N
1564,female,N
1565,female,N
1566,male,N
1567,female,N
1568,male,N
1569,female,N
1570,male,Y
1571,male,Y
1572,female,N
1573,male,Y
1574,female,Y
1575,female,N
1576,female,N
1577,female,N
1578,female,Y
1579,female,Y
1580,female,Y
1581,female,N
1582,male,Y
1583,male,Y
1584,female,N
1585,female,N
1586,male,Y
1587,male,Y
1588,male,N
1589,male,Y
1590,female,Y
1591,female,N
1592,female,Y
1593,male,Y
1594,female,N
1595,female,N
1596,female,Y
1597,male,Y
1598,female,N
1599,male,Y
1600,male,N
1601,female,Y
1602,female,N
1603,male,Y
1604,female,N
1605,female,N
1606,female,N
1607,female,N
1608,male,Y
1609,female,N
1610,female,N
1611,female,N
1612,male,Y
1613,female,N
1614,male,Y
1615,female,N
1616,male,Y
1617,female,N
1618,female,N
1619,female,N
1620,female,N
1621,female,N
1622,female,N
1623,male,Y
1624,male,Y
1625,female,N
1626,female,N
1627,female,Y
1628,female,N
1629,female,N
1630,male,Y
1631,female,Y
1632,female,N
1633,male,Y
1634,female,N
1635,female,N
1636,female,N
1637,male,Y
1638,female,Y
1639,male,Y
1640,male,Y
1641,female,Y
1642,female,Y
1643,female,N
1644,female,Y
1645,female,N
1646,female,Y
1647,male,N
1648,female,N
1649,male,Y
1650,male,Y
1651,male,Y
1652,female,N
1653,female,N
1654,female,N
1655,male,Y
1656,female,Y
1657,male,Y
1658,male,Y
1659,female,N
1660,female,N
1661,male,Y
1662,male,Y
1663,male,Y
1664,male,Y
1665,male,Y
1666,female,N
1667,female,Y
1668,male,Y
1669,female,N
1670,female,N
1671,female,N
1672,female,N
1673,female,N
1674,female,Y
1675,female,N
1676,female,N
1677,female,N
1678,female,Y
1679,male,Y
1680,female,Y
1681,female,N
1682,female,N
1683,female,N
1684,female,N
1685,female,N
1686,female,N
1687,male,Y
1688,female,N
1689,female,Y
1690,male,Y
1691,female,N
1692,female,Y
1693,female,N
1694,female,N
1695,male,N
1696,male,Y
1697,male,Y
1698,female,N
1699,male,Y
1700,male,Y
1701,female,N
1702,male,Y
1703,male,Y
1704,female,N
1705,female,N
1706,female,Y
1707,female,Y
1708,female,N
1709,female,Y
1710,female,Y
1711,male,Y
1712,female,N
1713,male,Y
1714,female,Y
1715,female,N
1716,female,N
1717,male,Y
1718,female,N
1719,female,N
1720,female,N
1721,female,N
1722,male,Y
1723,female,Y
1724,female,N
1725,female,N
1726,female,N
1727,female,Y
1728,female,N
1729,male,Y
1730,male,Y
1731,male,Y
1732,female,N
1733,female,Y
1734,female,N
1735,female,N
1736,male,N
1737,female,N
1738,female,N
1739,male,Y
1740,male,Y
1741,male,Y
1742,female,N
1743,male,N
1744,male,Y
1745,female,N
1746,male,N
1747,male,Y
1748,female,Y
1749,male,Y
1750,male,Y
1751,female,Y
1752,female,N
1753,male,Y
1754,male,Y
1755,male,Y
1756,female,N
1757,female,N
1758,female,Y
1759,male,Y
1760,male,Y
1761,male,Y
1762,male,N
1763,female,N
1764,male,Y
1765,female,N
1766,male,N
1767,male,Y
1768,male,Y
1769,female,N
1770,female,N
1771,female,N
1772,male,N
1773,female,N
1774,female,N
1775,female,N
1776,female,N
1777,female,N
1778,female,N
1779,female,Y
1780,male,N
1781,female,Y
1782,female,Y
1783,male,N
1784,male,Y
1785,female,N
1786,female,N
1787,female,N
1788,male,Y
1789,male,Y
1790,male,Y
1791,female,N
1792,male,N
1793,male,Y
1794,male,Y
1795,female,Y
1796,male,N
1797,female,Y
1798,male,Y
1799,female,N
1800,female,Y
1801,female,N
1802,female,Y
1803,female,Y
1804,female,N
1805,female,N
1806,male,Y
1807,female,N
1808,male,Y
1809,female,N
1810,female,Y
1811,female,N
1812,female,N
1813,female,N
1814,female,N
1815,female,N
1816,male,Y
1817,female,Y
1818,female,Y
1819,female,Y
1820,female,Y
1821,female,N
1822,female,N
1823,male,Y
1824,female,Y
1825,female,N
1826,female,N
1827,female,Y
1828,male,Y
1829,male,Y
1830,female,Y
1831,male,Y
1832,female,N
1833,male,Y
1834,female,N
1835,male,Y
1836,female,Y
1837,female,N
1838,female,Y
1839,female,Y
1840,female,N
1841,female,N
1842,female,N
1843,female,N
1844,female,N
1845,female,Y
1846,female,N
1847,male,N
1848,male,Y
1849,female,N
1850,female,N
1851,male,Y
1852,female,Y
1853,male,Y
1854,female,N
1855,female,N
1856,female,Y
1857,female,Y
1858,female,N
1859,male,N
1860,female,N
1861,male,Y
1862,male,Y
1863,female,Y
1864,female,Y
1865,female,Y
1866,female,N
1867,female,N
1868,female,N
1869,male,Y
1870,male,Y
1871,female,N
1872,male,Y
1873,male,Y
1874,female,N
1875,female,N
1876,female,N
1877,female,N
1878,female,Y
1879,female,N
1880,female,N
1881,female,N
1882,female,Y
1883,female,Y
1884,male,Y
1885,female,Y
1886,male,N
1887,female,N
1888,female,N
1889,female,N
1890,male,N
1891,female,Y
1892,female,N
1893,female,N
1894,male,Y
1895,female,N
1896,female,N
1897,male,Y
1898,female,Y
1899,female,Y
1900,male,Y
1901,male,N
1902,male,Y
1903,female,N
1904,male,Y
1905,female,Y
1906,male,N
1907,male,Y
1908,male,Y
1909,female,N
1910,female,Y
1911,female,Y
1912,female,Y
1913,male,Y
1914,female,N
1915,female,N
1916,male,N
1917,female,Y
1918,female,N
1919,female,Y
1920,female,N
1921,female,Y
1922,male,Y
1923,male,Y
1924,female,N
1925,female,N
1926,female,N
1927,male,Y
1928,male,Y
1929,male,Y
1930,female,N
1931,female,Y
1932,female,N
1933,female,Y
1934,female,N
1935,male,Y
1936,female,N
1937,female,N
1938,male,Y
1939,male,Y
1940,male,Y
1941,female,N
1942,female,N
1943,female,N
1944,male,Y
1945,male,Y
1946,female,N
1947,male,Y
1948,male,Y
1949,female,Y
1950,male,Y
1951,male,Y
1952,female,Y
1953,female,N
1954,female,N
1955,female,N
1956,female,N
1957,female,Y
1958,male,Y
1959,female,N
1960,female,Y
1961,female,N
1962,female,N
1963,female,N
1964,female,Y
1965,female,N
1966,female,N
1967,female,Y
1968,male,Y
1969,male,Y
1970,female,Y
1971,female,Y
1972,male,Y
1973,male,Y
1974,female,N
1975,male,Y
1976,female,Y
1977,male,Y
1978,male,N
1979,female,N
1980,male,Y
1981,male,N
1982,female,N
1983,female,Y
1984,female,N
1985,female,Y
1986,female,N
1987,male,Y
1988,male,N
1989,male,N
1990,male,Y
1991,male,Y
1992,male,Y
1993,male,Y
1994,female,Y
1995,female,Y
