Yourself,Partner,Neighbor,Friends,Kids,id
0,1,1,1,1,338
0,0,0,1,0,339
0,0,1,0,1,340
1,1,1,1,1,341
1,0,0,0,1,342
1,0,0,0,0,343
0,0,1,0,1,344
0,0,0,0,1,345
1,0,1,0,1,346
0,0,0,1,0,347
1,0,1,1,0,348
1,0,1,0,1,349
0,0,0,1,0,350
0,0,1,0,1,351
0,1,1,1,1,352
1,1,1,1,0,353
0,0,1,0,0,354
1,1,1,0,1,355
0,1,0,0,1,356
1,0,0,0,1,357
1,0,1,0,1,358
1,1,1,1,1,359
1,1,1,0,1,360
1,0,0,1,0,361
0,1,1,1,1,362
0,0,1,0,1,363
0,1,1,1,1,364
1,1,1,1,1,365
1,1,1,1,0,366
1,1,1,1,1,367
1,1,0,1,1,368
0,1,1,0,0,369
0,1,1,1,1,370
1,0,0,1,0,371
0,0,0,0,1,372
1,1,0,1,1,373
1,1,0,1,0,374
1,0,0,1,0,375
0,0,0,0,1,376
1,1,0,1,1,377
1,1,1,1,1,378
1,0,0,1,0,379
1,0,0,0,0,380
1,0,1,1,1,381
1,1,1,1,1,382
1,0,1,1,0,383
1,1,1,1,1,384
1,0,1,0,0,385
0,1,1,1,1,386
1,0,0,0,0,387
1,0,1,0,0,388
1,0,0,1,0,389
1,0,0,0,1,390
1,1,1,1,1,391
0,1,0,0,1,392
0,1,1,1,0,393
0,1,0,0,0,394
0,1,0,0,1,395
0,1,0,0,0,396
1,1,1,1,1,397
0,1,1,0,0,398
1,1,1,1,0,399
1,1,1,1,1,400
1,0,0,0,1,401
1,0,1,0,1,402
0,1,0,0,1,403
1,1,1,1,1,404
1,1,0,0,1,405
0,0,0,1,1,406
1,1,1,0,1,407
1,0,1,1,1,408
1,1,1,1,1,409
0,1,0,0,1,410
0,0,0,0,1,411
0,0,1,0,1,412
1,1,1,1,1,413
1,1,1,0,1,414
1,1,1,1,1,415
1,0,1,0,1,416
1,1,1,1,1,417
1,0,1,0,0,418
1,0,0,0,1,419
0,1,0,0,0,420
0,0,0,1,1,421
1,1,1,1,1,422
0,1,1,1,0,423
0,1,1,0,0,424
1,0,0,0,1,425
0,1,0,0,1,426
1,1,0,1,1,427
1,0,1,1,0,428
0,0,0,1,0,429
1,0,1,1,1,430
1,1,1,1,1,431
1,0,1,1,0,432
1,0,1,1,1,433
1,0,0,0,0,434
1,1,1,1,1,435
0,1,0,1,1,436
1,1,1,1,1,437
1,1,1,1,1,438
1,1,1,0,1,439
0,0,1,0,1,440
0,0,1,1,1,441
1,1,0,1,0,442
1,0,1,1,1,443
1,1,0,1,1,444
1,0,1,0,1,445
0,0,0,0,1,446
0,0,1,1,0,447
1,0,0,0,0,448
0,0,1,0,1,449
1,1,1,1,0,450
1,1,1,1,1,451
0,1,1,0,0,452
1,0,1,0,1,453
1,1,1,1,1,454
1,1,1,0,1,455
1,1,1,1,1,456
0,0,1,0,0,457
1,1,1,1,1,458
1,1,0,1,1,459
1,1,1,1,1,460
0,1,1,1,1,461
0,1,1,1,0,462
1,1,1,1,1,463
1,1,1,1,1,464
0,0,0,1,1,465
1,1,0,0,1,466
0,1,0,0,0,467
1,0,1,1,1,468
0,0,1,0,0,469
0,0,1,0,0,470
0,0,1,0,0,471
0,1,1,1,1,472
1,1,1,0,1,473
0,1,1,1,1,474
0,1,1,1,1,475
0,1,1,1,0,476
1,0,0,1,1,477
1,1,1,1,1,478
1,1,1,0,1,479
1,1,0,1,1,480
1,0,0,0,0,481
0,0,0,0,1,482
1,0,1,0,0,483
1,0,1,0,1,484
1,1,1,0,1,485
1,1,1,0,1,486
0,0,1,1,0,487
1,1,1,1,1,488
0,1,0,0,0,489
1,1,0,0,1,490
1,1,0,1,1,491
0,0,1,0,0,492
1,1,1,1,0,493
1,1,1,1,1,494
0,0,1,0,1,495
1,1,1,1,0,496
0,1,0,0,0,497
1,1,1,1,1,498
1,1,0,0,0,499
1,1,1,1,0,500
1,0,0,1,1,501
1,1,1,1,0,502
1,1,1,0,0,503
1,0,0,1,1,504
1,0,1,1,0,505
1,0,1,0,1,506
0,0,0,1,0,507
0,1,1,0,1,508
1,1,1,1,1,509
1,1,0,1,0,510
0,1,0,0,0,511
0,1,0,0,1,512
1,1,1,1,1,513
0,0,1,0,0,514
1,1,1,1,1,515
1,0,1,1,1,516
1,1,1,1,0,517
1,1,1,1,1,518
1,1,1,1,1,519
1,0,1,1,1,520
1,1,1,1,1,521
0,0,1,0,0,522
1,0,0,0,0,523
0,0,1,1,0,524
1,0,1,0,0,525
0,1,0,1,1,526
1,1,1,1,1,527
1,1,0,1,1,528
1,1,1,1,0,529
0,0,1,1,1,530
0,0,1,1,1,531
0,1,1,1,0,532
1,0,0,0,0,533
1,1,0,1,0,534
0,1,1,1,1,535
1,1,1,0,1,536
0,1,0,0,0,537
0,0,0,1,0,538
1,0,0,1,1,539
1,1,1,1,1,540
1,1,0,0,0,541
1,1,1,1,1,542
0,0,0,0,1,543
0,0,1,0,0,544
1,0,0,0,1,545
0,1,1,1,1,546
1,0,0,0,1,547
1,1,1,1,1,548
1,1,1,1,1,549
0,0,0,1,0,550
0,1,0,0,0,551
0,1,0,0,0,552
1,0,1,1,0,553
0,0,0,1,0,554
1,1,1,1,1,555
1,1,1,1,1,556
0,0,1,0,1,557
1,1,0,0,0,558
0,0,0,0,1,559
1,1,1,0,1,560
1,1,1,1,1,561
0,0,1,1,1,562
1,1,1,0,0,563
1,1,1,1,1,564
1,1,1,1,0,565
1,1,1,1,1,566
1,1,0,1,1,567
1,0,1,1,0,568
1,1,1,1,0,569
0,1,0,0,0,570
1,0,0,0,0,571
1,0,0,0,0,572
1,1,1,1,0,573
0,1,0,1,1,574
1,1,1,1,1,575
0,1,1,1,1,576
1,1,1,1,1,577
0,0,0,1,0,578
1,0,0,1,0,579
1,1,1,1,0,580
0,1,0,0,1,581
0,1,0,0,1,582
0,1,1,1,0,583
1,1,1,0,1,584
1,1,1,0,1,585
1,0,1,0,1,586
0,1,1,1,1,587
1,1,1,1,1,588
1,1,1,0,1,589
1,1,0,1,0,590
0,0,1,1,0,591
1,1,0,1,1,592
1,0,0,0,0,593
1,1,1,1,1,594
1,1,1,1,1,595
1,1,1,1,1,596
0,0,1,1,1,597
1,1,0,1,1,598
0,1,0,1,0,599
0,0,0,1,0,600
1,0,1,1,1,601
0,1,1,1,1,602
1,1,1,0,0,603
0,0,1,0,1,604
1,0,1,1,1,605
1,0,1,1,1,606
1,0,0,0,0,607
0,0,0,1,0,608
1,1,1,1,1,609
0,1,1,0,0,610
0,0,1,1,1,611
1,1,1,0,0,612
1,1,1,1,1,613
1,0,0,1,1,614
0,0,0,1,0,615
0,0,0,1,1,616
1,1,1,0,0,617
1,0,0,1,1,618
0,1,1,0,0,619
0,1,1,1,0,620
1,1,1,1,1,621
1,1,1,1,1,622
1,1,1,1,1,623
1,1,1,0,0,624
0,1,0,0,1,625
1,1,1,1,0,626
1,0,0,0,0,627
1,0,0,1,0,628
1,1,1,1,1,629
1,1,1,0,0,630
1,1,1,1,1,631
1,1,1,1,0,632
1,0,1,0,1,633
1,0,1,1,0,634
0,1,0,0,1,635
1,1,1,1,1,636
1,0,1,1,1,637
1,0,0,0,0,638
1,0,0,0,0,639
0,1,0,1,1,640
1,0,0,0,0,641
0,1,1,1,0,642
1,1,0,1,1,643
1,1,1,1,1,644
1,1,1,1,1,645
1,0,1,1,1,646
1,0,1,0,0,647
1,1,1,0,1,648
0,0,0,1,1,649
0,0,1,0,0,650
0,1,1,1,0,651
1,1,1,1,0,652
0,1,0,0,0,653
0,1,1,1,0,654
1,1,1,1,0,655
0,0,1,0,0,656
1,0,1,1,0,657
1,1,1,1,1,658
1,1,1,1,1,659
1,1,1,1,1,660
1,1,1,1,1,661
0,1,1,0,0,662
1,0,1,0,0,663
0,1,0,0,1,664
1,1,1,0,1,665
1,0,1,0,0,666
1,0,0,0,0,667
1,1,0,0,1,668
1,0,1,0,1,669
0,0,1,0,1,670
1,1,1,1,0,671
0,0,0,0,1,672
1,1,1,0,0,673
1,1,1,1,1,674
1,0,1,1,1,675
0,0,1,0,0,676
0,1,1,1,0,677
1,1,1,0,0,678
0,0,0,1,0,679
1,1,0,1,0,680
0,1,0,1,0,681
1,1,1,1,1,682
1,0,0,0,0,683
1,0,1,1,1,684
1,1,1,1,1,685
1,1,1,1,1,686
1,1,1,1,1,687
1,0,1,1,1,688
0,1,1,0,0,689
0,0,0,0,1,690
0,1,1,1,0,691
0,0,1,1,1,692
1,1,1,1,0,693
0,0,1,0,0,694
1,1,1,1,1,695
1,1,1,1,1,696
0,0,1,0,0,697
1,1,1,0,1,698
1,1,0,1,0,699
0,1,1,0,0,700
0,1,1,1,0,701
1,1,1,1,0,702
1,1,0,1,1,703
0,0,0,0,1,704
1,1,1,0,1,705
1,0,0,0,0,706
0,0,0,0,1,707
0,0,1,1,1,708
1,0,1,1,1,709
1,0,1,0,1,710
1,1,1,1,1,711
1,1,0,0,0,712
0,0,0,1,1,713
0,1,0,1,1,714
1,0,0,0,1,715
1,1,1,0,1,716
1,1,1,1,1,717
1,1,1,0,1,718
0,0,1,0,1,719
1,1,0,0,0,720
1,1,0,0,0,721
1,0,1,1,1,722
1,1,1,1,1,723
1,1,1,1,1,724
0,0,0,1,0,725
0,0,0,1,1,726
0,1,1,0,1,727
1,1,1,1,1,728
0,0,1,0,1,729
1,1,1,1,1,730
1,0,1,1,1,731
1,1,1,1,1,732
0,0,1,0,0,733
1,1,1,1,1,734
0,0,0,0,1,735
1,0,0,0,0,736
0,0,1,0,0,737
1,1,0,1,1,738
0,0,1,1,1,739
0,0,0,1,0,740
1,0,1,0,1,741
1,1,1,1,0,742
1,0,1,1,0,743
1,1,1,1,0,744
1,0,0,1,0,745
0,0,0,0,1,746
0,0,0,0,1,747
1,1,1,1,0,748
1,1,1,0,1,749
1,0,1,1,1,750
0,0,1,0,0,751
1,1,1,1,1,752
0,1,0,1,0,753
0,1,1,0,0,754
1,1,0,0,0,755
0,0,1,0,1,756
0,0,0,1,1,757
1,1,1,1,1,758
0,0,0,0,1,759
1,1,1,0,1,760
0,1,1,0,1,761
1,0,1,0,0,762
0,0,0,0,1,763
0,0,0,0,1,764
0,0,0,0,1,765
0,1,0,0,1,766
0,1,0,1,0,767
1,1,1,0,1,768
0,1,0,0,0,769
0,0,0,1,1,770
1,1,1,1,1,771
1,1,1,1,1,772
0,1,0,0,0,773
1,1,1,1,1,774
1,1,1,1,1,775
1,1,1,1,1,776
0,1,1,0,0,777
1,1,1,1,1,778
1,1,0,1,1,779
1,1,1,1,1,780
1,1,1,1,1,781
1,0,0,0,0,782
0,1,1,1,1,783
0,1,0,0,0,784
1,0,0,0,0,785
0,0,0,0,1,786
0,0,0,1,0,787
0,0,0,1,1,788
0,0,0,0,1,789
1,1,1,1,1,790
0,1,1,1,1,791
1,1,1,1,1,792
1,1,0,1,0,793
1,0,0,1,1,794
1,1,1,1,1,795
1,1,1,1,1,796
1,0,0,0,0,797
0,1,1,1,0,798
0,0,0,0,1,799
1,0,0,0,0,800
0,0,1,1,0,801
1,0,1,1,1,802
1,1,1,1,1,803
1,1,0,1,1,804
1,0,0,0,0,805
1,1,1,1,1,806
1,1,0,1,1,807
1,0,1,1,0,808
1,0,0,0,0,809
0,1,0,0,0,810
1,0,1,0,1,811
0,1,0,1,0,812
0,1,0,0,0,813
1,0,1,0,0,814
0,0,1,0,1,815
0,0,1,0,1,816
0,0,0,0,1,817
1,1,0,1,0,818
1,1,1,1,1,819
0,1,1,1,1,820
1,1,0,1,1,821
1,1,0,1,1,822
0,1,0,0,1,823
1,1,0,0,0,824
1,1,0,0,1,825
1,1,0,1,1,826
1,0,0,0,0,827
1,1,0,0,1,828
1,0,0,0,0,829
1,1,1,1,0,830
1,1,1,1,0,831
0,0,0,1,0,832
0,1,1,1,1,833
1,1,1,1,0,834
1,1,0,1,1,835
0,1,0,0,0,836
1,1,0,1,1,837
1,1,1,1,0,838
1,0,1,1,0,839
1,0,0,1,0,840
1,1,1,0,1,841
1,1,1,0,1,842
1,1,1,1,1,843
0,0,1,1,1,844
1,1,1,1,1,845
1,1,1,0,0,846
0,0,1,0,1,847
0,0,0,1,1,848
0,0,0,1,1,849
1,0,0,1,0,850
0,1,0,1,0,851
1,1,0,0,0,852
1,1,1,1,1,853
1,1,1,0,1,854
0,1,0,0,1,855
0,1,1,1,1,856
0,1,0,0,0,857
0,0,0,1,0,858
0,1,1,0,1,859
1,1,1,0,1,860
0,1,1,0,1,861
0,1,1,0,1,862
1,1,1,1,1,863
0,0,0,0,1,864
1,1,0,0,1,865
1,1,1,0,0,866
1,1,1,1,1,867
1,0,1,1,0,868
1,1,1,1,1,869
0,1,0,0,0,870
1,1,0,1,1,871
0,1,1,0,0,872
0,1,0,1,0,873
1,0,0,0,0,874
1,1,1,1,1,875
0,0,1,0,1,876
1,0,0,0,0,877
1,0,1,1,0,878
0,0,1,1,0,879
1,0,0,0,1,880
0,0,0,1,0,881
1,1,1,1,1,882
1,1,1,1,1,883
0,1,0,0,0,884
1,1,0,1,1,885
1,0,1,1,1,886
0,0,1,0,1,887
1,1,1,1,0,888
1,0,1,1,0,889
1,1,1,0,1,890
0,1,0,0,0,891
0,1,1,0,1,892
0,0,0,0,1,893
1,1,1,0,1,894
1,1,1,1,1,895
1,1,1,0,1,896
1,1,1,1,1,897
1,0,1,1,1,898
1,1,0,1,0,899
1,1,0,1,1,900
1,1,1,0,0,901
1,1,1,1,1,902
0,0,0,0,1,903
0,1,1,1,0,904
1,0,1,1,0,905
1,0,0,1,0,906
1,1,1,0,1,907
1,0,0,0,1,908
1,1,1,0,1,909
1,1,1,1,1,910
1,1,1,1,0,911
1,1,1,0,1,912
0,1,0,0,0,913
1,1,1,1,1,914
0,0,0,0,1,915
0,1,0,1,1,916
1,1,1,1,1,917
0,0,1,0,1,918
1,1,0,1,1,919
1,0,1,1,0,920
0,1,1,1,1,921
0,1,0,0,1,922
1,1,0,0,1,923
0,1,0,0,1,924
0,1,1,1,1,925
0,0,1,0,0,926
0,0,1,0,0,927
1,1,1,1,1,928
1,1,1,1,1,929
0,0,0,0,1,930
0,0,1,1,0,931
1,1,0,0,1,932
0,1,1,0,1,933
1,1,0,0,0,934
1,0,1,0,1,935
1,1,0,0,1,936
0,1,1,0,0,937
1,1,1,1,1,938
1,1,1,1,1,939
0,0,1,0,0,940
0,0,1,1,0,941
1,1,0,0,1,942
0,0,0,1,0,943
1,1,1,0,0,944
1,0,1,0,1,945
1,1,1,1,1,946
0,1,1,0,0,947
0,0,0,1,0,948
0,1,1,0,0,949
1,1,1,1,0,950
1,1,1,1,1,951
1,1,1,1,1,952
1,0,1,1,0,953
1,0,1,0,0,954
0,1,0,0,0,955
1,0,1,1,1,956
0,0,1,0,0,957
0,1,1,0,1,958
0,1,1,1,1,959
1,0,0,0,0,960
0,1,0,1,0,961
0,0,1,0,0,962
1,0,1,1,0,963
1,0,1,0,1,964
0,1,1,1,1,965
0,1,1,1,0,966
1,1,1,1,1,967
0,0,0,1,0,968
1,1,1,1,1,969
1,0,1,0,1,970
0,1,0,0,0,971
1,1,1,1,1,972
1,1,1,1,1,973
0,0,1,1,0,974
1,1,1,1,0,975
1,1,0,1,1,976
1,1,1,1,1,977
1,1,1,1,1,978
0,0,0,0,1,979
0,1,0,0,0,980
0,0,1,1,1,981
1,1,1,1,1,982
1,1,0,0,1,983
1,1,1,1,1,984
1,1,0,1,0,985
1,1,1,1,1,986
1,1,1,0,0,987
1,0,0,1,1,988
1,1,0,1,1,989
1,1,0,1,1,990
0,0,1,1,0,991
0,0,0,1,0,992
1,0,1,0,0,993
1,1,0,1,1,994
1,1,0,0,0,995
1,1,0,0,0,996
0,0,1,0,0,997
0,1,0,0,0,998
0,0,0,0,1,999
